id_number,file,ncc,ssim,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
20,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray020_se3_log_map.csv,0.856387197971344,0.8684808611869812,0.4267307817935943,1.5050383806228638,0.32426446295891154,2.1879546642303467,1.5197855234146118,0.0428730696439743,-1.6505143642425537,210.27561950683597,269.8266296386719,293.9545288085937
7,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray007_se3_log_map.csv,0.8491008281707764,0.8044133186340332,0.4822445213794708,1.9807722568511963,0.43581452321233727,1.5868158340454102,1.52947199344635,0.0360278971493244,-1.6942466497421265,108.0798797607422,271.2701416015625,292.9246826171875
5,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray005_se3_log_map.csv,0.8740913271903992,0.8773610591888428,0.4166593849658966,1.7470108270645142,0.31483218599556845,2.1078696250915527,1.537184715270996,0.049082264304161,-1.68011474609375,197.1568298339844,272.34002685546875,295.2269897460937
10,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray010_se3_log_map.csv,0.8351637125015259,0.7892380356788635,0.6673408150672913,2.079799175262451,0.6579897289653467,1.8966044187545776,1.531893253326416,0.036110769957304,-1.7069746255874634,101.90538024902344,270.9974365234375,291.1402587890625
18,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray018_se3_log_map.csv,0.8630732297897339,0.871898889541626,0.3470298051834106,1.4987107515335083,0.31082147212988137,1.6916581392288208,1.5219870805740356,0.0457182042300701,-1.6607102155685425,207.6593170166016,270.681396484375,294.7376708984375
21,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray021_se3_log_map.csv,0.8596089482307434,0.8684152960777283,0.4113649427890777,1.7362580299377441,0.3515277389097121,2.182295083999634,1.5185807943344116,0.041025374084711,-1.6482646465301514,211.08859252929688,269.6210327148437,293.8916931152344
14,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray014_se3_log_map.csv,0.8291629552841187,0.798629879951477,0.5325023531913757,1.5013792514801025,0.3910981050529864,2.026475667953491,1.5249000787734983,0.0366175398230552,-1.7169712781906128,101.86968231201172,271.5476379394531,289.3720703125
3,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray003_se3_log_map.csv,0.8526632785797119,0.8818756341934204,0.3475753664970398,1.5390180349349976,0.24152569415782255,1.773236870765686,1.5130921602249146,0.03912940248847,-1.6657230854034424,210.41477966308597,269.3388671875,309.34442138671875
22,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray022_se3_log_map.csv,0.854650616645813,0.8496759533882141,0.4002688527107239,1.8841569423675537,0.30091491218758376,2.204019069671631,1.520033359527588,0.0381959564983844,-1.642842411994934,213.48439025878903,269.4751892089844,294.250244140625
6,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray006_se3_log_map.csv,0.8414814472198486,0.8479306101799011,0.2957987487316131,1.5834566354751587,0.2878995715557631,1.7496463060379028,1.5223357677459717,0.0409016907215118,-1.655801773071289,209.3590545654297,270.6077880859375,296.7885131835937
1,/home/zsr/project/diffpose/ours/deepfluoro/runs/bipose/3/specimen03_xray001_se3_log_map.csv,0.8441778421401978,0.8567958474159241,0.4046306610107422,1.5844855308532715,0.41416547526389813,1.8341645002365112,1.508239507675171,0.0342097282409668,-1.6855664253234863,208.7830810546875,270.15887451171875,329.05352783203125
