id_number,file,ncc,ssim,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
10,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray010_se3_log_map.csv,0.8613857626914978,0.8687894344329834,0.5127922892570496,1.9816945791244507,0.5440371027975217,2.248932123184204,1.6343427896499634,0.0527879074215889,-1.5543256998062134,112.80528259277344,382.6842956542969,95.06182861328124
6,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray006_se3_log_map.csv,0.8574544191360474,0.8512271642684937,0.5472924709320068,1.9057188034057617,0.4487465355362837,2.233162403106689,2.060715436935425,0.0884535834193229,-1.5222386121749878,24.370281219482425,301.4804077148437,87.51483917236328
9,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray009_se3_log_map.csv,0.7855426669120789,0.8290413618087769,2.307470798492432,2.6498661041259766,1.4382612721183763,11.585902214050291,1.6336262226104736,0.0428680032491683,-1.5597236156463623,53.465938568115234,385.2301330566406,86.54682922363281
14,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray014_se3_log_map.csv,0.8830841779708862,0.8992339968681335,0.1861633360385894,2.2060046195983887,0.18979638596442497,1.0401875972747805,1.6394110918045044,0.1027686595916748,-1.555557131767273,150.3154754638672,180.1241912841797,122.4891128540039
16,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray016_se3_log_map.csv,0.8519877195358276,0.8596982955932617,0.3203041851520538,1.62831449508667,0.4749865687942497,1.2155718803405762,1.6385648250579834,0.1003629490733146,-1.55140483379364,136.13348388671875,380.3000183105469,75.94564056396484
13,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray013_se3_log_map.csv,0.9056940078735352,0.8876912593841553,0.4786296188831329,2.7302072048187256,0.19054292564070738,2.038633346557617,1.639926791191101,0.1042769029736518,-1.5567266941070557,150.60610961914062,182.83221435546875,158.8062286376953
11,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray011_se3_log_map.csv,0.8281296491622925,0.8559441566467285,1.1209840774536133,1.8763575553894043,0.5301618547417243,5.517424583435059,1.3642404079437256,0.0567702986299991,-1.5683624744415283,148.34909057617188,424.265380859375,92.02849578857422
3,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray003_se3_log_map.csv,0.8607606887817383,0.8386085629463196,1.011268138885498,2.460758924484253,0.7409484566427657,4.503015041351318,1.8987957239151,0.0925471484661102,-1.538211464881897,30.56365966796875,333.7877197265625,84.72466278076172
15,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray015_se3_log_map.csv,0.8530428409576416,0.8745771646499634,0.4109090864658355,2.0300214290618896,0.40395589598795206,0.6835253238677979,1.6382527351379397,0.1033517941832542,-1.551703691482544,148.915283203125,178.03976440429688,87.0098876953125
12,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray012_se3_log_map.csv,0.8499986529350281,0.8674137592315674,0.2004036903381347,2.529085397720337,0.30195752047559454,1.0703341960906982,1.6388174295425415,0.1046151965856552,-1.5548977851867676,149.47921752929688,177.32701110839844,83.31815338134766
18,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray018_se3_log_map.csv,0.8746398687362671,0.878899872303009,0.2449074387550354,1.7419147491455078,0.29539081589721083,0.8211205005645752,1.6376490592956543,0.1038034185767173,-1.552208423614502,137.16552734375,381.7227783203125,93.1983871459961
2,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray002_se3_log_map.csv,0.8402676582336426,0.8577897548675537,1.857311487197876,2.604532480239868,1.074289330316735,8.591702461242676,1.8108274936676023,0.0946095138788223,-1.5463420152664185,36.08429336547852,351.68133544921875,83.36174011230469
8,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray008_se3_log_map.csv,0.7976568937301636,0.884964644908905,2.559535503387451,2.996623992919922,1.2086386691598854,12.133073806762695,1.6346696615219116,0.0934558063745498,-1.5616117715835571,53.175559997558594,384.6112976074219,81.445068359375
1,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray001_se3_log_map.csv,0.8170581459999084,0.8535028696060181,2.0612587928771973,2.7617809772491455,1.0172784109410276,9.767199516296388,1.7167637348175049,0.0941281020641326,-1.555024266242981,44.221473693847656,370.56585693359375,82.22637939453125
23,/home/zsr/project/diffpose/ours/deepfluoro/runs/wsr/6/specimen06_xray023_se3_log_map.csv,0.7730273008346558,0.7836502194404602,6.8053717613220215,5.540297031402588,3.5846437724756592,14.240302085876465,1.6970139741897583,-0.4897897243499756,-1.7021186351776123,147.58612060546875,57.048770904541016,65.20975494384766
