idx,ssim,ssim_ori,tre,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
2,0.8593084812164307,0.59391188621521,11.177653312683105,82.93499755859375,21.931800842285156,85.78588104248047,21.957530975341797,-0.8488028049468994,0.1808198094367981,1.9922757148742676,242.43783569335938,22.55710220336914,83.84239959716797,1.826300024986267,-0.6018000245094299,-0.6646000146865845,242.43783569335938,22.55710220336914,83.84239959716797
3,0.8667604327201843,0.5857428908348083,11.76789379119873,66.62969970703125,17.798259735107422,68.96589660644531,17.8115291595459,-0.8363590836524963,0.1431889683008194,1.9644951820373535,246.1470947265625,20.179264068603516,88.58695983886719,1.826300024986267,-0.6018000245094299,-0.6646000146865845,246.1470947265625,20.179264068603516,88.58695983886719
4,0.8662408590316772,0.5920662879943848,11.109286308288574,65.79570007324219,21.22703742980957,69.13509368896484,21.242530822753906,-0.8316338658332825,0.1644275039434433,1.9671908617019653,241.59182739257812,25.2476806640625,85.85760498046875,1.826300024986267,-0.6018000245094299,-0.6646000146865845,241.59182739257812,25.2476806640625,85.85760498046875
5,0.8355652093887329,0.6024705171585083,13.451290130615234,41.869232177734375,11.143972396850586,43.326908111572266,11.147253036499023,-0.7753502726554871,0.1444891095161438,1.948565125465393,253.96527099609375,22.618183135986328,87.67457580566406,1.826300024986267,-0.6018000245094299,-0.6646000146865845,253.96527099609375,22.618183135986328,87.67457580566406
6,0.8413375020027161,0.5983500480651855,17.428720474243164,42.20742416381836,12.943558692932129,44.14751052856445,12.94700813293457,-0.7808942794799805,0.12831678986549377,1.9419434070587158,251.5767364501953,21.030094146728516,89.10848999023438,1.826300024986267,-0.6018000245094299,-0.6646000146865845,251.5767364501953,21.030094146728516,89.10848999023438
7,0.8411610126495361,0.6027441620826721,12.997502326965332,47.465660095214844,16.955554962158203,50.403167724609375,16.959260940551758,-0.7910544276237488,0.15183724462985992,1.9539222717285156,256.66845703125,15.143020629882812,84.60142517089844,1.826300024986267,-0.6018000245094299,-0.6646000146865845,256.66845703125,15.143020629882812,84.60142517089844
8,0.838720440864563,0.5950241684913635,18.63118553161621,51.13554763793945,14.465578079223633,53.142234802246094,14.466755867004395,-0.7900609970092773,0.11425170302391052,1.9515047073364258,258.9791259765625,15.52267837524414,88.06930541992188,1.826300024986267,-0.6018000245094299,-0.6646000146865845,258.9791259765625,15.52267837524414,88.06930541992188
9,0.8434337973594666,0.5971015095710754,12.88280200958252,65.12333679199219,21.691892623901367,68.64099884033203,21.700807571411133,-0.8271728754043579,0.13288146257400513,1.9667911529541016,253.9552459716797,8.82095718383789,88.22212982177734,1.826300024986267,-0.6018000245094299,-0.6646000146865845,253.9552459716797,8.82095718383789,88.22212982177734
10,0.8409242033958435,0.6049374938011169,12.52169132232666,56.12792205810547,19.517881393432617,59.4246711730957,19.522417068481445,-0.800377607345581,0.15000887215137482,1.9673247337341309,258.46282958984375,12.014625549316406,84.00086212158203,1.826300024986267,-0.6018000245094299,-0.6646000146865845,258.46282958984375,12.014625549316406,84.00086212158203
11,0.8468268513679504,0.5906076431274414,17.878793716430664,66.03797149658203,14.663209915161133,67.64630889892578,14.665511131286621,-0.8288647532463074,0.053066082298755646,1.9759409427642822,255.1581268310547,6.950714111328125,117.55079650878906,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,255.1581268310547,6.950714111328125,117.55079650878906
12,0.8397330045700073,0.6023353338241577,22.989845275878906,58.27986145019531,12.704684257507324,59.648563385009766,12.706466674804688,-0.8407950401306152,0.07005743682384491,1.9655382633209229,251.4801788330078,10.045417785644531,110.37559509277344,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,251.4801788330078,10.045417785644531,110.37559509277344
13,0.8389403820037842,0.5898832082748413,19.2170467376709,88.82970428466797,23.433412551879883,91.86860656738281,23.455747604370117,-0.8304523825645447,-0.008283949457108974,1.9817087650299072,258.9152526855469,3.9997100830078125,131.3522186279297,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,258.9152526855469,3.9997100830078125,131.3522186279297
14,0.8368937969207764,0.5889101028442383,16.76377296447754,78.43783569335938,19.67575454711914,80.86797332763672,19.689844131469727,-0.7939401268959045,0.026275502517819405,1.9862470626831055,263.2978820800781,9.770988464355469,124.59455871582031,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,263.2978820800781,9.770988464355469,124.59455871582031
15,0.8399941325187683,0.5870487093925476,17.322603225708008,83.82075500488281,22.270545959472656,86.72886657714844,22.28946304321289,-0.7957088351249695,0.012318295426666737,1.9884134531021118,264.2489013671875,8.332695007324219,127.5416259765625,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,264.2489013671875,8.332695007324219,127.5416259765625
16,0.8409744501113892,0.5894870162010193,20.01445198059082,59.892826080322266,15.264811515808105,61.8074836730957,15.271904945373535,-0.810418426990509,0.09352364391088486,1.982927680015564,257.181396484375,15.452571868896484,106.80409240722656,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,257.181396484375,15.452571868896484,106.80409240722656
17,0.869685173034668,0.5785521268844604,12.202655792236328,69.948486328125,11.710136413574219,70.92191314697266,11.712388038635254,-0.8449257016181946,0.07029151916503906,1.9910006523132324,251.34193420410156,8.530067443847656,119.64994812011719,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,251.34193420410156,8.530067443847656,119.64994812011719
18,0.8554584980010986,0.5794506072998047,12.864706993103027,72.7991943359375,12.623368263244629,73.88553619384766,12.631662368774414,-0.8012064099311829,0.055596087127923965,1.9942560195922852,258.6046447753906,15.013145446777344,122.0302734375,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,258.6046447753906,15.013145446777344,122.0302734375
19,0.8240499496459961,0.5856046676635742,24.076583862304688,49.59273147583008,13.652958869934082,51.43775177001953,13.657673835754395,-0.7909024953842163,0.08011644333600998,1.95197331905365,255.30767822265625,26.114459991455078,108.8882064819336,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,255.30767822265625,26.114459991455078,108.8882064819336
20,0.8239651918411255,0.5948997735977173,18.150598526000977,60.906715393066406,18.50058937072754,63.65453338623047,18.508718490600586,-0.8458162546157837,0.11923377960920334,1.9837672710418701,238.48873901367188,31.05716323852539,106.69237518310547,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,238.48873901367188,31.05716323852539,106.69237518310547
21,0.8402060866355896,0.5883195400238037,17.11412239074707,71.85213470458984,4.395961284637451,71.98648834228516,4.400389194488525,-0.8198114633560181,0.06476566940546036,1.9969981908798218,250.75286865234375,17.530559539794922,115.65145111083984,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,250.75286865234375,17.530559539794922,115.65145111083984
22,0.8415786027908325,0.5820200443267822,22.681978225708008,64.505126953125,8.707929611206055,65.09024047851562,8.711237907409668,-0.8181635737419128,0.05440027266740799,1.974179744720459,252.5575714111328,13.503761291503906,114.05717468261719,1.7960000038146973,-0.6848999261856079,-0.6801999807357788,252.5575714111328,13.503761291503906,114.05717468261719
