idx,ssim,ssim_ori,tre,geo_r,geo_t,geo_d,geo_se3,alpha,beta,gamma,bx,by,bz,alpha2,beta2,gamma2,bx2,by2,bz2
2,0.8455773591995239,0.7504308223724365,22.92947769165039,47.87433624267578,68.57868194580078,83.63604736328125,68.60276794433594,-0.6897537708282471,0.05609646812081337,1.95147705078125,229.96226501464844,71.88116455078125,122.93742370605469,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,229.96226501464844,71.88116455078125,122.93742370605469
3,0.8438038229942322,0.7436316609382629,27.31879425048828,49.87117385864258,83.81893920898438,97.5333251953125,83.84326934814453,-0.6947956681251526,0.04877808690071106,1.9204435348510742,217.3826141357422,81.37080383300781,126.02030181884766,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,217.3826141357422,81.37080383300781,126.02030181884766
4,0.8462002277374268,0.7454168796539307,26.216157913208008,51.349525451660156,73.169921875,89.39022064208984,73.19658660888672,-0.6873103380203247,0.0374724306166172,1.9370927810668945,227.0894317626953,74.03671264648438,128.08584594726562,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,227.0894317626953,74.03671264648438,128.08584594726562
5,0.839584231376648,0.7507423162460327,24.339778900146484,46.60288619995117,78.8994369506836,91.63487243652344,78.92523193359375,-0.6932429671287537,0.050192754715681076,1.946807622909546,222.0093994140625,78.88328552246094,124.53337860107422,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,222.0093994140625,78.88328552246094,124.53337860107422
6,0.8439204096794128,0.7525491118431091,23.269535064697266,57.72534942626953,75.99191284179688,95.43053436279297,76.03267669677734,-0.6694821119308472,0.05268564820289612,1.9598485231399536,225.93919372558594,78.15109252929688,123.62367248535156,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,225.93919372558594,78.15109252929688,123.62367248535156
7,0.8486282825469971,0.7522216439247131,24.54775047302246,55.60493850708008,73.56574249267578,92.21620178222656,73.59944915771484,-0.6754010319709778,0.056477826088666916,1.943773627281189,226.60850524902344,75.67068481445312,123.45825958251953,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,226.60850524902344,75.67068481445312,123.45825958251953
8,0.8445503115653992,0.7481342554092407,26.758028030395508,43.593727111816406,77.95600128173828,89.317138671875,77.97926330566406,-0.7010078430175781,0.08077488839626312,1.9565738439559937,221.38888549804688,78.12602233886719,121.14399719238281,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,221.38888549804688,78.12602233886719,121.14399719238281
9,0.8429887294769287,0.7478997111320496,22.57509994506836,56.277103424072266,71.04597473144531,90.6346664428711,71.07953643798828,-0.6745439767837524,0.047146447002887726,1.9432698488235474,229.7222900390625,74.42948913574219,123.95516967773438,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,229.7222900390625,74.42948913574219,123.95516967773438
10,0.8444026708602905,0.7502639889717102,23.85498046875,55.72438049316406,73.37334442138672,92.13497161865234,73.40843963623047,-0.6744439601898193,0.04924633726477623,1.9502003192901611,227.36192321777344,75.63260650634766,124.47759246826172,1.8633997440338135,-0.7294999957084656,-0.5676000118255615,227.36192321777344,75.63260650634766,124.47759246826172
11,0.8714660406112671,0.756462574005127,17.769086837768555,90.20205688476562,72.92839813232422,115.99552917480469,73.0225830078125,-0.6666404604911804,0.07083006948232651,1.9474865198135376,230.5993194580078,71.148681640625,127.11036682128906,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,230.5993194580078,71.148681640625,127.11036682128906
12,0.8674761056900024,0.750892698764801,15.812104225158691,79.68795013427734,78.98545837402344,112.20014190673828,79.06133270263672,-0.6920989155769348,0.06383061408996582,1.9291555881500244,222.5057373046875,74.1750259399414,124.92044830322266,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,222.5057373046875,74.1750259399414,124.92044830322266
13,0.8647549748420715,0.7423582077026367,18.999004364013672,79.78885650634766,72.2686538696289,107.65230560302734,72.34233856201172,-0.6924341917037964,0.08809566497802734,1.9596786499023438,227.46185302734375,69.114501953125,126.1691665649414,1.8523999452590942,-0.8055999875068665,-0.5666000247001648,227.46185302734375,69.114501953125,126.1691665649414
