alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0545413494110107,0.25377997756004333,1.8231089115142822,177.0858612060547,149.89686584472656,98.62548828125,0.010334411635994911,98.52417755126953,63.25938034057617,117.08442687988281,63.35573196411133,29.739900588989258,64.82919311523438,0.1160888671875,72,se3_log_map,0.695387065410614,0.7393286228179932,1.7523980140686035,-0.8010024428367615,-0.9590178728103638,177.0858612060547,149.89686584472656,98.62548828125
-1.0842159986495972,0.2520487606525421,1.8575156927108765,191.52474975585938,144.98007202148438,102.99501037597656,0.24832946062088013,91.50049591064453,52.525634765625,105.50489807128906,52.596134185791016,9.683966636657715,52.18891906738281,0.07958269119262695,72,se3_log_map,0.7221384048461914,0.7585968375205994,1.7733051776885986,-0.8514858484268188,-0.9680427312850952,191.52474975585938,144.98007202148438,102.99501037597656
-1.1033005714416504,0.24773430824279785,1.8531501293182373,180.01315307617188,161.42916870117188,102.08467864990234,0.1054384633898735,85.6046142578125,71.2723617553711,111.39075469970703,71.35436248779297,10.803255081176758,71.55191040039062,0.07901382446289062,72,se3_log_map,0.7040761709213257,0.7410280704498291,1.7623727321624756,-0.8696627020835876,-0.9777689576148987,180.01315307617188,161.42916870117188,102.08467864990234
-1.0734825134277344,0.268627792596817,1.861872673034668,183.287109375,144.07571411132812,109.6534423828125,0.06734124571084976,101.2616958618164,52.76770782470703,114.1856460571289,52.850746154785156,22.855342864990234,58.62940979003906,0.0792245864868164,72,se3_log_map,0.6971352100372314,0.7404319047927856,1.7873866558074951,-0.8338357210159302,-0.974787175655365,183.287109375,144.07571411132812,109.6534423828125
-1.1062657833099365,0.26192933320999146,1.8523896932601929,190.7726287841797,157.05300903320312,91.15655517578125,0.2606382966041565,91.54182434082031,67.91132354736328,113.9818115234375,68.00460815429688,23.626752853393555,62.59621810913086,0.0796823501586914,72,se3_log_map,0.7196472883224487,0.7480564713478088,1.7675830125808716,-0.8635377883911133,-0.9925342798233032,190.7726287841797,157.05300903320312,91.15655517578125
-1.118291974067688,0.2607139050960541,1.8541353940963745,193.87969970703125,151.385009765625,95.61833190917969,0.1969490647315979,89.51200103759766,60.45392990112305,108.01424407958984,60.534217834472656,19.111486434936523,56.73917007446289,0.07953166961669922,72,se3_log_map,0.7053823471069336,0.735801637172699,1.7651690244674683,-0.8769474625587463,-0.9987562894821167,193.87969970703125,151.385009765625,95.61833190917969
-1.0894542932510376,0.2528271973133087,1.8466323614120483,195.8317413330078,146.973388671875,98.15542602539062,0.29096588492393494,89.98079681396484,55.14708709716797,105.53551483154297,55.22107696533203,11.91701889038086,51.369991302490234,0.07948112487792969,72,se3_log_map,0.722470223903656,0.7515170574188232,1.7630199193954468,-0.8492676615715027,-0.9750714302062988,195.8317413330078,146.973388671875,98.15542602539062
-1.0842236280441284,0.26061174273490906,1.867621660232544,197.65234375,148.29119873046875,97.4071044921875,0.23641237616539001,96.16952514648438,56.382354736328125,111.4789047241211,56.46770095825195,14.915139198303223,51.947425842285156,0.08005356788635254,72,se3_log_map,0.7113507986068726,0.7479269504547119,1.7858023643493652,-0.8526529669761658,-0.9730042219161987,197.65234375,148.29119873046875,97.4071044921875
-1.1004482507705688,0.24111144244670868,1.8218722343444824,191.86973571777344,151.74362182617188,102.46845245361328,0.2939816415309906,81.77690887451172,58.87337875366211,100.76476287841797,58.93927764892578,10.807063102722168,57.64687728881836,0.07907652854919434,72,se3_log_map,0.720070481300354,0.750495970249176,1.733574390411377,-0.8513680696487427,-0.9786553978919983,191.86973571777344,151.74362182617188,102.46845245361328
-1.0664503574371338,0.2533072233200073,1.8254951238632202,206.35400390625,134.69166564941406,99.00369262695312,0.22586588561534882,95.04422760009766,43.01323318481445,104.32421875,43.0782356262207,10.88346004486084,35.97270584106445,0.07993626594543457,72,se3_log_map,0.713706374168396,0.7433067560195923,1.7512412071228027,-0.814019501209259,-0.9658979177474976,206.35400390625,134.69166564941406,99.00369262695312
-1.1058412790298462,0.2443300038576126,1.8395302295684814,192.813232421875,147.94320678710938,98.35564422607422,0.2884540855884552,82.65959930419922,56.505958557128906,100.1275863647461,56.569942474365234,12.1998872756958,53.53327560424805,0.07915949821472168,72,se3_log_map,0.7227834463119507,0.7507722973823547,1.7485578060150146,-0.8655736446380615,-0.9801873564720154,192.813232421875,147.94320678710938,98.35564422607422
-1.0785205364227295,0.24108219146728516,1.8135274648666382,196.46713256835938,134.70208740234375,111.44226837158203,0.1578766256570816,86.99541473388672,39.589996337890625,95.5801773071289,39.63995361328125,18.250328063964844,43.63967514038086,0.07898831367492676,72,se3_log_map,0.7077706456184387,0.7408013939857483,1.7323073148727417,-0.8256097435951233,-0.966289758682251,196.46713256835938,134.70208740234375,111.44226837158203
-1.072704792022705,0.23534037172794342,1.8611984252929688,192.30218505859375,155.05160522460938,97.52742767333984,0.2898740768432617,87.48456573486328,63.39687728881836,108.04032897949219,63.47345733642578,15.652084350585938,59.55632019042969,0.07979989051818848,72,se3_log_map,0.7192455530166626,0.7523752450942993,1.77190101146698,-0.8527056574821472,-0.9446185827255249,192.30218505859375,155.05160522460938,97.52742767333984
-1.0854383707046509,0.24326324462890625,1.8570985794067383,194.35244750976562,151.01524353027344,99.455322265625,0.28348758816719055,87.43070220947266,58.643333435058594,105.27662658691406,58.716243743896484,13.013897895812988,55.507205963134766,0.07966995239257812,72,se3_log_map,0.7187321782112122,0.7510287165641785,1.7685656547546387,-0.8576669692993164,-0.9610980749130249,194.35244750976562,151.01524353027344,99.455322265625
-1.0582904815673828,0.2570073902606964,1.8595911264419556,194.5100860595703,146.14547729492188,99.36469268798828,0.2680110037326813,99.76140594482422,54.168235778808594,113.51887512207031,54.2548942565918,9.338921546936035,51.22970962524414,0.08042335510253906,72,se3_log_map,0.7236032485961914,0.7615321278572083,1.7841558456420898,-0.8248128890991211,-0.955116331577301,194.5100860595703,146.14547729492188,99.36469268798828
-1.0679991245269775,0.2503829300403595,1.8195499181747437,202.421875,131.7606201171875,108.3191146850586,0.23699262738227844,93.50630950927734,36.7357177734375,100.46363830566406,36.789031982421875,16.768630981445312,37.99409484863281,0.07933902740478516,72,se3_log_map,0.716839611530304,0.7537319660186768,1.744434118270874,-0.8136541843414307,-0.9658682346343994,202.421875,131.7606201171875,108.3191146850586
