alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0912617444992065,0.1256209760904312,1.8298861980438232,169.3578643798828,156.9174346923828,108.39730834960938,1.3160013015024368,14.939349174499512,77.77865600585938,79.20040130615234,77.77959442138672,32.74951934814453,77.34227752685547,0.09603071212768555,97,se3_log_map,0.7730162739753723,0.7305092215538025,1.687252163887024,-0.9157854318618774,-0.8688066005706787,169.3578643798828,156.9174346923828,108.39730834960938
-1.1511226892471313,0.1251382976770401,1.8357397317886353,191.38607788085938,148.94598388671875,111.61934661865234,1.5507776943616258,40.35514831542969,58.569583892822266,71.12618255615234,58.584129333496094,24.152833938598633,60.2337760925293,0.06966471672058105,97,se3_log_map,0.7838914394378662,0.7428618669509888,1.6717474460601807,-0.974303662776947,-0.9061775207519531,191.38607788085938,148.94598388671875,111.61934661865234
-1.141366720199585,0.12678226828575134,1.8778022527694702,182.85182189941406,167.4921112060547,129.51028442382812,1.4763172763250056,50.835018157958984,79.40214538574219,94.28096008300781,79.41339874267578,23.079978942871094,80.96399688720703,0.06979703903198242,97,se3_log_map,0.7663225531578064,0.7326746582984924,1.711379885673523,-0.9895541071891785,-0.8863852024078369,182.85182189941406,167.4921112060547,129.51028442382812
-1.1771793365478516,0.12386633455753326,1.8631062507629395,189.92343139648438,154.54287719726562,106.35567474365234,1.5107404538600306,59.64304733276367,64.93391418457031,88.16862487792969,64.96824645996094,37.015560150146484,68.03556060791016,0.06887698173522949,97,se3_log_map,0.7785375118255615,0.7405151128768921,1.6845793724060059,-1.0155754089355469,-0.91229647397995,189.92343139648438,154.54287719726562,106.35567474365234
-1.1480356454849243,0.14737224578857422,1.852242112159729,183.02059936523438,151.3482666015625,116.18647766113281,1.5747676341334156,45.54114532470703,64.56613159179688,79.01127624511719,64.58203887939453,12.128304481506348,65.32321166992188,0.06996989250183105,97,se3_log_map,0.7826476693153381,0.7399424314498901,1.6982005834579468,-0.9691126942634583,-0.9180375337600708,183.02059936523438,151.3482666015625,116.18647766113281
-1.1608115434646606,0.13197633624076843,1.8522037267684937,195.4217987060547,132.53274536132812,115.90325927734375,1.5655904550086535,49.49418258666992,42.06269836425781,64.95340728759766,42.07649230957031,16.58929443359375,43.726768493652344,0.06940150260925293,97,se3_log_map,0.7852742671966553,0.7463603019714355,1.6857033967971802,-0.9894043803215027,-0.9127697348594666,195.4217987060547,132.53274536132812,115.90325927734375
-1.15199613571167,0.1370350569486618,1.8517075777053833,187.03338623046875,145.1239013671875,113.79788208007812,1.5961731844636895,45.8984260559082,57.298667907714844,73.41527557373047,57.31432342529297,15.627645492553711,57.9737663269043,0.06969833374023438,97,se3_log_map,0.7876660823822021,0.7489602565765381,1.6910343170166016,-0.9781725406646729,-0.9116568565368652,187.03338623046875,145.1239013671875,113.79788208007812
-1.161612868309021,0.13261418044567108,1.8444589376449585,191.7732391357422,135.569580078125,117.21326446533203,1.586023161135322,47.66345977783203,46.57503890991211,66.64112854003906,46.58964920043945,13.070282936096191,47.490535736083984,0.06957721710205078,97,se3_log_map,0.790404200553894,0.7514290809631348,1.6792802810668945,-0.985087513923645,-0.916601300239563,191.7732391357422,135.569580078125,117.21326446533203
-1.1560378074645996,0.13809219002723694,1.8591951131820679,185.17686462402344,142.86459350585938,118.03994750976562,1.5531043101899877,50.073455810546875,56.339263916015625,75.37548828125,56.3552360534668,11.00806713104248,56.60988998413086,0.06978654861450195,97,se3_log_map,0.7738385200500488,0.731529712677002,1.696433663368225,-0.9858872890472412,-0.9126038551330566,185.17686462402344,142.86459350585938,118.03994750976562
-1.1690388917922974,0.12305588275194168,1.8501999378204346,186.07913208007812,148.17225646972656,117.93242645263672,1.5892768736252916,52.31304168701172,60.20545959472656,79.7580795288086,60.227699279785156,15.971935272216797,61.17317199707031,0.0689547061920166,97,se3_log_map,0.7905662059783936,0.750181257724762,1.6763761043548584,-1.0006284713745117,-0.9109848737716675,186.07913208007812,148.17225646972656,117.93242645263672
