id_number,file,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
43,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray043_se3_log_map.csv,0.244655276,0.818319406,0.785406661,1.900874734,1.650084138,1.456377632,4.804614067,-1.210407376,0.005042425,1.819853306,219.15448,45.54559326,150.8458862
16,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray016_se3_log_map.csv,0.273099011,0.826966129,0.794635254,2.670435429,0.942538798,0.341134454,3.055772305,-1.242321253,0.01020783,1.809156895,229.7729492,44.44038391,150.200943
28,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray028_se3_log_map.csv,0.226320903,0.816522463,0.785195943,1.791712403,0.298276633,0.257034444,1.923592806,-1.234859109,0.004893859,1.813514948,214.4611206,43.59174347,150.424469
24,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray024_se3_log_map.csv,0.047988115,0.773626223,0.711492984,36.29850769,42.40500259,5.232255813,24.88378334,-1.224714041,-0.070315965,1.863491654,211.9654541,64.76168823,135.3515167
22,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray022_se3_log_map.csv,0.19660109,0.814024994,0.781685771,1.531499147,1.005404115,1.157601443,4.695577145,-1.215914011,-0.003173566,1.817364335,218.0713806,48.04014587,152.1152802
25,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray025_se3_log_map.csv,0.204346621,0.802218577,0.768334612,3.493682384,1.400021911,0.554754412,3.615633011,-1.228681087,-0.005522695,1.810257912,214.0809021,48.97361755,151.6778717
26,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray026_se3_log_map.csv,0.180527538,0.826329049,0.772574907,0.922097027,0.558958769,0.191965076,0.967631638,-1.233026862,0.002017976,1.812962055,214.0146179,46.22918701,151.3529053
17,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray017_se3_log_map.csv,0.326106914,0.803758361,0.803240721,10.22053051,1.396961451,1.494179286,12.08663559,-1.246887445,0.040177301,1.809370399,230.5558319,36.2458725,143.5545959
23,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray023_se3_log_map.csv,0.2323755,0.82065995,0.797470014,3.67681241,0.846129477,0.727388099,4.365449905,-1.226204872,0.01126796,1.815574646,216.9755707,42.33511353,149.3211823
33,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray033_se3_log_map.csv,0.209837327,0.800598583,0.792493823,4.422348022,1.839792848,2.231511758,9.137775421,-1.202000022,0.021266509,1.823260665,222.3284912,43.3427887,146.9519348
44,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray044_se3_log_map.csv,0.246045156,0.739794787,0.730035166,32.00629807,40.8698349,3.546129087,22.90747643,-1.206125617,0.052012797,1.785060167,222.8401489,35.27287292,169.5526428
41,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray041_se3_log_map.csv,0.309058706,0.814744077,0.792357791,5.57914257,1.68969667,1.247818625,7.327989101,-1.216571808,0.012506273,1.819231868,219.4018097,41.16824341,147.7465973
13,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray013_se3_log_map.csv,0.304000849,0.823319049,0.805436408,1.239314556,1.024161577,0.929540989,3.936295986,-1.233442664,0.004862894,1.809848189,230.8837738,46.84703064,151.2996521
27,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray027_se3_log_map.csv,0.214724476,0.805970374,0.79395546,1.007868886,0.459351003,0.280440546,1.157593846,-1.234822392,0.003537454,1.814445138,214.1818848,44.40090942,150.4350433
34,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray034_se3_log_map.csv,0.198324755,0.81401877,0.781054229,2.667304754,1.08601737,1.174697789,4.658020496,-1.216815591,0.010642967,1.81849885,218.4061127,43.92609406,149.1698608
37,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray037_se3_log_map.csv,0.257374807,0.797048626,0.803197898,1.294717908,1.726610661,0.622517211,1.535988331,-1.23179543,-0.001698674,1.81948626,215.5552826,46.16551208,151.5127869
38,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray038_se3_log_map.csv,0.240394996,0.804167164,0.801167844,1.678879261,2.150202036,0.732318895,3.516838789,-1.22581923,-0.002427491,1.818411946,216.6573639,46.93185425,153.0818176
18,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray018_se3_log_map.csv,0.272976749,0.794033368,0.800316369,3.181433439,0.821830034,0.704056009,4.409443855,-1.248150587,0.001919569,1.808894873,226.4593201,49.44641876,152.4411316
15,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray015_se3_log_map.csv,0.327213835,0.8119656,0.812448542,1.751066923,0.493184268,0.321351794,2.047661781,-1.245922446,0.019571807,1.808866024,227.9870758,44.57894135,148.530014
31,/home/zsr/project/diffpose/ours/case/wch/runs/mask/wch_xray031_se3_log_map.csv,0.20452299,0.813509797,0.788533545,1.907099366,0.645445168,0.526391369,2.448786974,-1.225545883,0.004302425,1.813805223,216.3878937,44.12098694,150.6361542
