id_number,file,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
14,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray014_se3_log_map.csv,0.1504253050266583,0.8164681098555047,0.7898463986362032,3.8353216648101807,4.891071796417236,3.011185829644822,6.202609062194824,-1.280315637588501,-0.0152509463950991,1.7811251878738403,221.06419372558597,38.93910217285156,189.54019165039065
10,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray010_se3_log_map.csv,0.16824849767021982,0.8081479905793812,0.7896177879388999,1.38102126121521,0.7920529842376709,0.2981178677601935,1.7571393251419067,-1.2295111417770386,-0.0052922600880265,1.7810628414154053,227.5494842529297,39.84490966796875,188.27426147460935
8,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray008_se3_log_map.csv,0.15614519751938954,0.8024587588818805,0.7627641770633303,10.412357330322266,2.391666889190674,2.129683145325351,12.418681144714355,-1.2179179191589355,0.0240724049508571,1.7907410860061646,231.116943359375,31.136032104492188,183.2201232910156
23,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray023_se3_log_map.csv,0.09304028622705279,0.8083231349838207,0.7903467244120324,12.201570510864258,1.3540581464767456,0.5423952667461441,12.290075302124023,-1.2874630689620972,0.0225957501679658,1.787421941757202,203.9565887451172,17.856231689453125,184.2016143798828
12,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray012_se3_log_map.csv,0.1328915716881911,0.8208074528052458,0.8045870120201786,6.508383274078369,2.0397756099700928,2.8494723037611194,12.054129600524902,-1.2622376680374146,0.025823513045907,1.7805864810943604,222.81634521484372,31.72885131835937,182.8990478515625
21,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray021_se3_log_map.csv,0.13090070481623511,0.820862180991749,0.7997558120576338,2.2203683853149414,0.9907649755477905,0.26430261204745753,2.5199010372161865,-1.287799835205078,0.0154593149200081,1.7803096771240234,201.35215759277344,27.74048614501953,185.8740234375
25,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray025_se3_log_map.csv,0.10998514607018517,0.7799513968260686,0.7634339299945123,12.586899757385254,15.391605377197266,9.610828466563882,34.319087982177734,-1.1663216352462769,-0.0919852256774902,1.794299602508545,217.15025329589844,38.15723419189453,213.08360290527344
13,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray013_se3_log_map.csv,0.17026476047350445,0.8154903088563126,0.7844864662731689,2.427879810333252,2.9220075607299805,0.37010434598921943,1.7788808345794678,-1.234063744544983,-0.0081286132335662,1.7812583446502686,228.23130798339844,39.98979949951172,188.9718017578125
35,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray035_se3_log_map.csv,0.0975970962462363,0.8148637681583293,0.791847549108868,8.250252723693848,2.9959051609039307,2.3960544031063518,10.147945404052734,-1.2676689624786377,-0.0158994644880294,1.7826635837554932,206.1959991455078,23.63580322265625,190.1630706787109
9,/home/zsr/project/diffpose/ours/case/ysy/runs/mask/ysy_xray009_se3_log_map.csv,0.14232360054477672,0.8255135165927434,0.7874834329020377,1.5953433513641357,2.2774510383605957,0.5593268139249855,0.8916479349136353,-1.2222251892089844,-0.0047534885816276,1.7748634815216064,226.6802215576172,40.6444091796875,188.56846618652344
