alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-0.8325127959251404,0.07302697002887726,1.8700635433197021,235.86972045898438,28.64447021484375,132.64645385742188,1.3129551432407622,27.502531051635742,20.900056838989258,34.54275131225586,20.90276336669922,3.4790151119232178,22.363195419311523,0.10352015495300293,23,se3_log_map,0.7777636051177979,1.775917649269104,-0.728556752204895,-0.6366860866546631,235.86972045898438,28.64447021484375,132.64645385742188
-0.863373339176178,0.09315662086009979,1.8633534908294678,240.28182983398438,20.19843292236328,128.01795959472656,1.1938744250989042,26.360464096069336,12.44489574432373,29.15046501159668,12.446296691894531,6.704103469848633,15.113907814025879,0.09235167503356934,23,se3_log_map,0.7675318717956543,1.769518494606018,-0.7420147061347961,-0.6774726510047913,240.28182983398438,20.19843292236328,128.01795959472656
-0.865013599395752,0.07936409115791321,1.8729074001312256,230.06207275390625,26.398284912109375,135.7866668701172,1.1422172932192995,32.17728805541992,25.924602508544922,41.32146072387695,25.928794860839844,9.582093238830566,26.2653865814209,0.10493016242980957,23,se3_log_map,0.7770162224769592,1.7722954750061035,-0.7562229037284851,-0.6634355783462524,230.06207275390625,26.398284912109375,135.7866668701172
-0.8718754649162292,0.0641951709985733,1.8912791013717651,234.5576629638672,21.464157104492188,125.96246337890625,1.249851133112291,42.329681396484375,15.388357162475586,45.04001998901367,15.393153190612793,9.15978717803955,21.936683654785156,0.09137582778930664,23,se3_log_map,0.7859175801277161,1.7809646129608154,-0.7799316048622131,-0.64893639087677,234.5576629638672,21.464157104492188,125.96246337890625
-0.8768160343170166,0.06719835847616196,1.8984298706054688,230.28285217285156,21.725784301757812,130.3046417236328,1.2979162798726698,44.174190521240234,21.347646713256836,49.06201171875,21.35442352294922,6.300952434539795,25.517364501953125,0.10362720489501953,23,se3_log_map,0.7768275141716003,1.7872511148452759,-0.7860270738601685,-0.6529111862182617,230.28285217285156,21.725784301757812,130.3046417236328
-0.8648132681846619,0.07628049701452255,1.888828992843628,237.0396270751953,20.302345275878906,126.95631408691406,1.3549119780770191,35.34709930419922,13.865180015563965,37.969207763671875,13.868135452270508,5.561257839202881,18.551549911499023,0.09262943267822266,23,se3_log_map,0.795779287815094,1.7855925559997559,-0.7650651335716248,-0.6560959815979004,237.0396270751953,20.302345275878906,126.95631408691406
-0.8738043904304504,0.0738530084490776,1.8878233432769775,234.6015625,18.731430053710938,127.17068481445312,1.3336760025458592,38.959285736083984,15.908933639526367,42.08230209350586,15.913116455078125,5.782429218292236,20.829776763916016,0.10609936714172363,23,se3_log_map,0.7912213206291199,1.7811920642852783,-0.774476170539856,-0.6600860357284546,234.6015625,18.731430053710938,127.17068481445312
-0.8700054287910461,0.10109865665435791,1.8761239051818848,244.90501403808594,10.173797607421875,121.10049438476562,1.383386879127046,27.76003074645996,10.164595603942871,29.562450408935547,10.166009902954102,5.149631500244141,14.874259948730469,0.09236693382263184,23,se3_log_map,0.7894957065582275,1.782502293586731,-0.7492627501487732,-0.6857680678367615,244.90501403808594,10.173797607421875,121.10049438476562
-0.8630741238594055,0.11253565549850464,1.870995283126831,243.36862182617188,12.632331848144531,119.293701171875,1.3935673926014953,21.72812271118164,8.117120742797852,23.194807052612305,8.117851257324219,3.3696658611297607,11.53759479522705,0.1068871021270752,23,se3_log_map,0.7896429300308228,1.784131407737732,-0.73344486951828,-0.6929501891136169,243.36862182617188,12.632331848144531,119.293701171875
-0.8669970631599426,0.1127149760723114,1.8686202764511108,239.78665161132812,15.119903564453125,120.25720977783203,1.3914148958186023,23.352279663085938,9.179673194885254,25.09174156188965,9.180617332458496,2.9643895626068115,12.395405769348145,0.09225606918334961,23,se3_log_map,0.7881614565849304,1.781040072441101,-0.7359074354171753,-0.6963353157043457,239.78665161132812,15.119903564453125,120.25720977783203
-0.8353381156921387,0.14007049798965454,1.8664464950561523,243.16342163085938,21.36846160888672,115.35467529296875,1.4145467578079145,9.042545318603516,5.411906719207764,10.53833293914795,5.412026882171631,1.4689544439315796,6.266508102416992,0.1086270809173584,23,se3_log_map,0.7941012978553772,1.7971522808074951,-0.6882768869400024,-0.7007108926773071,243.16342163085938,21.36846160888672,115.35467529296875
-0.8372242450714111,0.1346762627363205,1.8753325939178467,245.45443725585938,17.908401489257812,115.24991607666016,1.4116544287419859,9.554840087890625,3.7282657623291016,10.256463050842285,3.728367805480957,1.6113265752792358,4.521608829498291,0.09386706352233887,23,se3_log_map,0.7905250787734985,1.8028367757797241,-0.6975057721138,-0.6949554085731506,245.45443725585938,17.908401489257812,115.24991607666016
-0.8049391508102417,0.15120261907577515,1.8654074668884277,246.59339904785156,26.408363342285156,114.27916717529297,1.4233498313513717,15.108318328857422,7.897092342376709,17.047739028930664,7.897450923919678,1.9567183256149292,10.035786628723145,0.10891962051391602,23,se3_log_map,0.7999820709228516,1.8069579601287842,-0.6521407961845398,-0.690802276134491,246.59339904785156,26.408363342285156,114.27916717529297
