alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,r1,r2,r3,t1,t2,t3
-0.9954050779342651,0.33114638924598694,1.714009404182434,254.07095336914062,83.18614196777344,49.384193420410156,0.39789319038391113,129.2395782470703,88.74666595458984,156.77639770507812,88.98967742919922,45.04083251953125,0.12102803308516741,21,se3_log_map,0.7711430191993713,0.7607561349868774,1.7029907703399658,-0.6293043494224548,-1.0068204402923584,179.84962463378906,202.14207458496094,-150.51016235351562
-0.9929988384246826,0.32618051767349243,1.7244566679000854,245.36532592773438,86.8275375366211,60.22925567626953,0.4587154686450958,125.52131652832031,74.58431243896484,146.00828552246094,74.77861022949219,32.923675537109375,0.13014190108515322,21,se3_log_map,0.7667495012283325,0.7720731496810913,1.7104910612106323,-0.6368044018745422,-0.9993205070495605,172.3496856689453,209.64193725585938,-143.01019287109375
-0.9884263277053833,0.32284045219421387,1.7334582805633545,234.887939453125,84.76187896728516,62.48338317871094,0.4658418893814087,123.51762390136719,66.23284149169922,140.15489196777344,66.39478302001953,22.61797523498535,0.12102481606416404,21,se3_log_map,0.7716960906982422,0.7756547927856445,1.7177658081054688,-0.6402900218963623,-0.9918495416641235,165.38551330566406,205.18292236328125,-135.6245880126953
-0.9857620596885681,0.31815025210380554,1.7412629127502441,227.39923095703125,83.20381164550781,63.86700439453125,0.44599539041519165,120.83642578125,60.96302032470703,135.34375,61.099151611328125,23.059242248535156,0.19475455000065267,21,se3_log_map,0.7899025678634644,0.7761386632919312,1.723152756690979,-0.6456921696662903,-0.9847478270530701,160.54151916503906,201.53582763671875,-130.71282958984375
-0.9843767881393433,0.3174099028110504,1.7482067346572876,222.53347778320312,82.43321228027344,68.89129638671875,0.43336158990859985,119.59121704101562,54.35545349121094,131.36427307128906,54.47211837768555,21.208221435546875,0.11985105695202947,21,se3_log_map,0.8113536238670349,0.7764013409614563,1.7291682958602905,-0.6490352749824524,-0.9819775223731995,157.74961853027344,203.32981872558594,-125.09312438964844
-0.9862744212150574,0.3173717260360718,1.7535213232040405,223.25015258789062,81.54769897460938,73.7081298828125,0.43976497650146484,118.03385925292969,51.08483123779297,128.61434936523438,51.1952018737793,17.235572814941406,0.11861105705611408,21,se3_log_map,0.8086774349212646,0.7713861465454102,1.733474850654602,-0.6539638042449951,-0.9823408126831055,159.61463928222656,207.3502655029297,-122.33472442626953
-0.989375650882721,0.31654176115989685,1.757015585899353,226.21524047851562,81.69393920898438,77.39645385742188,0.4727141559123993,116.18466186523438,50.0966911315918,126.52491760253906,50.206153869628906,14.265606880187988,0.1196607300080359,21,se3_log_map,0.8119907379150391,0.7782920002937317,1.7356529235839844,-0.6594722270965576,-0.9831662178039551,162.6378936767578,211.92022705078125,-122.19220733642578
-0.991938054561615,0.31386634707450867,1.75945246219635,228.66168212890625,82.352783203125,79.79505157470703,0.4512898027896881,113.95817565917969,49.9163932800293,124.41106414794922,50.02363967895508,13.966168403625488,0.11834235000424087,21,se3_log_map,0.794334888458252,0.7766366600990295,1.7362453937530518,-0.6651045680046082,-0.9822266697883606,164.87722778320312,215.2476348876953,-122.94274139404297
-0.9929324984550476,0.30952897667884827,1.759451150894165,229.18275451660156,83.51275634765625,79.02775573730469,0.4688887894153595,111.94094848632812,50.55652618408203,122.82808685302734,50.66140365600586,13.327237129211426,0.11921471380628645,21,se3_log_map,0.7890350818634033,0.7830687761306763,1.734304428100586,-0.6689483523368835,-0.979225218296051,164.8148193359375,215.06463623046875,-124.84255981445312
-0.992540180683136,0.30478012561798096,1.7580618858337402,228.57635498046875,85.07229614257812,76.5411605834961,0.48522767424583435,110.4223403930664,51.59620666503906,121.88216400146484,51.69945526123047,13.365853309631348,0.12100800010375679,21,se3_log_map,0.7835151553153992,0.7827706336975098,1.7312281131744385,-0.6709567308425903,-0.9751737713813782,163.33816528320312,213.07217407226562,-127.34510803222656
-0.9921821355819702,0.29944872856140137,1.7569857835769653,226.80470275878906,86.67398071289062,73.78671264648438,0.49425819516181946,108.64430236816406,52.234825134277344,120.54899597167969,52.33430099487305,15.489279747009277,0.11959324195049703,21,se3_log_map,0.7824830412864685,0.7832238674163818,1.7281757593154907,-0.6735732555389404,-0.9705986976623535,160.80978393554688,210.3605499267578,-129.55455017089844
-0.9927706122398376,0.29429131746292114,1.7565582990646362,225.10813903808594,88.18682861328125,71.65958404541016,0.4781821370124817,106.56013488769531,52.66924285888672,118.86593627929688,52.76414108276367,19.292448043823242,0.11942295101471245,21,se3_log_map,0.7752056121826172,0.7827243804931641,1.725577712059021,-0.6773248314857483,-0.9667072296142578,158.42787170410156,208.25094604492188,-131.48814392089844
