idx,status,source_csv,overlay_path,drr_path,alpha,beta,gamma,bx,by,bz,ncc,ssim,fiducial,tre,alpha2,beta2,bx2,by2,bz2,gamma2,geo_d,geo_r,geo_se3,geo_t,parameterization,time
60,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray060_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray060_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray060_drr.png,-0.9371870756149292,-0.0510218143463134,1.776100993156433,273.3632507324219,67.23672485351562,109.6052017211914,0.5727837085723877,0.6511015892028809,0.1892258822917938,0.3852007091045379,0.0,0.0,0.0,0.0,0.0,0.0,1.6675444841384888,1.4218116998672483,0.8712466359138489,0.8712384104728699,se3_log_map,0.0
61,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray061_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray061_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray061_drr.png,-0.946440577507019,-0.0478047616779804,1.778334140777588,273.981689453125,62.777957916259766,108.43482971191406,0.5731706023216248,0.6711742281913757,1.0059407949447632,4.430985927581787,0.0,0.0,0.0,0.0,0.0,0.0,6.833438873291016,4.6849236488342285,4.974705219268799,4.974663734436035,se3_log_map,0.0
62,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray062_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray062_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray062_drr.png,-0.9109541177749634,-0.0343608856201171,1.7775558233261108,277.8013000488281,68.16899108886719,105.73878479003906,0.5802833437919617,0.673827052116394,0.6260711550712585,1.152584433555603,0.0,0.0,0.0,0.0,0.0,0.0,3.474072933197021,3.011070489883423,1.7328007221221924,1.7327831983566284,se3_log_map,0.0
63,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray063_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray063_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray063_drr.png,-0.9008251428604126,-0.0344175994396209,1.776244878768921,281.4282531738281,66.27972412109375,105.69869995117188,0.571284294128418,0.6896985173225403,1.5936683416366575,4.804753303527832,0.0,0.0,0.0,0.0,0.0,0.0,8.926125526428223,7.099267959594727,5.41079568862915,5.410731792449951,se3_log_map,0.0
64,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray064_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray064_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray064_drr.png,-0.9068171977996826,-0.0408078394830226,1.7760865688323977,280.19732666015625,67.6292495727539,107.94732666015624,0.5696293115615845,0.6800420880317688,0.8388007879257202,3.0119590759277344,0.0,0.0,0.0,0.0,0.0,0.0,5.231101989746094,3.7202088832855225,3.6775758266448975,3.6775503158569336,se3_log_map,0.0
65,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray065_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray065_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray065_drr.png,-0.9060682058334352,-0.0378870666027069,1.7803640365600586,280.9692077636719,66.97948455810547,106.81111907958984,0.5851857662200928,0.6782056093215942,0.6492409110069275,3.916506290435791,0.0,0.0,0.0,0.0,0.0,0.0,6.379417896270752,4.496931552886963,4.52489709854126,4.524873733520508,se3_log_map,0.0
66,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray066_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray066_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray066_drr.png,-0.9106025099754332,-0.0401763245463371,1.7825326919555664,279.3292541503906,66.90937805175781,108.00886535644533,0.5851919651031494,0.677527129650116,1.1328521966934204,3.1547493934631348,0.0,0.0,0.0,0.0,0.0,0.0,4.719141483306885,3.374999046325684,3.298427104949951,3.2984206676483154,se3_log_map,0.0
67,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray067_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray067_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray067_drr.png,-0.9329180717468262,-0.0647023469209671,1.78290855884552,274.7886657714844,67.18458557128906,113.00086212158205,0.5610679388046265,0.6725177764892578,2.828545331954956,2.3105692863464355,0.0,0.0,0.0,0.0,0.0,0.0,17.226852416992188,15.934717178344728,6.546274662017822,6.545928478240967,se3_log_map,0.0
68,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray068_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray068_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray068_drr.png,-0.9195615649223328,-0.0461153201758861,1.7806018590927124,277.8157653808594,66.16900634765625,108.90611267089844,0.5916979908943176,0.6711482405662537,0.8729346990585327,2.9026525020599365,0.0,0.0,0.0,0.0,0.0,0.0,5.758893489837647,4.6333746910095215,3.420053482055664,3.4200282096862797,se3_log_map,0.0
69,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray069_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray069_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray069_drr.png,-0.935474693775177,-0.0596964284777641,1.78108811378479,274.4892272949219,66.16959381103516,112.15716552734376,0.5834635496139526,0.6639835834503174,2.5456960201263428,2.328876256942749,0.0,0.0,0.0,0.0,0.0,0.0,16.061439514160156,14.79028034210205,6.262670993804932,6.26237678527832,se3_log_map,0.0
70,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray070_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray070_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray070_drr.png,-0.9406663179397584,-0.0516605600714683,1.7810113430023191,269.9146423339844,70.62077331542969,109.81047058105467,0.6032048463821411,0.6437335014343262,2.511438608169556,5.524600505828857,0.0,0.0,0.0,0.0,0.0,0.0,16.564096450805664,14.67202377319336,7.688030242919922,7.6877121925354,se3_log_map,0.0
71,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray071_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray071_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray071_drr.png,-0.938398003578186,-0.0496009401977062,1.7864323854446411,272.3071594238281,69.72164154052734,109.46328735351562,0.6261327266693115,0.604283332824707,3.5507376194000244,4.101919651031494,0.0,0.0,0.0,0.0,0.0,0.0,14.765228271484377,13.805394172668455,5.23691463470459,5.236691951751709,se3_log_map,0.0
72,ok,/home/zsr/project/diffpose/ours/case/sxh/runs/mask/sxh_xray072_se3_log_map.csv,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/overlay/sxh_xray072_overlay.png,/home/zsr/project/diffpose/ours/case/sxh/mrcp_xray_overlays/drr/sxh_xray072_drr.png,-0.9379116892814636,-0.049648355692625,1.779716968536377,272.9108581542969,68.52203369140625,109.64186096191406,0.581397294998169,0.6317185759544373,3.133006811141968,2.9532787799835205,0.0,0.0,0.0,0.0,0.0,0.0,13.8076171875,12.964975357055664,4.749873638153076,4.749692440032959,se3_log_map,0.0
