alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization
1.2731564044952393,-0.011468243785202503,-1.4797641038894653,379.237060546875,394.1308898925781,118.71968078613281,0.8525784015655518,8.697484016418457,12.954519271850586,15.6033935546875,12.954631805419922,2.0982108116149902,0.10195752698928118,55,se3_log_map
1.262500286102295,-0.008986473083496094,-1.4824000597000122,378.7975769042969,391.1305236816406,106.51310729980469,0.8182862997055054,13.890914916992188,18.640159606933594,23.246789932250977,18.64038848876953,2.582472324371338,0.10186833189800382,55,se3_log_map
1.268868327140808,-0.021911436691880226,-1.4830753803253174,379.6199951171875,397.2504577636719,118.77080535888672,0.8627017140388489,13.632838249206543,10.007509231567383,16.911670684814453,10.007779121398926,1.477798342704773,0.10487816506065428,55,se3_log_map
1.2770328521728516,-0.022554880008101463,-1.4657899141311646,380.2331237792969,402.23480224609375,120.43761444091797,0.8817268013954163,10.761805534362793,6.548444747924805,12.597567558288574,6.548598766326904,0.728776752948761,0.09865795588120818,55,se3_log_map
1.289055585861206,-0.014632298611104488,-1.4746493101119995,377.57879638671875,408.10455322265625,118.13219451904297,0.8906393051147461,4.44203519821167,2.058053731918335,4.895647048950195,2.0580379962921143,0.32091090083122253,0.10099960397928953,55,se3_log_map
1.2919660806655884,-0.008804346434772015,-1.4734084606170654,377.7065124511719,411.173828125,115.75569152832031,0.891238272190094,2.469254970550537,4.448741912841797,5.0880866050720215,4.448758125305176,0.7782173156738281,0.09751245705410838,55,se3_log_map
1.2914073467254639,-0.009331450797617435,-1.4711365699768066,377.5074768066406,410.77630615234375,116.05792236328125,0.8922373056411743,2.6711087226867676,4.010426998138428,4.818552017211914,4.010440349578857,0.7042293548583984,0.09960900596342981,55,se3_log_map
1.2894904613494873,-0.011994858272373676,-1.471282958984375,377.70458984375,409.46722412109375,116.81610107421875,0.8919397592544556,3.2879273891448975,2.6863882541656494,4.245850563049316,2.686411142349243,0.5111172795295715,0.09906798996962607,55,se3_log_map
1.2891287803649902,-0.013666787184774876,-1.4722213745117188,377.9358215332031,409.1145324707031,117.66294860839844,0.8926299214363098,3.9537906646728516,2.5953359603881836,4.729516506195068,2.5953800678253174,0.4836917519569397,0.09804470301605761,55,se3_log_map
1.2902145385742188,-0.01275606732815504,-1.474092721939087,377.48956298828125,409.5640563964844,117.4590835571289,0.8915976285934448,3.6087963581085205,2.917300224304199,4.6404900550842285,2.917293071746826,0.5196542739868164,0.09890700108371675,55,se3_log_map
1.2895567417144775,-0.012903034687042236,-1.473124623298645,377.6162414550781,409.6722106933594,116.82521057128906,0.8913576006889343,3.5719101428985596,2.8894333839416504,4.5942864418029785,2.8894472122192383,0.5489092469215393,0.09964219387620687,55,se3_log_map
1.2898997068405151,-0.012567135505378246,-1.4721299409866333,377.6626892089844,409.58642578125,117.3577880859375,0.8910019993782043,3.5066394805908203,2.9068503379821777,4.554821491241455,2.90685772895813,0.5336854457855225,0.09829994291067123,55,se3_log_map
1.290057897567749,-0.012612945400178432,-1.472586989402771,377.7127380371094,409.42364501953125,117.51126098632812,0.892211377620697,3.5183045864105225,2.8017518520355225,4.4975972175598145,2.801758050918579,0.5060699582099915,0.099513981025666,55,se3_log_map
1.289891004562378,-0.01216486282646656,-1.4729365110397339,377.78118896484375,409.5491943359375,117.15460968017578,0.8922804594039917,3.259429693222046,2.8251640796661377,4.313413143157959,2.8251802921295166,0.5279873609542847,0.09887262503616512,55,se3_log_map
1.2900830507278442,-0.01232646033167839,-1.4727232456207275,377.6475524902344,409.5955505371094,117.29669189453125,0.8921794295310974,3.377084970474243,2.8988759517669678,4.450649738311768,2.8989367485046387,0.5299383997917175,0.09910815092734993,55,se3_log_map
1.289475440979004,-0.012807510793209076,-1.4716538190841675,377.74652099609375,409.6304016113281,117.1097412109375,0.8866167068481445,3.619662284851074,2.893329620361328,4.633941173553467,2.8933253288269043,0.5507407188415527,0.0978974080644548,55,se3_log_map
1.2899322509765625,-0.011863687075674534,-1.4719767570495605,377.9264831542969,409.6794128417969,117.27461242675781,0.8882777690887451,3.192509412765503,2.9914603233337402,4.375048637390137,2.9914536476135254,0.5575411915779114,0.09852216392755508,55,se3_log_map
1.290574550628662,-0.011017723940312862,-1.4730712175369263,377.6756591796875,409.6688232421875,117.04672241210938,0.883274257183075,2.8502869606018066,2.916870355606079,4.078279972076416,2.9168832302093506,0.5281506776809692,0.09936597407795489,55,se3_log_map
1.2897356748580933,-0.009809383191168308,-1.4714453220367432,378.00042724609375,409.59661865234375,116.02162170410156,0.8921304941177368,2.3195862770080566,2.8756015300750732,3.694545269012451,2.875624656677246,0.5309494733810425,0.09948798781260848,55,se3_log_map
1.2899539470672607,-0.010475975461304188,-1.4728342294692993,377.8327331542969,409.806640625,116.06709289550781,0.8924732804298401,2.473245620727539,3.0560414791107178,3.931467056274414,3.056061029434204,0.5616437792778015,0.09832317102700472,55,se3_log_map
1.2902097702026367,-0.011022999882698059,-1.4729816913604736,377.66680908203125,409.707275390625,116.70990753173828,0.8924161791801453,2.77331280708313,2.9161198139190674,4.02431583404541,2.916120767593384,0.5375885963439941,0.09953625104390085,55,se3_log_map
