alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization
1.3559240102767944,0.0031608992721885443,-1.4703330993652344,250.07127380371094,392.80975341796875,135.78485107421875,0.6428484320640564,15.720244407653809,19.794862747192383,25.277713775634766,19.79538345336914,3.733391046524048,0.05002177879214287,63,se3_log_map
1.366640329360962,0.0006932317046448588,-1.4680078029632568,258.47821044921875,390.60565185546875,138.0192413330078,0.44570037722587585,10.451213836669922,23.381227493286133,25.610734939575195,23.38162612915039,3.782839775085449,0.05061001842841506,63,se3_log_map
1.3710401058197021,0.0011709631653502584,-1.4689865112304688,261.67510986328125,389.885498046875,139.04486083984375,0.3807080090045929,9.49378490447998,25.325342178344727,27.046350479125977,25.325700759887695,3.806507110595703,0.04981180094182491,63,se3_log_map
1.3710353374481201,0.0008957984391599894,-1.4705893993377686,263.6448974609375,389.5570983886719,139.09429931640625,0.36023423075675964,9.971911430358887,26.65801239013672,28.46205711364746,26.658445358276367,3.813741445541382,0.050064872950315475,63,se3_log_map
1.3695554733276367,0.0007414818392135203,-1.472230076789856,264.7219543457031,389.5240783691406,138.77467346191406,0.35530903935432434,10.915401458740234,27.355670928955078,29.452993392944336,27.356163024902344,3.8004567623138428,0.05063216993585229,63,se3_log_map
1.3668431043624878,0.0008662045001983643,-1.474308967590332,264.73406982421875,389.7892761230469,138.07501220703125,0.36799556016921997,12.463754653930664,27.270612716674805,29.983856201171875,27.271291732788086,3.770564556121826,0.05078537296503782,63,se3_log_map
1.3631434440612793,0.0008402466773986816,-1.4769887924194336,264.01861572265625,390.27734375,137.16079711914062,0.3922796845436096,14.557331085205078,26.649822235107422,30.3665771484375,26.650596618652344,3.7257089614868164,0.050406038761138916,63,se3_log_map
1.3586070537567139,0.0008095504017546773,-1.479597806930542,262.99505615234375,390.8714904785156,135.91854858398438,0.4225085973739624,16.971799850463867,25.906099319458008,30.970439910888672,25.90713882446289,3.6808290481567383,0.050151148810982704,63,se3_log_map
1.3538570404052734,0.0016545660328119993,-1.4820067882537842,261.13519287109375,391.6048278808594,134.9741973876953,0.4758847653865814,19.580163955688477,24.61410903930664,31.4521427154541,24.615293502807617,3.6460013389587402,0.04963087011128664,63,se3_log_map
1.3485169410705566,0.002875212812796235,-1.4846374988555908,258.1493225097656,392.5945739746094,133.95419311523438,0.6078774333000183,22.56255340576172,22.787006378173828,32.06737518310547,22.78828239440918,3.610478639602661,0.049169440753757954,63,se3_log_map
