alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0752290487289429,-0.02351071499288082,1.5821864604949951,209.7148895263672,179.97694396972656,130.38499450683594,0.49555543065071106,140.8330078125,88.04906463623047,166.09207153320312,88.25993347167969,0.31218619699939154,50,se3_log_map,0.6879141330718994,1.401412844657898,-0.857742428779602,-0.815221905708313,134.01036071777344,300.76629638671875,-126.84489440917969
-1.091766595840454,-0.013039271347224712,1.5992580652236938,200.85595703125,181.59275817871094,140.6547393798828,0.47333794832229614,129.7270965576172,92.91845703125,159.5711669921875,93.08491516113281,0.1693288240057882,50,se3_log_map,0.6886229515075684,1.416412591934204,-0.8727422952651978,-0.830221951007843,126.5103988647461,308.2663879394531,-119.3448486328125
-1.1019994020462036,-0.005665630102157593,1.5963478088378906,204.27903747558594,179.07534790039062,140.99501037597656,0.478231817483902,128.35939025878906,90.22032165527344,156.8943634033203,90.38128662109375,0.1654124679917004,50,se3_log_map,0.6803585290908813,1.4144164323806763,-0.8745224475860596,-0.8446305394172668,128.99899291992188,308.8359680175781,-119.42168426513672
-1.1065216064453125,-0.004969080910086632,1.5929574966430664,205.60643005371094,177.3846435546875,138.62496948242188,0.5209911465644836,129.4105224609375,87.7844467163086,156.3751678466797,87.94473266601562,0.16313357799663208,50,se3_log_map,0.6743528246879578,1.4103457927703857,-0.87577223777771,-0.8497095704078674,129.6891632080078,306.5221862792969,-120.48079681396484
-1.1056859493255615,-0.010989140719175339,1.5901551246643066,203.77374267578125,177.27517700195312,134.56378173828125,0.5551781058311462,132.23805236816406,86.79788970947266,158.1795654296875,86.96037292480469,0.16416733397636563,50,se3_log_map,0.6725944876670837,1.4049556255340576,-0.8773801326751709,-0.8453608155250549,127.57377624511719,302.3134460449219,-121.85176849365234
-1.1067464351654053,-0.013212320394814014,1.5834236145019531,206.43389892578125,176.11257934570312,130.73765563964844,0.5421561598777771,135.6187744140625,84.55253601074219,159.8173370361328,84.72407531738281,0.16637084598187357,50,se3_log_map,0.6797642707824707,1.3975589275360107,-0.8759974241256714,-0.8466963768005371,129.22705078125,299.4405822753906,-124.29606628417969
-1.1098723411560059,-0.010850165970623493,1.5795753002166748,209.26876831054688,174.64718627929688,130.1529541015625,0.528523862361908,136.51097106933594,82.80529022216797,159.6620330810547,82.97994995117188,0.16449467101483606,50,se3_log_map,0.6815192103385925,1.394451379776001,-0.8748602271080017,-0.8521648049354553,131.59759521484375,299.2532043457031,-124.86991119384766
-1.111549973487854,-0.007361060474067926,1.5774657726287842,209.6448211669922,173.81130981445312,130.68539428710938,0.5360943078994751,136.4498291015625,82.07757568359375,159.23342895507812,82.24818420410156,0.16474982199724764,50,se3_log_map,0.6808075308799744,1.3939485549926758,-0.872830867767334,-0.8568127751350403,131.9061279296875,299.5791320800781,-123.90681457519531
-1.1097276210784912,-0.005399699788540602,1.5753686428070068,207.59645080566406,173.82379150390625,130.54786682128906,0.5574172735214233,136.89976501464844,82.1877670288086,159.67584228515625,82.35101318359375,0.16513365600258112,50,se3_log_map,0.674487292766571,1.3937875032424927,-0.8690873980522156,-0.8576184511184692,129.93426513671875,298.9608154296875,-122.47793579101562
-1.1093944311141968,-0.000864356872625649,1.5758153200149536,205.27294921875,173.6834716796875,132.423828125,0.5688431262969971,135.5822296142578,82.66349792480469,158.79481506347656,82.814697265625,0.16275324500747956,50,se3_log_map,0.6709057092666626,1.3967264890670776,-0.8662245869636536,-0.8606863617897034,128.08078002929688,299.8600158691406,-119.83250427246094
