alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization
1.3891435861587524,0.05923817679286003,-1.7931476831436157,283.51190185546875,337.62860107421875,236.5732421875,0.7022813558578491,47.90204620361328,23.12276268005371,53.19086456298828,23.131420135498047,5.1583147048950195,0.11047063989099115,37,se3_log_map
1.384516954421997,0.054228149354457855,-1.7881251573562622,292.0045166015625,334.962890625,239.12429809570312,0.676164448261261,46.310081481933594,24.800304412841797,52.53264236450195,24.808374404907227,5.172304153442383,0.11242734408006072,37,se3_log_map
1.3850258588790894,0.05804270878434181,-1.7808634042739868,289.3822937011719,338.71875,236.60215759277344,0.7050822377204895,48.369781494140625,24.807565689086914,54.360382080078125,24.816877365112305,5.16470193862915,0.11168572294991463,37,se3_log_map
1.3882535696029663,0.052893154323101044,-1.7895185947418213,285.183349609375,341.0402526855469,237.12313842773438,0.722155749797821,44.992332458496094,22.556608200073242,50.33001708984375,22.56407928466797,4.7453293800354,0.11125287995673716,37,se3_log_map
1.3964606523513794,0.039180174469947815,-1.7917988300323486,283.1432800292969,341.52685546875,241.30081176757812,0.7359241247177124,37.03409194946289,17.963640213012695,41.16086196899414,17.967741012573242,3.868665933609009,0.11010336002800614,37,se3_log_map
1.4078187942504883,0.021615909412503242,-1.791498064994812,280.521484375,342.2220458984375,245.09661865234375,0.7452881336212158,26.991369247436523,13.708468437194824,30.273027420043945,13.710165023803711,2.8590879440307617,0.11115091701503843,37,se3_log_map
1.4184931516647339,0.0020682828035205603,-1.7905611991882324,278.36199951171875,342.26995849609375,250.27513122558594,0.7279946804046631,16.682605743408203,8.411277770996094,18.683120727539062,8.411731719970703,1.7822993993759155,0.1161009760107845,37,se3_log_map
1.421499252319336,-0.012048446573317051,-1.7940073013305664,277.0144348144531,344.0926208496094,252.63455200195312,0.7343628406524658,9.771528244018555,6.498858451843262,11.735332489013672,6.499007701873779,1.1182669401168823,0.11507652001455426,37,se3_log_map
1.421088695526123,-0.020777232944965363,-1.7883644104003906,277.91326904296875,343.7760925292969,256.0914611816406,0.7502431869506836,5.841949939727783,3.037234306335449,6.584320068359375,3.0372824668884277,0.5871220231056213,0.11565761303063482,37,se3_log_map
1.418256163597107,-0.02418942004442215,-1.7894396781921387,278.3253173828125,343.85101318359375,256.3403015136719,0.755426287651062,3.6596763134002686,2.7842493057250977,4.598410129547119,2.7842512130737305,0.4483705163002014,0.11593204003293067,37,se3_log_map
1.416683554649353,-0.025917720049619675,-1.7914698123931885,278.2689514160156,343.82867431640625,256.4900207519531,0.7503644227981567,2.403595209121704,2.6555368900299072,3.5817935466766357,2.655539035797119,0.39080044627189636,0.11675166001077741,37,se3_log_map
