alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0769068002700806,0.1476152390241623,1.868255853652954,203.9049835205078,117.50328826904297,93.27505493164062,1.0477583408355713,71.97151947021484,71.44290924072266,101.41000366210938,71.49918365478516,19.35616683959961,0.42530218698084354,30,se3_log_map,0.6975501775741577,1.7354836463928223,-0.9119917154312134,-0.866507887840271,136.7981719970703,224.23287963867188,-153.461669921875
-1.0563194751739502,0.14903414249420166,1.8773384094238281,192.7658233642578,115.25407409667969,91.41106414794922,0.9912623167037964,63.911468505859375,77.44081115722656,100.40794372558594,77.48786163330078,13.927597045898438,0.17748277797363698,30,se3_log_map,0.7057981491088867,1.7504830360412598,-0.896991491317749,-0.8515077829360962,129.29818725585938,216.73291015625,-145.96160888671875
-1.045475959777832,0.1437656432390213,1.8640087842941284,195.23709106445312,117.06488800048828,83.87973022460938,0.9515945911407471,56.58968734741211,76.52559661865234,95.17646789550781,76.56547546386719,23.867353439331055,0.1676316160010174,30,se3_log_map,0.7134726047515869,1.739875078201294,-0.8822910189628601,-0.8438220620155334,129.18411254882812,211.41014099121094,-150.96115112304688
-1.0478993654251099,0.14476943016052246,1.8594918251037598,201.3600311279297,118.44139099121094,82.83091735839844,1.0978305339813232,56.81598663330078,73.2705078125,92.71797943115234,73.30936431884766,25.947935104370117,0.17040710704168305,30,se3_log_map,0.7307599782943726,1.735690712928772,-0.8814446330070496,-0.8477069735527039,133.0707244873047,213.50120544433594,-155.8354034423828
-1.0551421642303467,0.14679217338562012,1.8556495904922485,209.19192504882812,119.81455993652344,82.80341339111328,1.2358314990997314,59.457828521728516,69.38285827636719,91.37403869628906,69.42333221435547,31.612022399902344,0.17753106000600383,30,se3_log_map,0.7418673038482666,1.7310899496078491,-0.8848761916160583,-0.8554685711860657,138.28131103515625,217.3070526123047,-161.5321807861328
-1.0641608238220215,0.1478653848171234,1.852379322052002,217.3643341064453,121.10401916503906,82.74286651611328,1.1410460472106934,63.26544189453125,65.98323822021484,91.4128189086914,66.02696228027344,41.83116149902344,0.23519527300959453,30,se3_log_map,0.7233225107192993,1.7259860038757324,-0.8908131718635559,-0.8633814454078674,143.73922729492188,221.13299560546875,-167.64828491210938
-1.0629656314849854,0.14769677817821503,1.8469170331954956,219.97705078125,122.08167266845703,81.32920837402344,1.0965185165405273,62.02099609375,65.62843322753906,90.29781341552734,65.67053985595703,46.23317337036133,0.142464442003984,30,se3_log_map,0.7246971130371094,1.721571922302246,-0.8866827487945557,-0.8641346096992493,145.061767578125,221.51031494140625,-169.9437713623047
-1.0576908588409424,0.14593367278575897,1.8401991128921509,219.45838928222656,122.78828430175781,79.13075256347656,1.1689050197601318,58.950984954833984,66.62654876708984,88.96244049072266,66.66521453857422,47.266578674316406,0.14575904299272224,30,se3_log_map,0.7303066253662109,1.7165632247924805,-0.878994345664978,-0.8611382246017456,144.0874786376953,219.83306884765625,-170.1680908203125
-1.0499866008758545,0.14316678047180176,1.8332247734069824,216.8420867919922,123.13742065429688,76.66136169433594,1.2273445129394531,55.05010986328125,68.4113540649414,87.8101806640625,68.4454116821289,46.64780044555664,0.14334781299112365,30,se3_log_map,0.7361843585968018,1.7115710973739624,-0.8695542812347412,-0.8556803464889526,141.72483825683594,216.88560485839844,-168.85983276367188
-1.0426650047302246,0.14208267629146576,1.8290852308273315,213.87738037109375,122.94926452636719,74.91788482666016,1.2077118158340454,51.5073127746582,69.96316528320312,86.87834930419922,69.99292755126953,45.424198150634766,0.1417134859948419,30,se3_log_map,0.7294759750366211,1.709677815437317,-0.8611248731613159,-0.8510733842849731,139.40927124023438,214.14537048339844,-166.95045471191406
