alpha,beta,gamma,bx,by,bz,losses,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1775600910186768,0.16970320045948029,1.820166826248169,203.42239379882812,105.1337890625,145.2171173095703,0.817516523366627,0,0.6357460021972656,4,se3_log_map,0.7400567531585693,1.6730338335037231,-0.9640713334083557,-0.9679385423660278,203.42239379882812,105.1337890625,145.2171173095703
-1.156704306602478,0.19988054037094116,1.7749097347259521,205.34080505371094,100.60094451904297,118.02178192138672,0.8626877801304768,0,0.10359621047973633,4,se3_log_map,0.7407382726669312,1.6575777530670166,-0.8988548517227173,-0.9942631721496582,205.34080505371094,100.60094451904297,118.02178192138672
-1.1299470663070679,0.17997726798057556,1.7718069553375244,204.05203247070312,108.7384033203125,95.7718734741211,0.9596417845651095,0,1.0759100914001465,4,se3_log_map,0.747153639793396,1.6528680324554443,-0.8846075534820557,-0.9600782990455627,204.05203247070312,108.7384033203125,95.7718734741211
-1.1268616914749146,0.153519868850708,1.74273681640625,205.1354217529297,122.18296813964844,99.40634155273438,0.928281134125047,0,0.08265542984008789,4,se3_log_map,0.7250286340713501,1.6157238483428955,-0.8801890015602112,-0.9444019198417664,205.1354217529297,122.18296813964844,99.40634155273438
-1.1286671161651611,0.19839182496070862,1.7636185884475708,202.93914794921875,120.71864318847656,97.96893310546875,0.8976378933275888,0,0.9570651054382324,4,se3_log_map,0.7319096326828003,1.655562162399292,-0.8672685623168945,-0.9772099256515503,202.93914794921875,120.71864318847656,97.96893310546875
-1.1155238151550293,0.175857275724411,1.7858885526657104,196.88885498046875,127.70762634277344,96.71247100830078,0.9612333908502807,0,0.0791628360748291,4,se3_log_map,0.7421327829360962,1.667061448097229,-0.8825743794441223,-0.9425269365310669,196.88885498046875,127.70762634277344,96.71247100830078
-1.1111063957214355,0.1708882451057434,1.7791311740875244,200.4480743408203,129.01499938964844,97.82071685791016,0.9525869628350212,0,0.781944990158081,4,se3_log_map,0.7270998358726501,1.6601653099060059,-0.8774805068969727,-0.937288761138916,200.4480743408203,129.01499938964844,97.82071685791016
-1.1229074001312256,0.1807861030101776,1.7647991180419922,195.02426147460938,134.69219970703125,94.79014587402344,0.9918247484638687,0,0.08241772651672363,4,se3_log_map,0.7639256119728088,1.6494251489639282,-0.8734946250915527,-0.9580253958702087,195.02426147460938,134.69219970703125,94.79014587402344
-1.1065399646759033,0.17195887863636017,1.7625492811203003,194.09852600097656,140.2872772216797,96.51522064208984,0.9980225755197256,0,0.738004207611084,4,se3_log_map,0.7660431265830994,1.6479103565216064,-0.8627878427505493,-0.9399645924568176,194.09852600097656,140.2872772216797,96.51522064208984
-1.0934453010559082,0.19867293536663055,1.7709553241729736,189.66802978515625,151.27745056152344,97.02142333984375,1.0062199985051927,0,0.08833622932434082,4,se3_log_map,0.7656232118606567,1.6718732118606567,-0.8396583795547485,-0.9512673616409302,189.66802978515625,151.27745056152344,97.02142333984375
-1.1117759943008423,0.17004606127738953,1.7999589443206787,190.06936645507812,150.0318603515625,98.2183837890625,1.006726777875063,0,0.7795577049255371,4,se3_log_map,0.7652707099914551,1.677263855934143,-0.8910913467407227,-0.9307395219802856,190.06936645507812,150.0318603515625,98.2183837890625
-1.0847070217132568,0.16615080833435059,1.7551496028900146,189.58470153808594,154.90634155273438,101.26824188232422,0.9943650941004267,0,0.0731971263885498,4,se3_log_map,0.7620139122009277,1.6450159549713135,-0.8424279689788818,-0.92210853099823,189.58470153808594,154.90634155273438,101.26824188232422
-1.0488508939743042,0.20606982707977295,1.8263338804244995,193.05079650878906,152.32662963867188,94.5758285522461,1.021634135974987,0,0.8023104667663574,4,se3_log_map,0.7783811092376709,1.7351042032241821,-0.8269156813621521,-0.9124161601066589,193.05079650878906,152.32662963867188,94.5758285522461
-1.037492036819458,0.2390100657939911,1.815792202949524,194.0526885986328,151.34552001953125,92.59891510009766,1.0244985376816529,0,0.0861673355102539,4,se3_log_map,0.7677095532417297,1.7437453269958496,-0.7897515892982483,-0.9365090131759644,194.0526885986328,151.34552001953125,92.59891510009766
-1.0299067497253418,0.23066718876361847,1.8161952495574951,195.04400634765625,151.7755126953125,92.87821197509766,1.0283235862129265,0,0.7547316551208496,4,se3_log_map,0.7682321667671204,1.7422860860824585,-0.788081169128418,-0.924018383026123,195.04400634765625,151.7755126953125,92.87821197509766
-1.0029213428497314,0.249241441488266,1.8393324613571167,196.14466857910156,153.8084716796875,91.4560317993164,1.0292879137685103,0,0.08199739456176758,4,se3_log_map,0.768642008304596,1.7769278287887573,-0.7644928693771362,-0.9168804287910461,196.14466857910156,153.8084716796875,91.4560317993164
