column,mean,std,mean_std_str
fiducial,16.605982448197594,18.467251850915368,16.61 ± 18.47
geo_r,55.322693903584124,35.054703854220016,6.34 ± 4.02
geo_t,32.11304649513615,26.035854575397774,32.11 ± 26.04
geo_d,65.8410858832115,40.773625563538154,65.84 ± 40.77
geo_se3,32.14664123201173,26.08012124887004,32.15 ± 26.08
tre,33.55647891809132,25.202185395241017,33.56 ± 25.20
