alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.9352421760559082,0.03594698756933212,1.8811146020889282,227.7399139404297,15.978538513183594,124.57321166992188,0.3024652898311615,80.50967407226562,35.44741439819336,87.96775817871094,35.48480224609375,12.307778358459473,0.10609089900390245,3,se3_log_map,0.6438022255897522,1.7405791282653809,-0.8504967093467712,-0.6680428981781006,236.3179473876953,171.5513458251953,-51.13922119140625
-0.9277336597442627,0.030293354764580727,1.872854232788086,221.6551513671875,14.388168334960938,122.70166015625,0.32233789563179016,79.809814453125,38.26511001586914,88.50889587402344,38.306026458740234,6.488690376281738,0.12289817599230446,3,se3_log_map,0.6275590658187866,1.7330795526504517,-0.8429966568946838,-0.6605429649353027,231.31796264648438,166.5513916015625,-46.13925552368164
-0.9286882281303406,0.02831387333571911,1.8703768253326416,223.54278564453125,15.450515747070312,122.642822265625,0.3574446737766266,80.89549255371094,36.702999114990234,88.8323745727539,36.743404388427734,7.170984268188477,0.11732558500079904,3,se3_log_map,0.627912163734436,1.7296782732009888,-0.8438645601272583,-0.6601717472076416,232.5804443359375,167.41082763671875,-47.921443939208984
-0.9311085939407349,0.02553453855216503,1.8665997982025146,227.3152618408203,16.65869140625,121.80960845947266,0.3912995457649231,82.82794952392578,33.409332275390625,89.3121109008789,33.447872161865234,10.777961730957031,0.11686245999590028,3,se3_log_map,0.6327319741249084,1.7242836952209473,-0.8459303975105286,-0.6604781150817871,235.23031616210938,168.01597595214844,-51.382972717285156
-0.9295120239257812,0.02230200357735157,1.8629162311553955,228.06495666503906,17.566253662109375,119.9027099609375,0.39536863565444946,83.61566925048828,31.321399688720703,89.28947448730469,31.35836410522461,12.519640922546387,0.11544569800025783,3,se3_log_map,0.6290003061294556,1.7200559377670288,-0.8446396589279175,-0.6576642990112305,235.0461883544922,166.60562133789062,-53.250125885009766
-0.9264124631881714,0.020073121413588524,1.8605378866195679,227.30865478515625,17.749046325683594,118.33797454833984,0.3447823226451874,83.5498275756836,30.635770797729492,88.98946380615234,30.671762466430664,13.497448921203613,0.11621263400593307,3,se3_log_map,0.6365272402763367,1.7179251909255981,-0.8420166373252869,-0.6543310284614563,233.93235778808594,164.7620391845703,-53.453304290771484
-0.9259703755378723,0.020742293447256088,1.862511157989502,226.77256774902344,17.38452911376953,119.6952896118164,0.3955671191215515,83.06008911132812,32.040489196777344,89.02568054199219,32.07771301269531,11.908117294311523,0.11769654099771287,3,se3_log_map,0.6226073503494263,1.7201356887817383,-0.8421306610107422,-0.654007077217102,234.04844665527344,165.67132568359375,-52.10918426513672
-0.9272791743278503,0.022723572328686714,1.8662891387939453,226.60845947265625,16.498573303222656,122.42762756347656,0.40651804208755493,82.59416198730469,34.34825134277344,89.45165252685547,34.38772201538086,9.653995513916016,0.1175013489992125,3,se3_log_map,0.6256216764450073,1.7239859104156494,-0.8439107537269592,-0.6554676294326782,235.1002197265625,167.77383422851562,-50.00371170043945
-0.9274159669876099,0.02351655438542366,1.868513822555542,226.52597045898438,16.104896545410156,123.83820343017578,0.3834743797779083,82.27733612060547,35.557376861572266,89.63195037841797,35.59781265258789,8.83923625946045,0.11757485099951737,3,se3_log_map,0.6300402283668518,1.7262908220291138,-0.844599723815918,-0.655564546585083,235.64463806152344,168.84909057617188,-48.93842315673828
-0.926844596862793,0.023624561727046967,1.8703179359436035,226.46078491210938,15.975532531738281,124.806884765625,0.36871057748794556,82.00499725341797,36.37406539916992,89.71004486083984,36.41508865356445,8.46450138092041,0.11753958600456826,3,se3_log_map,0.6292440891265869,1.728140950202942,-0.8448429107666016,-0.6547018885612488,235.9890594482422,169.59121704101562,-48.27175521850586
