alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization
-0.2125081717967987,0.04525845870375633,1.9343771934509277,189.32598876953125,136.07374572753906,95.30226135253906,1.393179178237915,973.6376953125,251.87876892089844,1005.6904907226562,277.96197509765625,0.8202783500310034,1,se3_log_map
-0.21495375037193298,0.02917468175292015,1.9511198997497559,179.29515075683594,134.59329223632812,106.51533508300781,1.4775886535644531,981.0932006835938,248.20883178710938,1012.0037231445312,276.30535888671875,0.8046784629113972,1,se3_log_map
-0.21768702566623688,0.013123054057359695,1.966896653175354,170.7614288330078,127.38655090332031,109.1689453125,1.5344864130020142,988.1076049804688,239.3839111328125,1016.6913452148438,267.4772644042969,0.8085552940610796,1,se3_log_map
-0.2166121006011963,-0.00021097064018249512,1.9757351875305176,164.00209045410156,122.24641418457031,109.59098052978516,1.5100429058074951,991.7147827148438,232.0583038330078,1018.50341796875,259.81268310546875,0.7798570999875665,1,se3_log_map
-0.21724146604537964,-0.013750015757977962,1.983127236366272,162.4186248779297,119.8582992553711,113.284423828125,1.4931542873382568,994.6852416992188,231.47177124023438,1021.262939453125,259.5682678222656,0.8353866320103407,1,se3_log_map
-0.21826550364494324,-0.024802980944514275,1.985914707183838,163.18089294433594,119.52337646484375,116.26736450195312,1.4906306266784668,995.5335693359375,233.30653381347656,1022.5062255859375,261.7698669433594,0.8077813941054046,1,se3_log_map
-0.2205187976360321,-0.03319697082042694,1.989920973777771,165.83763122558594,120.0818862915039,120.07695007324219,1.4994865655899048,997.163818359375,237.36102294921875,1025.02490234375,266.4625244140625,0.7935988609679043,1,se3_log_map
-0.22258108854293823,-0.037162505090236664,1.9914861917495728,169.4490966796875,121.07078552246094,122.20952606201172,1.4911919832229614,997.798828125,241.4669647216797,1026.6005859375,270.95458984375,0.6772201161365956,1,se3_log_map
-0.22553850710391998,-0.038223519921302795,1.993411660194397,172.6713409423828,120.80534362792969,122.90695190429688,1.4852709770202637,998.7792358398438,243.95787048339844,1028.1417236328125,273.5073547363281,0.6089418630581349,1,se3_log_map
-0.22879931330680847,-0.037238042801618576,1.9946399927139282,175.20948791503906,119.6520767211914,121.91984558105469,1.4968465566635132,999.5263061523438,244.70274353027344,1029.0443115234375,273.9666442871094,0.8197787529788911,1,se3_log_map
