alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization
0.31015774607658386,-0.01948918029665947,1.9287569522857666,136.74932861328125,242.50645446777344,106.84428405761719,0.2865566611289978,974.2063598632812,298.2037353515625,1018.8245849609375,332.3694763183594,2.9040440139999646,0,se3_log_map
0.3080802857875824,-0.02934068813920021,1.9346845149993896,129.5556640625,239.13333129882812,117.44146728515625,0.32031846046447754,977.7897338867188,296.24639892578125,1021.6823120117188,331.6844787597656,0.09418812700005219,0,se3_log_map
0.31060582399368286,-0.03513174131512642,1.9325392246246338,120.62954711914062,243.57568359375,121.95980072021484,0.3504457175731659,977.3634643554688,297.91741943359375,1021.7603149414062,335.1976623535156,3.028388941000003,0,se3_log_map
0.3141283094882965,-0.040015798062086105,1.9318842887878418,111.9744873046875,246.66049194335938,126.78911590576172,0.3320592939853668,977.6701049804688,299.090576171875,1022.3961791992188,338.0174255371094,0.8127801450000334,0,se3_log_map
0.3176215589046478,-0.04427195340394974,1.933958649635315,104.05509948730469,246.7058563232422,131.74342346191406,0.33055099844932556,979.274658203125,298.4084167480469,1023.7316284179688,338.5538330078125,0.6177223839999897,0,se3_log_map
0.31808027625083923,-0.047495629638433456,1.9380606412887573,99.38475799560547,244.25379943847656,136.618896484375,0.34752559661865234,981.5949096679688,296.9881591796875,1025.5391845703125,337.7969055175781,0.6326608010001564,0,se3_log_map
0.319675087928772,-0.04998089745640755,1.94273042678833,94.24886322021484,241.39669799804688,141.07568359375,0.35410648584365845,984.206787109375,295.05517578125,1027.4825439453125,336.49249267578125,0.7615391799999998,0,se3_log_map
0.3189261853694916,-0.05314644053578377,1.9476852416992188,90.72730255126953,237.7551727294922,145.6519775390625,0.3570686876773834,986.8644409179688,293.21234130859375,1029.502197265625,335.0994873046875,0.7062434790000225,0,se3_log_map
0.31795305013656616,-0.05555453151464462,1.9525012969970703,88.79460144042969,234.26519775390625,149.5391387939453,0.3617178201675415,989.37353515625,291.7646484375,1031.497314453125,333.9225158691406,0.6230293829999027,0,se3_log_map
0.31664595007896423,-0.059718403965234756,1.9573121070861816,86.35877990722656,231.2869110107422,154.6158447265625,0.3619638979434967,992.0125732421875,291.30316162109375,1033.898681640625,334.0168762207031,0.7185711530000845,0,se3_log_map
0.3145138621330261,-0.06420764327049255,1.9622914791107178,85.37584686279297,228.7063751220703,160.1103973388672,0.346106618642807,994.7076416015625,291.9434509277344,1036.6649169921875,335.2289123535156,5.227430592000019,0,se3_log_map
0.31525421142578125,-0.06582721322774887,1.9651250839233398,83.3671875,227.98666381835938,162.64004516601562,0.3491252660751343,996.2916259765625,292.1982116699219,1038.256591796875,335.9700012207031,0.10396068200020636,0,se3_log_map
0.31630468368530273,-0.06767511367797852,1.9681087732315063,81.90521240234375,227.32127380371094,164.9942626953125,0.35474902391433716,997.991455078125,292.5859375,1039.996826171875,336.7919006347656,0.09753152600001158,0,se3_log_map
0.3175181448459625,-0.07075201719999313,1.9714105129241943,79.08407592773438,226.46810913085938,168.05589294433594,0.3609735369682312,999.9700317382812,292.89056396484375,1041.9813232421875,337.7389831542969,0.09879205900006127,0,se3_log_map
0.31871679425239563,-0.07445874065160751,1.9749114513397217,75.57009887695312,225.44732666015625,171.52684020996094,0.3579051196575165,1002.10546875,293.18731689453125,1044.114013671875,338.7890319824219,0.09801673699985258,0,se3_log_map
0.31904149055480957,-0.07767531275749207,1.978706955909729,73.12403106689453,223.87506103515625,174.32470703125,0.35631024837493896,1004.2822265625,293.01239013671875,1046.1544189453125,339.14373779296875,0.09962275300017609,0,se3_log_map
0.3193708062171936,-0.08065671473741531,1.9824897050857544,70.1680908203125,222.09353637695312,176.59793090820312,0.35610100626945496,1006.433349609375,292.29425048828125,1048.01904296875,338.9189758300781,0.09999461899997186,0,se3_log_map
