alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,r1,r2,r3,t1,t2,t3
-0.5942901372909546,0.008541896939277649,1.873726725578308,172.46533203125,132.1714630126953,143.31175231933594,0.7590862512588501,138.12893676757812,168.0666046142578,217.5453643798828,168.52865600585938,0.3833922459743917,15,se3_log_map,0.8138116598129272,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6137204766273499,0.007884464226663113,1.8625186681747437,163.82101440429688,125.2527847290039,140.8800506591797,0.7574247121810913,131.393310546875,167.05166625976562,212.53343200683594,167.44430541992188,0.17743674293160439,15,se3_log_map,0.8183426856994629,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6121233105659485,0.015206565149128437,1.847379446029663,166.6049346923828,126.2593002319336,132.78167724609375,0.7899770140647888,134.9528045654297,165.57896423339844,213.608642578125,165.9877471923828,0.24619393469765782,15,se3_log_map,0.8228769302368164,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6127410531044006,0.020346585661172867,1.8343335390090942,172.05844116210938,128.11666870117188,127.48614501953125,0.8082390427589417,137.5728759765625,163.78907775878906,213.89987182617188,164.2061767578125,0.17507947701960802,15,se3_log_map,0.8191485404968262,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6171351075172424,0.02672089822590351,1.8248591423034668,176.571044921875,128.43771362304688,122.82093048095703,0.7869346737861633,137.91424560546875,161.55111694335938,212.41256713867188,161.9609375,0.169414971023798,15,se3_log_map,0.8111120462417603,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6246558427810669,0.031819671392440796,1.824860692024231,177.7512664794922,126.17547607421875,121.5938491821289,0.7879451513290405,134.58750915527344,159.01956176757812,208.3291015625,159.39901733398438,0.17718112329021096,15,se3_log_map,0.8115389347076416,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6321408152580261,0.03378458321094513,1.8308135271072388,176.89622497558594,123.27507019042969,122.99930572509766,0.799905002117157,129.72962951660156,157.03604125976562,203.69117736816406,157.38050842285156,0.1763563067652285,15,se3_log_map,0.8089812397956848,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6368306875228882,0.030817141756415367,1.8386588096618652,175.1591033935547,120.8438491821289,125.28935241699219,0.8084008693695068,125.66796112060547,155.98995971679688,200.31301879882812,156.3113250732422,0.22409596806392074,15,se3_log_map,0.8140947818756104,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.641425609588623,0.02670087106525898,1.8481124639511108,175.01087951660156,118.84461975097656,129.48097229003906,0.8003348112106323,121.35179138183594,154.52981567382812,196.48338317871094,154.82655334472656,0.17353040911257267,15,se3_log_map,0.8147211074829102,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6447414755821228,0.02334442548453808,1.8520902395248413,176.39154052734375,117.57072448730469,131.1483917236328,0.8010818362236023,119.04523468017578,152.7710723876953,193.6769561767578,153.05381774902344,0.1782423947006464,15,se3_log_map,0.8174594640731812,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6491138935089111,0.02179785817861557,1.8551032543182373,179.11810302734375,116.593505859375,132.82833862304688,0.8068385124206543,116.4637680053711,150.52369689941406,190.31866455078125,150.78932189941406,0.17622079281136394,15,se3_log_map,0.8173043727874756,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6536386013031006,0.0213575791567564,1.8565562963485718,182.66781616210938,115.93612670898438,133.79127502441406,0.8079825639724731,114.15434265136719,148.0850372314453,186.9769744873047,148.33486938476562,0.17512122262269258,15,se3_log_map,0.8126728534698486,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6567352414131165,0.02289593778550625,1.8540452718734741,186.57211303710938,115.40693664550781,132.26234436035156,0.8122347593307495,113.36534881591797,145.45372009277344,184.41390991210938,145.69512939453125,0.17511984426528215,15,se3_log_map,0.8068689107894897,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6596753001213074,0.02352496050298214,1.8533369302749634,189.1505889892578,114.64067077636719,130.92422485351562,0.8071174621582031,112.24999237060547,143.3839569091797,182.09617614746094,143.61793518066406,0.17910507321357727,15,se3_log_map,0.7989938259124756,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6635691523551941,0.024783257395029068,1.8546733856201172,190.36473083496094,113.33553314208984,129.87493896484375,0.8073438405990601,110.16519927978516,141.59181213378906,179.4007110595703,141.81497192382812,0.17660714266821742,15,se3_log_map,0.7985495924949646,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6675950288772583,0.02600104920566082,1.8565523624420166,190.52755737304688,111.7193374633789,128.5941162109375,0.8118730187416077,107.8840560913086,140.0735626220703,176.80377197265625,140.28604125976562,0.17880430724471807,15,se3_log_map,0.8012982606887817,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6718149781227112,0.027740933001041412,1.858904242515564,189.92010498046875,109.89549255371094,127.19198608398438,0.8163648843765259,105.36968994140625,138.79396057128906,174.2599639892578,138.9955291748047,0.1789906220510602,15,se3_log_map,0.8096605539321899,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6733435988426208,0.026792185381054878,1.8617686033248901,188.6008758544922,108.51181030273438,125.79371643066406,0.8166831731796265,104.007568359375,138.29733276367188,173.0425567626953,138.49610900878906,0.21315536415204406,15,se3_log_map,0.8160340785980225,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
-0.6739357113838196,0.024919049814343452,1.8652215003967285,187.1507110595703,107.36376953125,124.95722198486328,0.8138939142227173,102.96358489990234,138.11277770996094,172.2690887451172,138.31068420410156,0.255831825081259,15,se3_log_map,0.8205531239509583,1.8502004146575928,1.8502004146575928,1.8502004146575928,279.4508056640625,159.32687377929688,-45.51704788208008
