alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim
-0.6549584269523621,-0.014851072803139687,1.8560734987258911,191.6253662109375,123.18896484375,125.20587921142578,0.7850704193115234,964.9620361328125,259.9467468261719,999.36181640625,297.75616455078125,0.33096866868436337,2,se3_log_map,0.7948801517486572
-0.6539773344993591,-0.0027897392865270376,1.8359065055847168,203.24090576171875,121.70132446289062,114.5703125,0.7728420495986938,957.4386596679688,263.14337158203125,992.9417114257812,299.0744934082031,0.188875962048769,2,se3_log_map,0.8013743758201599
-0.6664220094680786,0.005947863217443228,1.8428983688354492,200.32919311523438,117.52589416503906,116.32267761230469,0.8023359775543213,963.5225830078125,259.7596740722656,997.9232788085938,295.99664306640625,0.18945142580196261,2,se3_log_map,0.7933884263038635
-0.6779766082763672,0.012649334967136383,1.8486210107803345,197.1210174560547,113.18496704101562,116.71158599853516,0.8041143417358398,968.64794921875,255.51736450195312,1001.7824096679688,291.7603454589844,0.25839748699218035,2,se3_log_map,0.7824129462242126
-0.6898597478866577,0.01736314222216606,1.8545987606048584,197.83868408203125,108.58126831054688,118.32096862792969,0.8028985261917114,973.6477661132812,254.8134307861328,1006.439208984375,291.28057861328125,0.19731376832351089,2,se3_log_map,0.7788265347480774
-0.6980562806129456,0.02230432815849781,1.8534387350082397,201.65261840820312,104.73110961914062,116.51351165771484,0.8076436519622803,974.9960327148438,255.35813903808594,1007.8814697265625,291.4258117675781,0.2016216772608459,2,se3_log_map,0.7790372967720032
-0.7074804306030273,0.027173558250069618,1.8520886898040771,206.8255157470703,101.2885513305664,115.49356842041016,0.8144612312316895,976.44091796875,257.6333312988281,1009.8572998046875,293.5426330566406,0.1991152185946703,2,se3_log_map,0.776713490486145
-0.7176414132118225,0.031734492629766464,1.8505470752716064,212.83018493652344,98.14593505859375,114.71513366699219,0.8205870389938354,977.8840942382812,260.9384460449219,1012.0999145507812,296.81365966796875,0.2562627741135657,2,se3_log_map,0.7907204627990723
-0.7284291386604309,0.035762153565883636,1.8506264686584473,218.51077270507812,94.86225891113281,114.92877960205078,0.8210142850875854,980.0931396484375,264.4889831542969,1015.1536865234375,300.52532958984375,0.27643419057130814,2,se3_log_map,0.7906819581985474
-0.7392759919166565,0.039931297302246094,1.8531684875488281,221.94430541992188,91.21607971191406,115.75849151611328,0.8232989311218262,983.4830322265625,266.42010498046875,1018.9301147460938,302.69525146484375,0.20235045906156301,2,se3_log_map,0.7900030016899109
-0.749946653842926,0.045605193823575974,1.8574714660644531,222.7919464111328,87.14747619628906,116.6807861328125,0.8302227258682251,987.9471435546875,266.1678771972656,1023.1739501953125,302.65374755859375,0.19853449473157525,2,se3_log_map,0.7789086699485779
-0.7594722509384155,0.051771581172943115,1.8619425296783447,222.35813903808594,82.94651794433594,117.15962219238281,0.8304159641265869,992.44970703125,264.6689147949219,1027.1348876953125,301.2270812988281,0.20118039473891258,2,se3_log_map,0.7763317823410034
-0.7673670649528503,0.05792509764432907,1.865157127380371,221.81692504882812,78.93527221679688,116.75894927978516,0.8298366665840149,996.183349609375,262.804443359375,1030.265625,299.22998046875,0.2760721449740231,2,se3_log_map,0.7872548699378967
-0.7747676372528076,0.06373938918113708,1.867343544960022,221.84765625,75.11894989013672,115.74017333984375,0.8294579982757568,999.3485107421875,261.25665283203125,1032.9339599609375,297.4432373046875,0.2004292760975659,2,se3_log_map,0.7987945079803467
-0.7825158834457397,0.0692271813750267,1.8685466051101685,223.2230987548828,71.45585632324219,114.43218994140625,0.8315131068229675,1002.090576171875,260.8241271972656,1035.47802734375,296.7687072753906,0.2003495041280985,2,se3_log_map,0.8064306378364563
-0.7902572751045227,0.07546648383140564,1.868035912513733,225.79188537597656,67.83733367919922,112.33631134033203,0.836321234703064,1004.2440795898438,261.1576843261719,1037.6461181640625,296.7445373535156,0.24625563342124224,2,se3_log_map,0.8122974634170532
-0.7976439595222473,0.08132200688123703,1.866823673248291,228.96983337402344,64.4365005493164,110.05917358398438,0.8397963047027588,1005.9899291992188,262.09210205078125,1039.571044921875,297.3052673339844,0.3057743269018829,2,se3_log_map,0.8111734390258789
-0.8032607436180115,0.08599479496479034,1.8650914430618286,231.79852294921875,61.42063522338867,107.49321746826172,0.8416832685470581,1007.0234375,262.7886047363281,1040.746826171875,297.51953125,0.20076275104656816,2,se3_log_map,0.8117737770080566
-0.8061127066612244,0.0892324447631836,1.8628242015838623,233.638916015625,58.91520309448242,104.62946319580078,0.840487003326416,1007.11572265625,262.6889343261719,1040.81103515625,296.77630615234375,0.2527050548233092,2,se3_log_map,0.8125125169754028
-0.8096744418144226,0.09361515194177628,1.8625164031982422,234.88412475585938,56.22209548950195,103.09197235107422,0.8394256830215454,1008.4253540039062,262.6012878417969,1042.05615234375,296.326416015625,0.2012052251957357,2,se3_log_map,0.8122270107269287
-0.8144742250442505,0.10002598166465759,1.8642830848693848,235.81845092773438,53.25414276123047,103.07119750976562,0.8440091609954834,1011.2727661132812,262.8117370605469,1044.8648681640625,296.5317077636719,0.20177281694486737,2,se3_log_map,0.8178623914718628
-0.8186560869216919,0.10645543783903122,1.8662506341934204,236.4388885498047,50.36882400512695,103.21409606933594,0.8437258005142212,1014.130615234375,262.8564453125,1047.642333984375,296.58917236328125,0.2021577642299235,2,se3_log_map,0.8163899779319763
-0.8209159970283508,0.11151086539030075,1.8672983646392822,236.85842895507812,47.913761138916016,102.77396392822266,0.8426156044006348,1016.0006103515625,262.60260009765625,1049.3890380859375,296.17437744140625,0.2015018709935248,2,se3_log_map,0.8159440755844116
-0.8227099180221558,0.11641918867826462,1.8678151369094849,237.5875244140625,45.72241973876953,102.26470947265625,0.8416571021080017,1017.53759765625,262.6717529296875,1050.89453125,296.084716796875,0.20434369472786784,2,se3_log_map,0.8158289194107056
-0.8230592608451843,0.11978945881128311,1.8679344654083252,238.41781616210938,43.91291427612305,101.33525848388672,0.8416634202003479,1018.3470458984375,262.7550964355469,1051.6990966796875,295.89044189453125,0.2654683473519981,2,se3_log_map,0.8176689147949219
-0.8221949338912964,0.12125875800848007,1.8676249980926514,239.5701446533203,42.483238220214844,100.11441040039062,0.8426089286804199,1018.3728637695312,263.0999450683594,1051.810302734375,295.8688049316406,0.2855475419200957,2,se3_log_map,0.8207610845565796
-0.8212291598320007,0.12220903486013412,1.8669488430023193,241.27513122558594,41.23054122924805,98.82905578613281,0.8443843126296997,1018.1124267578125,263.97125244140625,1051.7764892578125,296.3820495605469,0.20348680159077048,2,se3_log_map,0.8236411809921265
-0.8195863962173462,0.1218009889125824,1.8656033277511597,243.4368896484375,40.22270965576172,97.29103088378906,0.8458067774772644,1017.1627807617188,265.2261962890625,1051.173095703125,297.2117004394531,0.2025425317697227,2,se3_log_map,0.8264451622962952
-0.8179334998130798,0.12103446573019028,1.8644543886184692,245.8349609375,39.24822998046875,96.06013488769531,0.8441951274871826,1016.223876953125,266.8385314941406,1050.6729736328125,298.4656066894531,0.26512565836310387,2,se3_log_map,0.8249416351318359
-0.8167672157287598,0.12115560472011566,1.864445447921753,248.04750061035156,38.080318450927734,95.61964416503906,0.8433245420455933,1016.0521240234375,268.5531311035156,1050.9437255859375,299.99725341796875,0.253617016132921,2,se3_log_map,0.82292640209198
-0.8154047131538391,0.12218711525201797,1.8654084205627441,249.695556640625,36.752838134765625,95.72944641113281,0.8447990417480469,1016.46533203125,269.9310607910156,1051.696044921875,301.2845153808594,0.20517482608556747,2,se3_log_map,0.8229333162307739
-0.8135048747062683,0.12394101917743683,1.8671749830245972,250.61595153808594,35.43384552001953,96.37859344482422,0.8469953536987305,1017.2938232421875,270.8371276855469,1052.7294921875,302.1854248046875,0.204121557995677,2,se3_log_map,0.8239657878875732
-0.8104366660118103,0.12488818168640137,1.8690155744552612,251.0180206298828,34.38059997558594,97.06829833984375,0.8473222851753235,1017.7969970703125,271.3196105957031,1053.3399658203125,302.6249084472656,0.20260423887521029,2,se3_log_map,0.8248403072357178
-0.8067249655723572,0.12473234534263611,1.8708932399749756,251.35899353027344,33.57118606567383,97.80851745605469,0.8463885188102722,1017.9863891601562,271.79931640625,1053.6466064453125,303.0520324707031,0.2035970138385892,2,se3_log_map,0.8240358233451843
-0.8028335571289062,0.12399492412805557,1.8723413944244385,252.03990173339844,32.960384368896484,98.48407745361328,0.8457906246185303,1017.8414306640625,272.597900390625,1053.712890625,303.79400634765625,0.20249546598643064,2,se3_log_map,0.8246211409568787
