alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim
-0.5448325276374817,0.09752769768238068,1.8863811492919922,153.10922241210938,145.64256286621094,117.21269226074219,0.7934798002243042,983.3153076171875,241.64645385742188,1012.5719604492188,280.57159423828125,0.1602057800628245,39,se3_log_map,0.7995524406433105
-0.5604082345962524,0.10496308654546738,1.9025501012802124,163.06268310546875,149.031005859375,120.29254150390625,0.7794665098190308,993.9057006835938,251.5352325439453,1025.24072265625,292.7186279296875,0.17649416299536824,39,se3_log_map,0.7830914258956909
-0.5746877789497375,0.11283715069293976,1.9155492782592773,162.668701171875,141.60855102539062,120.58765411376953,0.810861349105835,1002.9664306640625,247.09405517578125,1032.95556640625,288.2357482910156,0.17999382596462965,39,se3_log_map,0.813247561454773
-0.5888189673423767,0.11917989701032639,1.9265501499176025,163.6493682861328,135.32717895507812,119.09984588623047,0.8060659170150757,1010.8810424804688,243.47348022460938,1039.788330078125,284.415771484375,0.2573821838013828,39,se3_log_map,0.8084638118743896
-0.6016697883605957,0.12492261826992035,1.925901174545288,168.955322265625,132.64035034179688,115.25435638427734,0.8254122734069824,1013.133056640625,243.7681884765625,1042.0467529296875,284.2991943359375,0.18433673214167356,39,se3_log_map,0.810180127620697
-0.6152220964431763,0.130154550075531,1.9242360591888428,175.2501678466797,130.7959442138672,112.19508361816406,0.826035737991333,1014.9806518554688,245.78025817871094,1044.31494140625,286.14434814453125,0.18695125309750438,39,se3_log_map,0.817171573638916
-0.628759503364563,0.13556921482086182,1.9263865947723389,177.59115600585938,126.98814392089844,109.29505920410156,0.8365465402603149,1018.6951293945312,244.15162658691406,1047.544677734375,284.1366882324219,0.1897833989933133,39,se3_log_map,0.8327789306640625
-0.6426820755004883,0.14146703481674194,1.9320120811462402,177.3916778564453,121.90254974365234,107.15563201904297,0.8470250368118286,1024.21044921875,240.4378662109375,1052.0538330078125,280.0413818359375,0.19603206031024456,39,se3_log_map,0.8264086842536926
-0.6571030616760254,0.14758679270744324,1.9377714395523071,177.589599609375,117.03800964355469,105.72074127197266,0.8505374193191528,1029.9466552734375,237.5138702392578,1056.978271484375,276.90008544921875,0.26230322662740946,39,se3_log_map,0.8247178792953491
-0.6718727946281433,0.15354496240615845,1.9415292739868164,178.5933837890625,112.74658203125,104.08189392089844,0.8526593446731567,1034.8350830078125,235.45791625976562,1061.2841796875,274.63848876953125,0.198490081820637,39,se3_log_map,0.832930862903595
