0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
specimen_01_epoch000,38.26518249511719,43.04538345336914,64.20526885986328,66.16487884521484,62.923648834228516,63.63916015625,63.60298156738281,56.961917877197266,53.050045013427734,38.16337203979492,49.320350646972656,45.87194061279297,43.78559494018555,43.322505950927734,44.45313262939453,46.51493453979492,47.897132873535156,52.12203598022461,34.92001724243164,39.934288024902344,44.894683837890625,44.92532730102539,30.399362564086914,46.77948760986328,49.70749282836914,53.96378707885742,58.61293411254883,64.07398986816406,69.96217346191406,43.93993377685547,43.61933135986328,44.992610931396484,47.72672653198242,48.35725021362305,45.139766693115234,61.10437774658203,63.245216369628906,54.260074615478516,50.64421463012695,46.945152282714844,42.587371826171875,38.40021514892578,33.64949417114258,29.621959686279297,25.145204544067383,18.857852935791016,48.634979248046875,47.51533889770508,46.901939392089844,46.74258041381836,46.983646392822266,44.837642669677734,45.067955017089844,66.68916320800781,66.20464324951172,62.290409088134766,46.01020050048828,33.963436126708984,55.613521575927734,62.382652282714844,52.80781555175781,50.91469955444336,55.66595458984375,51.505882263183594,49.23146057128906,41.781192779541016,55.62752914428711,60.835567474365234,50.85315704345703,60.325931549072266,50.0411491394043,51.0339469909668,49.98888397216797,47.01606369018555,53.75798797607422,57.7357063293457,49.820945739746094,48.17844772338867,49.64763641357422,47.1871452331543,47.62720489501953,49.22439193725586,49.44442367553711,49.963539123535156,52.07439041137695,51.47789001464844,48.22899627685547,50.40126419067383,53.64055633544922,53.94770431518555,55.724632263183594,57.82870864868164,51.210121154785156,53.44633102416992,51.53746032714844,51.11821365356445,49.29641342163086,51.543365478515625,48.008827209472656,47.468265533447266,47.959285736083984,50.10179138183594,52.44058609008789,53.7722053527832,55.92216110229492,48.68170928955078,48.00020980834961,47.24055862426758,48.002593994140625,48.52070617675781,47.27084732055664
specimen_01_epoch050,7.824480056762695,10.319106101989746,6.454288005828857,27.690555572509766,15.886673927307129,8.969245910644531,13.971955299377441,13.68502426147461,12.219754219055176,15.391067504882812,11.339111328125,7.173434734344482,9.847153663635254,14.078577041625977,12.406302452087402,15.16217041015625,15.486950874328613,18.947185516357422,13.527552604675293,9.896105766296387,12.56856918334961,10.538405418395996,12.940418243408203,8.547868728637695,10.922060012817383,13.983053207397461,11.874252319335938,16.06745719909668,17.369884490966797,11.012776374816895,9.530729293823242,12.859140396118164,20.111339569091797,31.33362579345703,14.95706558227539,25.858388900756836,32.976619720458984,11.21374225616455,10.479501724243164,9.228141784667969,8.310388565063477,8.703897476196289,8.970157623291016,3.329411506652832,4.53013277053833,12.436938285827637,16.013355255126953,9.767698287963867,10.871387481689453,9.27112102508545,11.351143836975098,11.566360473632812,15.13051700592041,20.781381607055664,21.47357749938965,19.355300903320312,16.482059478759766,14.990155220031738,18.360578536987305,45.053985595703125,20.75330352783203,15.667871475219727,10.667489051818848,12.954655647277832,15.721206665039062,10.672090530395508,23.24626350402832,22.80653190612793,8.453859329223633,15.8546142578125,12.602723121643066,8.734463691711426,5.7871856689453125,7.673253059387207,12.366888046264648,19.949363708496094,11.841703414916992,9.60120964050293,9.74422836303711,12.380843162536621,8.702486991882324,11.552562713623047,8.791236877441406,12.89053726196289,11.225285530090332,8.893526077270508,5.8220930099487305,7.097862243652344,12.532732009887695,14.440311431884766,13.24346923828125,19.340457916259766,11.428421974182129,27.52344512939453,11.03036880493164,7.273467063903809,2.312628746032715,9.374638557434082,3.454263687133789,6.11289644241333,5.419646263122559,4.077596187591553,4.529268741607666,7.926325798034668,11.574847221374512,3.130943536758423,6.998494625091553,9.09371280670166,9.110523223876953,10.866522789001465,8.779927253723145
specimen_01_epoch100,4.783907413482666,5.392879962921143,6.119157314300537,19.61125373840332,15.088593482971191,6.436103820800781,11.856721878051758,10.525896072387695,7.4373779296875,13.991930961608887,6.875397682189941,5.378360271453857,5.424114227294922,7.094479560852051,6.2841033935546875,5.48067569732666,8.046577453613281,10.471896171569824,13.203487396240234,5.488423824310303,6.626698970794678,6.381594181060791,13.658865928649902,6.097565650939941,5.32347297668457,8.50442123413086,7.962629795074463,10.5679931640625,10.205961227416992,9.591456413269043,4.528255462646484,6.635209083557129,13.92053508758545,24.39569664001465,8.62849235534668,18.32674789428711,22.369487762451172,11.625964164733887,10.36935043334961,11.669692039489746,9.120855331420898,6.838757038116455,5.211207866668701,6.06605339050293,7.4221882820129395,14.280763626098633,9.820569038391113,8.129181861877441,11.453250885009766,11.862299919128418,18.640220642089844,10.986952781677246,8.118498802185059,16.3476505279541,17.056228637695312,16.229150772094727,10.004949569702148,11.748746871948242,9.171077728271484,38.997581481933594,9.917023658752441,7.795801162719727,8.120580673217773,5.774116516113281,8.038501739501953,8.292262077331543,18.337181091308594,17.782657623291016,10.2422456741333,7.833298683166504,12.161093711853027,10.848738670349121,9.381775856018066,7.556617736816406,13.432300567626953,13.677291870117188,12.857748985290527,9.569464683532715,11.253706932067871,11.532626152038574,9.122208595275879,10.90886402130127,10.151396751403809,10.32938003540039,11.115083694458008,11.274113655090332,8.613618850708008,10.115013122558594,12.558911323547363,14.690713882446289,12.342853546142578,13.046239852905273,12.935540199279785,21.45054817199707,8.095540046691895,9.95515251159668,8.901487350463867,11.661380767822266,4.526224613189697,4.633797645568848,4.587536334991455,5.062088966369629,5.450575351715088,9.893474578857422,6.679245471954346,8.06597900390625,9.663830757141113,10.792064666748047,8.256823539733887,12.642681121826172,10.454672813415527
specimen_01_epoch1000,3.7381033897399902,4.314095973968506,2.400301694869995,19.928852081298828,6.832128524780273,3.303679943084717,4.228030204772949,4.037570953369141,2.9648025035858154,3.381166696548462,2.8377745151519775,3.9259047508239746,4.237391471862793,3.568787097930908,3.8898143768310547,3.5054216384887695,3.456003189086914,2.389615535736084,3.045698404312134,3.479236125946045,4.1770124435424805,4.183849334716797,3.607375144958496,3.8926613330841064,4.336721420288086,3.129631280899048,2.2600913047790527,4.064480304718018,7.903339862823486,2.834709644317627,5.373591423034668,4.2438883781433105,5.526848793029785,10.298844337463379,8.296438217163086,5.2794036865234375,14.131420135498047,2.920945882797241,3.488290548324585,3.958406686782837,4.217485427856445,4.829495429992676,5.654024600982666,5.425512313842773,6.922396183013916,4.0981903076171875,6.014363765716553,4.196424961090088,3.5661380290985107,4.206471920013428,16.048234939575195,4.790318489074707,6.307231426239014,4.229970932006836,3.8961687088012695,1.926321268081665,4.563183307647705,3.0079164505004883,4.83251953125,13.151028633117676,4.014373302459717,3.542658567428589,4.228783130645752,3.721235752105713,3.804661750793457,4.777970790863037,12.18189525604248,8.975805282592773,7.97337532043457,6.342122554779053,2.3664467334747314,1.432141900062561,1.5392792224884033,4.212324142456055,2.4524033069610596,4.092318058013916,2.439535140991211,1.3561097383499146,2.610795021057129,1.0566654205322266,1.3712183237075806,1.9615893363952637,2.5798304080963135,4.100594520568848,1.2698942422866821,1.6250336170196533,1.081013798713684,1.5392953157424927,2.1254730224609375,2.2861170768737793,2.695697069168091,3.5033202171325684,1.6227272748947144,9.688206672668457,1.2627681493759155,1.230921983718872,1.8692805767059326,1.490022897720337,4.927421569824219,5.701324939727783,5.156734466552734,4.938205718994141,2.4788317680358887,2.3778722286224365,5.558455467224121,3.434514045715332,6.214239597320557,7.1103997230529785,2.910339117050171,5.192027568817139,6.9533796310424805
specimen_01_epoch150,3.446234941482544,2.222405195236206,4.768455505371094,15.48457145690918,10.19021987915039,3.5606114864349365,5.461130619049072,6.866032123565674,4.130939483642578,9.298261642456055,3.6618540287017822,1.9809707403182983,3.300736904144287,2.555570602416992,3.119295120239258,3.5884945392608643,5.273067474365234,6.227097034454346,6.968409538269043,1.7762755155563354,2.6726326942443848,3.186110734939575,7.411217212677002,1.3199557065963745,2.4234728813171387,4.981562614440918,6.97392463684082,7.37814998626709,10.651385307312012,4.64419412612915,4.619756698608398,2.557260274887085,8.012481689453125,12.352407455444336,4.292210578918457,12.043495178222656,16.739858627319336,6.853296756744385,6.982979774475098,5.153174877166748,5.833232879638672,3.703003168106079,2.105726480484009,4.304278373718262,7.831870079040527,13.58864688873291,6.315744400024414,4.064822673797607,5.191596984863281,5.327789306640625,14.695208549499512,4.230207443237305,6.035186290740967,8.905523300170898,9.49458122253418,7.554605007171631,5.422952651977539,7.082484722137451,7.631592273712158,18.872846603393555,7.0963897705078125,4.772780895233154,6.015174388885498,1.887762188911438,4.366297721862793,5.825133323669434,14.174089431762695,10.533327102661133,3.889561176300049,3.2116734981536865,4.651766300201416,4.756814002990723,4.049503803253174,3.333139657974243,4.622069358825684,8.728500366210938,8.298254013061523,4.665505409240723,7.65863561630249,6.206172466278076,4.458856582641602,4.703770160675049,7.156987190246582,7.332944869995117,6.8173828125,5.010247230529785,6.479238033294678,4.299768447875977,6.831642150878906,5.52797269821167,7.867326259613037,8.200084686279297,5.368696689605713,10.526545524597168,2.4969189167022705,4.138246059417725,3.4339611530303955,4.867911338806152,3.177741765975952,3.8184452056884766,3.498861074447632,4.567899227142334,3.581664800643921,4.449906349182129,5.320819854736328,4.5494794845581055,7.9544878005981445,9.492005348205566,4.9448089599609375,7.626418113708496,9.194467544555664
specimen_01_epoch200,3.662432909011841,2.423940658569336,11.785122871398926,12.853127479553223,5.466491222381592,10.874059677124023,6.67641544342041,4.818813800811768,4.155649662017822,4.196100234985352,3.6648809909820557,4.572404384613037,3.68226957321167,2.484579086303711,2.134361505508423,0.5123989582061768,1.8624293804168701,3.4005541801452637,4.9354248046875,1.869588851928711,2.7739500999450684,3.56931471824646,6.981734275817871,3.4489431381225586,4.092954158782959,5.152773857116699,7.258959770202637,7.369909763336182,5.197936534881592,2.8786234855651855,3.1867659091949463,2.4056482315063477,6.698596477508545,14.979424476623535,4.6060791015625,9.346694946289062,16.326326370239258,6.885931015014648,7.688868045806885,4.182647705078125,5.434932708740234,4.187434673309326,3.4444801807403564,0.7019723653793335,2.1255016326904297,8.580288887023926,7.475245475769043,4.39921760559082,4.455933570861816,4.082230091094971,17.5068302154541,3.236520767211914,4.591168403625488,7.000884532928467,7.291979789733887,4.331050395965576,3.1581451892852783,4.650535583496094,4.623414039611816,13.640546798706055,4.1432342529296875,2.334158182144165,4.000936031341553,2.1205177307128906,2.497666358947754,3.9219110012054443,14.7831392288208,13.035879135131836,6.442152976989746,2.951143980026245,3.7725090980529785,2.368866205215454,2.6031250953674316,2.7556025981903076,4.6986083984375,9.480161666870117,5.849095821380615,3.3964765071868896,5.054277420043945,2.605031728744507,3.5374319553375244,3.461042642593384,4.65915584564209,4.999436378479004,2.451275110244751,2.513779878616333,3.227287769317627,2.4637649059295654,4.689116477966309,5.302720069885254,7.918941020965576,8.48275089263916,2.400747776031494,10.866305351257324,3.470637083053589,2.1980926990509033,2.981980800628662,2.499422311782837,6.392216205596924,8.658973693847656,8.094040870666504,5.078737258911133,3.798564910888672,5.415541648864746,6.916559219360352,5.382161617279053,7.1419291496276855,8.214186668395996,3.3874893188476562,6.172675132751465,8.234674453735352
specimen_01_epoch250,2.478208541870117,2.6270713806152344,9.599221229553223,23.607135772705078,8.818493843078613,8.68974494934082,8.1224946975708,4.791890621185303,2.9943184852600098,4.207801818847656,3.410414695739746,4.585953712463379,4.267402648925781,3.224411725997925,2.798893690109253,1.8101140260696411,1.8423665761947632,2.5167977809906006,4.470088481903076,1.826638102531433,3.3498117923736572,4.031983852386475,5.457425594329834,2.8958287239074707,3.1725547313690186,4.423715591430664,6.646116256713867,8.501977920532227,10.43751335144043,3.702763319015503,4.258084774017334,2.920620918273926,7.641839027404785,16.21574592590332,6.344701766967773,9.962713241577148,13.36758804321289,7.185500621795654,8.508520126342773,5.860011577606201,5.561234951019287,4.851057052612305,5.306821823120117,2.4812769889831543,2.304594039916992,6.279183387756348,7.351738452911377,4.823389053344727,5.325501441955566,6.877978801727295,16.281476974487305,5.490078449249268,6.439742088317871,5.835315704345703,6.162107467651367,5.821027755737305,4.428342819213867,3.9489850997924805,6.882863998413086,15.652080535888672,4.777826309204102,2.913144111633301,5.985907077789307,3.24202036857605,2.9590039253234863,4.279582977294922,13.278548240661621,14.222246170043945,4.017099380493164,5.338119029998779,2.982203722000122,2.486342668533325,2.449880599975586,3.0384504795074463,2.59590744972229,7.7404937744140625,4.242101192474365,3.0432424545288086,3.8589060306549072,2.4356818199157715,2.9060628414154053,3.14292573928833,3.5343754291534424,4.7155537605285645,3.5914788246154785,2.6141254901885986,3.156144857406616,2.4821112155914307,2.9565272331237793,3.4151828289031982,4.605915546417236,7.236728668212891,3.0651907920837402,14.979427337646484,1.735084056854248,2.4957220554351807,1.2369824647903442,2.6406712532043457,4.9851908683776855,6.501182556152344,5.877101898193359,4.566417217254639,2.1395981311798096,3.629951238632202,5.8850178718566895,4.5468668937683105,6.183498382568359,8.246339797973633,3.4104726314544678,6.170379638671875,8.188602447509766
specimen_01_epoch300,3.468474864959717,3.5760884284973145,3.298305034637451,15.236373901367188,3.5346717834472656,2.049250602722168,2.8710434436798096,5.286401271820068,2.2945520877838135,4.341013431549072,2.311464309692383,2.864750385284424,3.9349443912506104,5.475685119628906,4.370918273925781,2.5821692943573,2.46600604057312,4.87495231628418,4.919041156768799,4.234250068664551,4.6620306968688965,4.533139705657959,4.477574348449707,2.192824125289917,0.8278614282608032,2.040675640106201,3.0992019176483154,5.08850622177124,7.883636951446533,3.749411106109619,1.7749608755111694,4.112458229064941,7.161314964294434,10.963033676147461,4.334906101226807,7.994683742523193,10.331096649169922,6.824211120605469,6.450995445251465,7.643313407897949,7.793659210205078,7.109469413757324,7.149191379547119,6.250636577606201,5.348804473876953,7.827702522277832,5.816229343414307,4.678119659423828,5.814723968505859,7.42036247253418,24.384634017944336,6.233428478240967,3.663700580596924,5.378852844238281,6.227208137512207,3.177511215209961,4.893806457519531,4.781645774841309,3.537914991378784,16.869970321655273,4.548288345336914,4.060290813446045,3.149359941482544,2.4267284870147705,2.053490400314331,5.960830211639404,11.878799438476562,11.309134483337402,9.687145233154297,2.0858776569366455,3.4450268745422363,3.089139938354492,3.0084638595581055,4.977919101715088,3.867795467376709,3.469867467880249,4.057857036590576,2.587163209915161,4.067478179931641,4.062286376953125,2.322474241256714,4.384108066558838,3.995954990386963,5.4547295570373535,5.392285346984863,3.4436655044555664,2.8764896392822266,3.0665996074676514,5.667165756225586,4.075101852416992,3.6463088989257812,2.8103578090667725,3.0608787536621094,7.957775115966797,4.5805277824401855,3.484376907348633,4.401144027709961,3.493983507156372,11.152731895446777,11.907632827758789,11.104155540466309,7.617912769317627,1.2598198652267456,3.3610734939575195,6.850953102111816,8.451682090759277,7.3468146324157715,7.322966575622559,7.331740856170654,7.643917083740234,7.306060791015625
specimen_01_epoch350,2.7806904315948486,1.798356294631958,8.713324546813965,16.029205322265625,9.605195999145508,8.852707862854004,8.1425142288208,5.680544376373291,6.223443031311035,1.5631976127624512,4.115467548370361,4.1887640953063965,3.2416203022003174,2.132368803024292,1.3397716283798218,0.8237143754959106,0.8541687726974487,3.0307374000549316,1.6715997457504272,2.7988269329071045,2.59417462348938,2.730638027191162,3.1683127880096436,2.7986037731170654,3.8232171535491943,4.688106536865234,7.33296012878418,9.123645782470703,12.207291603088379,1.4479594230651855,1.038848638534546,2.113905906677246,4.365745544433594,6.818351745605469,3.957056760787964,6.257562160491943,10.158856391906738,4.456864356994629,4.800482273101807,4.339268207550049,3.9218504428863525,4.333399295806885,4.41531229019165,2.665294885635376,3.3138930797576904,4.317635536193848,2.4906349182128906,4.3178229331970215,3.845369815826416,3.543815851211548,19.444120407104492,2.711740732192993,3.132734775543213,5.699155807495117,6.221412181854248,3.5915846824645996,2.9407951831817627,3.0814857482910156,1.3363373279571533,10.33029556274414,1.1136622428894043,2.266219139099121,2.3409390449523926,1.2787352800369263,1.2880513668060303,4.555353164672852,8.800670623779297,8.502252578735352,6.86693000793457,5.042448997497559,3.7335703372955322,3.5789291858673096,2.9833261966705322,5.876203536987305,5.259494781494141,4.682140827178955,4.257080078125,1.4264793395996094,4.407921314239502,1.508413314819336,0.6859005093574524,4.32243013381958,4.666540145874023,5.52923583984375,4.597841262817383,3.970097541809082,1.7854048013687134,3.144054651260376,6.076502323150635,5.699016571044922,5.02996301651001,4.149600505828857,3.2589852809906006,6.677561283111572,4.001334190368652,3.7359092235565186,4.890347957611084,3.9958293437957764,8.842706680297852,9.808085441589355,8.817431449890137,6.340455532073975,2.1929633617401123,3.7351372241973877,6.695816993713379,5.094940185546875,4.498283863067627,4.402074337005615,4.732888698577881,3.1816766262054443,4.311992168426514
specimen_01_epoch400,1.1459213495254517,1.6217905282974243,4.0367112159729,18.19437026977539,6.3660759925842285,3.634398937225342,3.603362560272217,2.3394086360931396,1.7732892036437988,3.1430892944335938,1.764953374862671,2.8040688037872314,3.6510660648345947,3.1293976306915283,3.587881565093994,2.592949628829956,3.8818910121917725,2.9900646209716797,3.743751049041748,2.873457670211792,3.882941722869873,3.620729923248291,3.6369380950927734,2.9213225841522217,2.8512144088745117,2.4733433723449707,2.9756171703338623,3.2678797245025635,6.49935245513916,0.9552375078201294,2.0288801193237305,3.710381031036377,6.6873297691345215,12.346284866333008,5.748691558837891,8.361778259277344,16.41800880432129,4.761017322540283,5.5884294509887695,4.354713439941406,4.543658256530762,4.259594917297363,3.310075044631958,1.5626413822174072,2.18247652053833,3.6035587787628174,6.985973358154297,4.427577018737793,4.150479793548584,4.687163352966309,16.659147262573242,2.7923014163970947,5.856001377105713,6.179640769958496,6.518252849578857,2.667706251144409,5.307743072509766,3.0642220973968506,4.872672080993652,12.48256778717041,3.47615122795105,3.1102454662323,4.285793304443359,1.4277771711349487,2.0750732421875,3.5063393115997314,14.58571720123291,11.35389518737793,5.998326778411865,6.1298322677612305,3.734856367111206,2.8163015842437744,3.0061628818511963,1.9336953163146973,3.6017675399780273,4.180525779724121,3.645731210708618,3.094874382019043,3.420572519302368,1.910889744758606,3.2449328899383545,3.455238103866577,3.270573377609253,3.0274534225463867,2.348440647125244,2.5695927143096924,2.979504346847534,3.103438138961792,3.6626288890838623,3.583793878555298,3.6083381175994873,3.3174211978912354,3.096011161804199,11.205939292907715,2.4787471294403076,2.2571167945861816,3.249912977218628,2.5454814434051514,6.79474401473999,7.090890884399414,6.5872483253479,5.957830905914307,2.9848883152008057,3.576404333114624,5.022480487823486,4.9707207679748535,6.571359634399414,6.839951992034912,3.876197338104248,6.259790420532227,6.953234672546387
