id_number,file,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
2,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray002_se3_log_map.csv,0.5274222697395815,0.8610550445080964,0.7661809808081274,25.13128662109375,13.11849594116211,15.47127852508695,51.33212661743164,-1.2171132564544678,-0.2255099862813949,1.690387487411499,143.511962890625,13.82635498046875,197.6224670410156
51,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray051_se3_log_map.csv,0.39028334492959316,0.8681714312056492,0.7834882775980121,93.44509887695312,41.12608337402344,13.607417162484252,96.56041717529295,-1.2358357906341553,-0.1848852783441543,1.6643933057785034,92.01864624023438,113.72108459472656,174.1175079345703
52,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray052_se3_log_map.csv,0.5152378758622245,0.8519583396988819,0.8268629089669314,22.376264572143555,31.016389846801758,20.55630168774256,57.61294174194336,-1.0459306240081787,-0.3015895187854767,1.7165950536727903,144.8192596435547,52.52081298828125,206.17254638671875
45,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray045_se3_log_map.csv,0.48045769964635515,0.8306722439897977,0.7800855976901135,19.883281707763672,29.932279586791992,10.98868635273649,19.249267578125,-1.0933119058609009,-0.1299443393945694,1.7497388124465942,140.18946838378906,20.669723510742188,162.755126953125
30,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray030_se3_log_map.csv,0.4800014888358777,0.880983679147045,0.8106515240996436,40.67992401123047,35.76188659667969,17.02771886514779,35.69792938232422,-1.1802630424499512,-0.2212711572647094,1.8280404806137085,115.73444366455078,55.74517059326172,159.87466430664062
10,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray010_se3_log_map.csv,0.4875817432890682,0.8439307486361363,0.7779095608987567,22.062795639038086,14.782238006591797,7.7097330653612905,37.71335983276367,-1.0886085033416748,-0.0799746066331863,1.6870819330215454,162.71847534179688,15.029624938964844,176.50965881347656
13,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray013_se3_log_map.csv,0.5011614778063059,0.8591628084152102,0.7641494491475675,34.10163879394531,13.066131591796875,14.774138492504994,56.15275192260742,-1.2235593795776367,-0.2111057937145233,1.6971009969711304,145.8877716064453,3.933189392089844,197.4732666015625
48,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray048_se3_log_map.csv,0.42546620782317074,0.8378143805619156,0.8371130046326241,168.92283630371094,57.479026794433594,18.88290402969312,166.5665283203125,-1.211214303970337,-0.2873521149158478,1.6992104053497314,63.08721923828125,181.181884765625,146.98817443847656
26,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray026_se3_log_map.csv,0.5207521982420694,0.8908022096192556,0.8222762419705468,7.785350322723389,3.753859519958496,6.863092540829778,13.811826705932615,-1.2236489057540894,-0.060140386223793,1.6729696989059448,136.0699005126953,34.50495147705078,162.4851531982422
22,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray022_se3_log_map.csv,0.4325729655720223,0.8462042215372853,0.7934072651694986,37.06440734863281,56.81861877441406,20.55784214128721,18.818191528320312,-0.9169228672981262,-0.2197911292314529,1.7436102628707886,151.56173706054688,22.28314971923828,161.99642944335938
29,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray029_se3_log_map.csv,0.4589590299884979,0.8692250542185707,0.8262800189337828,24.31650161743164,33.59450149536133,11.01914222088709,13.796984672546388,-1.07291841506958,-0.1252478808164596,1.7404961585998535,134.2981414794922,33.79215240478516,160.9199676513672
5,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray005_se3_log_map.csv,0.5103083428348265,0.84702986119693,0.7687427119715547,59.162803649902344,22.95781707763672,14.007942952470652,69.38615417480469,-1.0370476245880127,-0.164714366197586,1.7465686798095703,179.41163635253906,-18.998199462890625,175.0539093017578
57,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray057_se3_log_map.csv,0.498254338485123,0.8449837576103919,0.7802025711946892,23.52195930480957,34.902061462402344,12.061232815915046,19.81803131103516,-0.9811965227127076,-0.0501573868095874,1.76179301738739,160.46429443359375,32.760498046875,140.6900634765625
47,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray047_se3_log_map.csv,0.42224813419308976,0.8356850247629659,0.7723676669010935,32.00694274902344,45.27753448486328,14.28143552940485,53.18658828735352,-1.3067010641098022,-0.1577240228652954,1.657097339630127,128.81802368164062,49.717071533203125,200.13653564453125
23,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray023_se3_log_map.csv,0.49877609046853244,0.8803205719703311,0.8415317418234074,17.396549224853516,2.606736183166504,2.2924905943065226,9.731976509094238,-1.1655378341674805,0.002160103758797,1.6963597536087036,139.48899841308594,43.79937744140625,153.9246826171875
34,/home/zsr/project/diffpose/ours/case/xyl/runs/diff/xyl_xray034_se3_log_map.csv,0.5436363263117205,0.892200869914753,0.8172906478654209,33.274620056152344,13.609294891357422,15.326449663963626,57.16954040527344,-1.22515606880188,-0.22088323533535,1.6858779191970823,144.4386749267578,5.440864562988281,199.70770263671875
