alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0690855979919434,-0.056133292615413666,1.9569108486175537,186.9442138671875,-10.478622436523438,151.117919921875,0.5012466907501221,25.445207595825195,9.944231033325195,27.31934356689453,9.945408821105957,0.2671234139997978,3,se3_log_map,0.649649977684021,1.7124264240264893,-1.058003306388855,-0.6413487195968628,231.1451416015625,160.70309448242188,-13.254400253295898
-1.0836552381515503,-0.042359858751297,1.973290205001831,187.39414978027344,-16.4056396484375,161.15916442871094,0.5372864603996277,30.02045440673828,13.590521812438965,32.953453063964844,13.592328071594238,0.12542940801358782,3,se3_log_map,0.6611416339874268,1.7274264097213745,-1.0730031728744507,-0.656348705291748,238.64511108398438,168.20306396484375,-5.754367351531982
-1.0761966705322266,-0.03507015481591225,1.978540062904358,182.083984375,-18.292373657226562,164.27821350097656,0.5155021548271179,27.696950912475586,19.735645294189453,34.009071350097656,19.737903594970703,0.12122222399921156,3,se3_log_map,0.6440064907073975,1.7389578819274902,-1.065268874168396,-0.6562806963920593,235.89137268066406,169.88108825683594,1.4110828638076782
-1.065828800201416,-0.03546090051531792,1.9751286506652832,177.56610107421875,-18.70092010498047,163.64930725097656,0.5258143544197083,23.33421516418457,22.863235473632812,32.66823196411133,22.865257263183594,0.12157384201418608,3,se3_log_map,0.6414436101913452,1.7402492761611938,-1.0541011095046997,-0.6508933901786804,231.59059143066406,168.0159912109375,5.708797931671143
-1.0561755895614624,-0.03792736306786537,1.9710545539855957,174.30833435058594,-18.743629455566406,162.31932067871094,0.5319285988807678,19.883773803710938,24.93475341796875,31.892108917236328,24.936426162719727,0.12094718401203863,3,se3_log_map,0.64266437292099,1.7395474910736084,-1.0442888736724854,-0.6442434787750244,228.01210021972656,165.66477966308594,8.409516334533691
-1.0489680767059326,-0.040173400193452835,1.966445803642273,172.97193908691406,-18.682693481445312,160.94847106933594,0.505845308303833,17.471439361572266,25.524532318115234,30.931425094604492,25.52582550048828,0.12116427900036797,3,se3_log_map,0.6387298107147217,1.7374346256256104,-1.0364309549331665,-0.6395304799079895,226.0579376220703,163.7303466796875,9.54826831817627
-1.0471506118774414,-0.03988897427916527,1.965101957321167,173.3797607421875,-19.031494140625,161.47756958007812,0.5086526870727539,16.65047836303711,25.433622360229492,30.399139404296875,25.43477439880371,0.1216770279861521,3,se3_log_map,0.6431278586387634,1.7371740341186523,-1.0339586734771729,-0.6392123103141785,226.6915283203125,164.0392608642578,10.235507011413574
-1.0492198467254639,-0.037588268518447876,1.9667134284973145,174.69288635253906,-19.805503845214844,163.53648376464844,0.5243546962738037,16.851713180541992,25.39166259765625,30.474855422973633,25.392871856689453,0.12081240798579529,3,se3_log_map,0.6424242258071899,1.738879680633545,-1.035551905632019,-0.6420062780380249,229.0208282470703,166.00637817382812,10.970812797546387
-1.0517263412475586,-0.036504924297332764,1.965989112854004,177.09934997558594,-20.101837158203125,164.88905334472656,0.5270852446556091,16.724199295043945,24.232358932495117,29.44327163696289,24.233524322509766,0.12098967802012339,3,se3_log_map,0.6395477056503296,1.7377599477767944,-1.0370094776153564,-0.6449049115180969,231.78912353515625,167.64035034179688,10.365910530090332
-1.054230809211731,-0.03503049537539482,1.9674007892608643,179.0981903076172,-20.7427978515625,166.44085693359375,0.5137038230895996,17.406980514526367,23.8557186126709,29.531312942504883,23.856945037841797,0.12217880098614842,3,se3_log_map,0.6383664608001709,1.7386882305145264,-1.0393162965774536,-0.647277295589447,234.49676513671875,169.2372589111328,10.204121589660645
-1.0541491508483887,-0.0347696915268898,1.9683079719543457,179.89370727539062,-21.25255584716797,166.943359375,0.5101085305213928,17.672792434692383,23.77674102783203,29.62534523010254,23.778003692626953,0.1232921929913573,3,se3_log_map,0.642228364944458,1.7396401166915894,-1.0395570993423462,-0.647091805934906,235.65232849121094,169.52536010742188,10.358745574951172
-1.0532426834106445,-0.034710824489593506,1.971086025238037,179.5962677001953,-22.155181884765625,167.44346618652344,0.5140417814254761,18.56279945373535,24.584178924560547,30.805185317993164,24.585613250732422,0.12195178898400627,3,se3_log_map,0.6393048763275146,1.7424508333206177,-1.0400370359420776,-0.6454159617424011,236.10227966308594,169.3369140625,11.420177459716797
-1.0507551431655884,-0.03548872843384743,1.9741402864456177,178.36505126953125,-23.015899658203125,167.17715454101562,0.5246270895004272,19.55731201171875,25.524991989135742,32.15608596801758,25.526634216308594,0.12300721899373457,3,se3_log_map,0.6391769647598267,1.745736002922058,-1.0395727157592773,-0.6418448090553284,235.41831970214844,168.1674346923828,12.702048301696777
-1.0477190017700195,-0.037141576409339905,1.9756760597229004,177.4849853515625,-23.66962432861328,166.446533203125,0.5254314541816711,20.180316925048828,25.915809631347656,32.84622573852539,25.917531967163086,0.12152990000322461,3,se3_log_map,0.6393229961395264,1.7474942207336426,-1.038271188735962,-0.6377408504486084,234.7303466796875,166.61325073242188,13.517226219177246
-1.045111060142517,-0.03888693079352379,1.976068139076233,177.4971466064453,-24.280685424804688,165.76882934570312,0.525385320186615,20.522987365722656,25.73070526123047,32.9129524230957,25.73239517211914,0.19794162298785523,3,se3_log_map,0.640323281288147,1.7480369806289673,-1.0368590354919434,-0.6342957615852356,234.79562377929688,165.26109313964844,13.839296340942383
-1.0439116954803467,-0.04088703542947769,1.9758433103561401,178.4734649658203,-24.787925720214844,165.37481689453125,0.5267177820205688,20.859643936157227,25.007965087890625,32.565673828125,25.009553909301758,0.1217399229935836,3,se3_log_map,0.6412725448608398,1.7473278045654297,-1.036586880683899,-0.6317502856254578,235.8026580810547,164.37464904785156,13.5576753616333
-1.0445917844772339,-0.04234777390956879,1.9771156311035156,179.67738342285156,-25.536102294921875,165.89093017578125,0.5310159921646118,21.81987953186035,24.814964294433594,33.04375457763672,24.816667556762695,0.12260734400479123,3,se3_log_map,0.6396903991699219,1.7474029064178467,-1.0385277271270752,-0.6302642822265625,237.57264709472656,164.3319091796875,13.547111511230469
-1.0462372303009033,-0.04447693005204201,1.9781925678253174,181.5448760986328,-26.063156127929688,166.3828582763672,0.5362666845321655,22.959653854370117,24.189502716064453,33.350830078125,24.191307067871094,0.12427003198536113,3,se3_log_map,0.6345785856246948,1.746559500694275,-1.0415905714035034,-0.6288313865661621,239.8662567138672,164.4317169189453,12.834675788879395
-1.0491950511932373,-0.04478127136826515,1.9819172620773315,182.9337615966797,-27.424339294433594,168.38479614257812,0.5338090658187866,24.818771362304688,25.423757553100586,35.52941131591797,25.426021575927734,0.12239027497707866,3,se3_log_map,0.6341971755027771,1.7483783960342407,-1.046279788017273,-0.6288194060325623,242.79437255859375,165.61154174804688,13.63365364074707
-1.0514503717422485,-0.04606734588742256,1.985977053642273,183.7962188720703,-28.70844268798828,169.74539184570312,0.5300020575523376,27.054935455322266,26.625886917114258,37.95928955078125,26.628742218017578,0.12389467802131549,3,se3_log_map,0.6365060210227966,1.75027334690094,-1.0509403944015503,-0.6272839903831482,245.0153350830078,166.00750732421875,14.337794303894043
