alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization
1.710574984550476,-0.022369643673300743,-1.3624528646469116,233.59446716308594,394.7831115722656,153.5692596435547,0.6349495649337769,20.219818115234375,19.07166862487793,27.795137405395508,19.07278060913086,3.2090437412261963,0.048677246988518164,108,se3_log_map
1.7081929445266724,-0.02360977604985237,-1.3729768991470337,231.80484008789062,393.372314453125,143.10418701171875,0.6365770101547241,20.54346466064453,22.753522872924805,30.655452728271484,22.754905700683594,3.4709179401397705,0.04852230899268761,108,se3_log_map
1.7138960361480713,-0.025591718032956123,-1.3752002716064453,236.69752502441406,395.73175048828125,141.4334716796875,0.6235299110412598,17.598953247070312,24.807451248168945,30.415996551513672,24.808555603027344,3.3330249786376953,0.04822858699481003,108,se3_log_map
1.7194888591766357,-0.024140730500221252,-1.379957914352417,238.45068359375,397.0724792480469,141.06777954101562,0.5988895893096924,16.0657901763916,25.432498931884766,30.08191680908203,25.4334659576416,3.251932382583618,0.046546755998861045,108,se3_log_map
1.7242674827575684,-0.021119166165590286,-1.3857135772705078,237.672607421875,397.49786376953125,141.70703125,0.5977677702903748,16.320642471313477,24.34642219543457,29.310609817504883,24.347412109375,3.2059991359710693,0.048048913973616436,108,se3_log_map
1.7282276153564453,-0.01754305325448513,-1.3918217420578003,234.81668090820312,396.9002380371094,143.073974609375,0.61891108751297,18.024394989013672,22.087499618530273,28.508535385131836,22.088598251342773,3.2346413135528564,0.046961020008893684,108,se3_log_map
1.7311229705810547,-0.01341964304447174,-1.397554874420166,230.58645629882812,395.941650390625,144.1201171875,0.6699210405349731,20.663686752319336,19.84888458251953,28.652509689331055,19.850013732910156,3.2880496978759766,0.047663266013842076,108,se3_log_map
1.7347633838653564,-0.008166582323610783,-1.4024434089660645,225.37075805664062,394.3270568847656,146.10147094726562,0.6808668375015259,23.67538070678711,18.233549118041992,29.88287353515625,18.234590530395508,3.457973003387451,0.0472612050070893,108,se3_log_map
1.7369745969772339,-0.006332887802273035,-1.4009934663772583,223.7754364013672,394.7365417480469,146.14076232910156,0.6636961698532104,23.674509048461914,17.606245040893555,29.503599166870117,17.60727882385254,3.383373498916626,0.0463898110028822,108,se3_log_map
1.7393441200256348,-0.00538533553481102,-1.3978902101516724,224.81675720214844,396.239013671875,145.83712768554688,0.7044428586959839,22.924663543701172,16.713871002197266,28.370651245117188,16.71497917175293,3.2106263637542725,0.04550915400614031,108,se3_log_map
1.7418615818023682,-0.004667388275265694,-1.392939805984497,227.09335327148438,398.3475341796875,145.05125427246094,0.6962002515792847,21.760765075683594,16.237545013427734,27.151222229003906,16.238771438598633,2.993032932281494,0.046467375010252,108,se3_log_map
