file,id_number,ncc,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray106_se3_log_map.csv,106,0.7587275505065918,0.8250983357429504,1.5688526630401611,-0.0025053941644728,-1.365484356880188,255.50949096679688,382.969482421875,146.22314453125
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray065_se3_log_map.csv,65,0.8091825246810913,0.8056324124336243,1.632675051689148,-0.0418485961854457,-1.4630608558654783,217.65945434570312,372.7352294921875,145.2145233154297
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray091_se3_log_map.csv,91,0.8036133646965027,0.825050950050354,1.1967403888702393,0.0105585632845759,-1.4489001035690308,341.5887756347656,322.9137268066406,146.80003356933594
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray097_se3_log_map.csv,97,0.8160697817802429,0.7983726263046265,1.5278600454330444,-0.0357210300862789,-1.449373722076416,314.6535339355469,383.2977600097656,151.84263610839844
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray053_se3_log_map.csv,53,0.8185168504714966,0.8021328449249268,1.1977274417877195,-0.0032382663339376,-1.472151517868042,391.4969482421875,420.0730590820313,116.83001708984376
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray068_se3_log_map.csv,68,0.7219933867454529,0.7924163937568665,1.2929484844207764,0.059702780097723,-1.5958995819091797,245.487060546875,304.22509765625,136.87896728515625
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray092_se3_log_map.csv,92,0.8134593367576599,0.7630100250244141,1.5289310216903689,-0.0311070475727319,-1.4481546878814695,314.44415283203125,382.382568359375,152.14353942871094
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray013_se3_log_map.csv,13,0.8143856525421143,0.8468787670135498,1.5595170259475708,-0.0367994233965873,-1.4975790977478027,190.57180786132807,380.1337585449219,137.0171661376953
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray040_se3_log_map.csv,40,0.7639337182044983,0.8438695073127747,1.4679402112960815,0.0472896285355091,-1.5820529460906982,184.7912139892578,350.9185485839844,155.39346313476562
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray019_se3_log_map.csv,19,0.8235822319984436,0.8486071825027466,1.5519253015518188,-0.0449173972010612,-1.4885700941085815,203.46371459960935,345.4612121582031,136.19793701171875
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray069_se3_log_map.csv,69,0.7178974747657776,0.8354637026786804,1.4177546501159668,-0.6301781535148621,-1.443870186805725,278.99432373046875,220.54998779296875,216.56285095214844
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray061_se3_log_map.csv,61,0.8016951680183411,0.8524577617645264,1.458130121231079,-0.0249655582010746,-1.4756776094436646,237.6381072998047,398.7044982910156,128.14700317382812
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray107_se3_log_map.csv,107,0.7406325340270996,0.8273738026618958,1.5687134265899658,-0.0014039579546079,-1.3653936386108398,243.72915649414065,382.9072570800781,148.4774169921875
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray070_se3_log_map.csv,70,0.8326755166053772,0.8444141745567322,1.5251034498214722,-0.0308335106819868,-1.4503344297409058,289.1732482910156,381.5739135742188,155.75946044921875
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray041_se3_log_map.csv,41,0.7469057440757751,0.8378718495368958,1.5534040927886963,0.0471161268651485,-1.5777584314346311,173.87393188476562,339.2558898925781,155.55763244628906
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray095_se3_log_map.csv,95,0.8209842443466187,0.792636513710022,1.5251420736312866,-0.0439560376107692,-1.4487851858139038,315.5016784667969,382.7212829589844,152.51708984375
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray058_se3_log_map.csv,58,0.8115526437759399,0.882257878780365,1.289353609085083,-0.0091089075431227,-1.4733400344848633,261.1307373046875,421.7074279785156,126.89505767822266
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray100_se3_log_map.csv,100,0.7219017744064331,0.7118076086044312,1.5835788249969482,0.0023643993772566,-1.3639968633651731,302.5912170410156,386.77288818359375,134.9143829345703
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray039_se3_log_map.csv,39,0.7840105295181274,0.832134485244751,1.376448631286621,0.0450790897011756,-1.5851818323135376,197.5154571533203,363.3150024414063,154.32388305664062
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray007_se3_log_map.csv,7,0.866248369216919,0.8864781260490417,1.128883719444275,-0.0057139415293931,-1.4897704124450684,222.9344482421875,301.9083251953125,133.548583984375
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray032_se3_log_map.csv,32,0.7925154566764832,0.8451231122016907,1.5413864850997925,-0.1778649687767028,-1.4857721328735352,206.01821899414065,381.412353515625,147.09271240234375
/home/zsr/project/diffpose/ours/deepfluoro/runs/norm/specimen01_xray034_se3_log_map.csv,34,0.8050817251205444,0.823296070098877,1.550013303756714,-0.037603422999382,-1.4742224216461182,219.42420959472656,383.049072265625,157.40896606445312
