alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,r1,r2,r3,t1,t2,t3
-0.7903489470481873,0.15029016137123108,2.004467725753784,215.78683471679688,55.71299362182617,105.67689514160156,0.5822796821594238,63.75265884399414,66.2021255493164,91.90823364257812,66.24119567871094,21.63728141784668,0.30799183901399374,57,se3_log_map,0.8881250619888306,1.937610149383545,-0.7009384036064148,-0.649248480796814,197.9788818359375,184.85501098632812,-86.89263153076172
-0.7834333181381226,0.1450672745704651,1.9964381456375122,209.47509765625,54.02992248535156,103.68037414550781,0.6055989861488342,62.050777435302734,69.30215454101562,93.02197265625,69.3390884399414,34.329978942871094,0.17384738789405674,57,se3_log_map,0.901134192943573,1.9301103353500366,-0.6934384107589722,-0.6417485475540161,192.97886657714844,179.85501098632812,-81.89306640625
-0.7807090282440186,0.14198541641235352,1.9896982908248901,209.35736083984375,56.818092346191406,100.26922607421875,0.5970779657363892,60.739994049072266,72.55241394042969,94.62134552001953,72.59082794189453,38.31538391113281,0.1674347739899531,57,se3_log_map,0.8970320820808411,1.9235161542892456,-0.689538300037384,-0.6386231184005737,191.087890625,177.8545379638672,-85.4441909790039
-0.7796291708946228,0.14100176095962524,1.986586570739746,209.46664428710938,58.373695373535156,98.2539291381836,0.5918651819229126,60.3422737121582,74.35904693603516,95.76250457763672,74.39857482910156,40.940345764160156,0.1749182209605351,57,se3_log_map,0.8954030871391296,1.9205745458602905,-0.6876698136329651,-0.6377174258232117,190.11143493652344,176.76441955566406,-87.70126342773438
-0.7798154950141907,0.14063681662082672,1.984438180923462,210.21070861816406,59.738014221191406,96.64662170410156,0.5915443897247314,59.964359283447266,75.55157470703125,96.45602416992188,75.5919418334961,42.535926818847656,0.1711992899654433,57,se3_log_map,0.8939546942710876,1.9184308052062988,-0.6871291995048523,-0.637978732585907,189.82447814941406,176.18453979492188,-90.07337188720703
-0.7802780866622925,0.14104941487312317,1.9832684993743896,210.88607788085938,60.678199768066406,95.44915008544922,0.5884475708007812,59.912635803222656,76.34867858886719,97.04969787597656,76.38986206054688,43.75358581542969,0.17003504396416247,57,se3_log_map,0.8934915661811829,1.917385458946228,-0.6868353486061096,-0.6389414668083191,189.6953125,175.81410217285156,-91.90806579589844
-0.7805973291397095,0.14246566593647003,1.9839481115341187,210.39511108398438,60.16298294067383,95.3375015258789,0.5897029638290405,60.450252532958984,76.28627014160156,97.3335952758789,76.32791900634766,44.21796798706055,0.17094230698421597,57,se3_log_map,0.8915172219276428,1.9184118509292603,-0.6866181492805481,-0.6403607130050659,189.32711791992188,175.44338989257812,-91.38648223876953
-0.7812656760215759,0.14421425759792328,1.9854686260223389,209.67506408691406,59.150394439697266,95.81875610351562,0.5910462141036987,61.10527801513672,75.7583999633789,97.33031463623047,75.80018615722656,43.950809478759766,0.17025019600987434,57,se3_log_map,0.8931507468223572,1.9202423095703125,-0.6869251132011414,-0.6421270370483398,189.07667541503906,175.3336944580078,-90.06831359863281
-0.7829828262329102,0.14677587151527405,1.988580346107483,209.95538330078125,58.021366119384766,96.912841796875,0.5941252708435059,61.99081802368164,74.34774017333984,96.80107879638672,74.38954162597656,41.5936393737793,0.1715435819933191,57,se3_log_map,0.8960068225860596,1.9235645532608032,-0.6885105967521667,-0.644971489906311,189.86167907714844,176.05673217773438,-89.01806640625
-0.7850978374481201,0.14879940450191498,1.9908859729766846,210.7635955810547,57.477195739746094,97.48197937011719,0.5938919186592102,62.53951644897461,73.2696762084961,96.33087158203125,73.31155395507812,39.48857116699219,0.17065176798496395,57,se3_log_map,0.8958021402359009,1.9258707761764526,-0.690464973449707,-0.647725522518158,190.7763214111328,176.70046997070312,-89.03591918945312
-0.7870751619338989,0.15024986863136292,1.9923394918441772,211.30096435546875,57.11104202270508,97.91563415527344,0.5962121486663818,62.83787536621094,72.52875518798828,95.96363830566406,72.57064056396484,37.965946197509766,0.16850698099005967,57,se3_log_map,0.8963389992713928,1.9272332191467285,-0.6922460198402405,-0.650031566619873,191.37335205078125,177.21517944335938,-89.07036590576172
-0.7894419431686401,0.1522810459136963,1.9950529336929321,211.566162109375,56.053462982177734,99.30371856689453,0.6065878868103027,63.4779052734375,71.07200622558594,95.29257202148438,71.11356353759766,35.31835174560547,0.16699917102232575,57,se3_log_map,0.9012641906738281,1.9298549890518188,-0.6946481466293335,-0.6528517603874207,192.20860290527344,178.25445556640625,-87.94245910644531
-0.7927675247192383,0.15504729747772217,1.9994672536849976,211.66030883789062,54.191532135009766,102.06809997558594,0.6204322576522827,64.52926635742188,68.64750671386719,94.2152099609375,68.68832397460938,31.32942008972168,0.1696237869327888,57,se3_log_map,0.9029033780097961,1.9340572357177734,-0.6983652114868164,-0.6565839648246765,193.50904846191406,180.22975158691406,-85.45740509033203
-0.7961559891700745,0.15690800547599792,2.0017852783203125,212.6063995361328,53.35446548461914,103.77686309814453,0.6123344898223877,65.00800323486328,66.88253784179688,93.2701187133789,66.92298889160156,28.008502960205078,0.16948609298560768,57,se3_log_map,0.8988760709762573,1.93601393699646,-0.7017487287521362,-0.659953236579895,194.93907165527344,181.9058837890625,-84.74404907226562
