alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,time,idx,parameterization,ssim,r1,r2,r3,t1,t2,t3
-0.39211922883987427,0.12865108251571655,1.9370121955871582,198.82528686523438,121.6480941772461,90.00747680664062,0.8526663780212402,232.42677307128906,148.54368591308594,275.8395080566406,149.87603759765625,0.12660243082791567,43,se3_log_map,0.7991257905960083,1.9307295083999634,-0.29536354541778564,-0.3846170902252197,172.36386108398438,195.3946533203125,-99.45857238769531
-0.407668799161911,0.13496454060077667,1.9526954889297485,193.64903259277344,118.71488952636719,96.95697784423828,0.8971594572067261,224.26959228515625,146.92388916015625,268.1109619140625,148.15478515625,0.13961028028279543,43,se3_log_map,0.8260478973388672,1.9457294940948486,-0.3103635609149933,-0.399617075920105,167.3645477294922,200.3945770263672,-94.45858001708984
-0.4219994843006134,0.14168040454387665,1.9668434858322144,188.4586944580078,115.98159790039062,103.18791198730469,0.9006235599517822,217.11505126953125,146.13653564453125,261.7151794433594,147.28598022460938,0.1329457452520728,43,se3_log_map,0.8377735018730164,1.9593392610549927,-0.3238275945186615,-0.4142383635044098,162.36293029785156,204.91136169433594,-89.76467895507812
-0.4331244230270386,0.14889313280582428,1.9735182523727417,188.48190307617188,111.4345703125,104.26567077636719,0.8962415456771851,212.11721801757812,142.1365966796875,255.3361053466797,143.20240783691406,0.13391203433275223,43,se3_log_map,0.8491804003715515,1.9659976959228516,-0.3320253789424896,-0.42788365483283997,162.58901977539062,204.05308532714844,-86.57371520996094
-0.4419613778591156,0.1567152589559555,1.974190592765808,189.52935791015625,107.34562683105469,102.88488006591797,0.8992555737495422,208.65049743652344,138.35821533203125,250.35580444335938,139.36036682128906,0.1338534578680992,43,se3_log_map,0.8576914072036743,1.9671220779418945,-0.3359851837158203,-0.4411858916282654,163.5146942138672,201.30259704589844,-84.66012573242188
-0.4491291344165802,0.16465821862220764,1.9711530208587646,191.05413818359375,103.9112548828125,100.27424621582031,0.9041284322738647,206.27020263671875,135.1132354736328,246.58261108398438,136.06793212890625,0.13658251613378525,43,se3_log_map,0.85383141040802,1.9648268222808838,-0.33715376257896423,-0.4538598656654358,164.68515014648438,197.85292053222656,-83.66633605957031
-0.4550328552722931,0.17171019315719604,1.9658831357955933,193.4283905029297,100.91049194335938,97.04594421386719,0.9095565676689148,204.61495971679688,131.97601318359375,243.48500061035156,132.89199829101562,0.1378735490143299,43,se3_log_map,0.8542599678039551,1.960350513458252,-0.3369511067867279,-0.4650285542011261,166.6627655029297,194.13038635253906,-83.331298828125
-0.4601995646953583,0.17808644473552704,1.9591889381408691,196.37037658691406,98.24327087402344,93.49839782714844,0.9142562747001648,203.42996215820312,129.01039123535156,240.8888397216797,129.8939208984375,0.13776894845068455,43,se3_log_map,0.8575186133384705,1.954464316368103,-0.33597680926322937,-0.47516298294067383,169.18515014648438,190.36241149902344,-83.45661163330078
-0.4650130569934845,0.1836128681898117,1.9518542289733887,199.7662353515625,95.79547882080078,89.96141815185547,0.9167197346687317,202.4646453857422,126.14875030517578,238.54861450195312,127.00306701660156,0.1395271122455597,43,se3_log_map,0.8587051033973694,1.9478660821914673,-0.3349515497684479,-0.4842720031738281,172.20228576660156,186.77366638183594,-83.83375549316406
-0.4698059856891632,0.18783268332481384,1.9446593523025513,203.52215576171875,93.50834655761719,86.850341796875,0.9161809086799622,201.41769409179688,123.29425811767578,236.1579132080078,124.1195297241211,0.13913755398243666,43,se3_log_map,0.855887234210968,1.9412047863006592,-0.3347434401512146,-0.49207064509391785,175.697265625,183.6685333251953,-84.25177001953125
-0.4747900664806366,0.19069913029670715,1.9383060932159424,207.31307983398438,91.3414306640625,84.4964599609375,0.9146817326545715,200.0863494873047,120.4476547241211,233.5426788330078,121.24256896972656,0.14200661703944206,43,se3_log_map,0.8554928302764893,1.93513023853302,-0.33582034707069397,-0.49861031770706177,179.38018798828125,181.2676544189453,-84.47886657714844
