% # columns="iteration, evaluation, void, void, void, xmean", seed=522807, Sat Nov 29 16:57:44 2025, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 15 0 0 0 1.602514116784946 -0.9870514854478871 -1.081898815137014 182.78119208717033 123.42516192836186 121.67394160012896
2 30 0 0 0 1.6009254924576604 -0.9883709316843796 -1.0769245437679074 187.73546701421165 122.92840342460173 124.24136424347009
3 45 0 0 0 1.6192072914254805 -0.9928136439978702 -1.066123545266549 185.53997230518863 131.08176469064668 126.06987034090129
4 60 0 0 0 1.6179999127438471 -0.9869572820681075 -1.0613759278841235 182.63576958969156 132.59284841326 127.91813441524498
5 75 0 0 0 1.6256070443945132 -1.0015314460727274 -1.0693348122951227 184.85678580809196 128.11835377737444 124.47299986076771
6 90 0 0 0 1.6311973200734142 -0.9941302685325436 -1.0563488987610294 180.7566940525862 134.365943532319 127.59489688811507
7 105 0 0 0 1.6228976789925824 -1.005439841497973 -1.06398405402028 182.605731054415 135.97375154754897 123.82279191573542
8 120 0 0 0 1.6313973758066664 -1.027264506581634 -1.0662279225443085 179.90029747637408 139.7216536630911 126.94876632565354
9 135 0 0 0 1.629158195598352 -1.0239886480092848 -1.0702384060123387 180.80735593179244 138.47879714142627 125.07493297927887
10 150 0 0 0 1.6397627453473425 -1.0358524944881131 -1.0765347666533138 180.18385984120874 136.4835807510572 122.82356926563831
11 165 0 0 0 1.6268534020047347 -1.0297791366462512 -1.0771335018239958 180.7976059525072 132.01155304490652 123.77977784477454
12 180 0 0 0 1.6278738580539915 -1.0327436683737483 -1.077244902094225 181.22120050643528 133.75717718610545 124.57054722317116
13 195 0 0 0 1.6300716097285093 -1.0376847900549089 -1.0838161436939373 181.38654420153412 133.93128097185016 123.13863189513894
14 210 0 0 0 1.6376627273913074 -1.0372394297022993 -1.0820827849897579 180.85592504092546 136.8650297456096 122.54979022345805
15 225 0 0 0 1.6359924300072608 -1.046603391551603 -1.0774935081653367 180.97583064525838 134.04912372335488 122.87859156367493
16 240 0 0 0 1.6356745632940126 -1.0476965771831013 -1.0821919539040692 180.24925590201835 132.42754564099414 123.01562430156457
17 255 0 0 0 1.638157011063976 -1.0491242545179762 -1.083220423392788 181.45580120690474 129.95007997929386 122.33129046018313
18 270 0 0 0 1.6338836186927128 -1.0489171598003684 -1.0896729906281069 180.4631443706858 132.42775682828548 122.1854740066052
19 285 0 0 0 1.6345463772409092 -1.0453018525636297 -1.0945491789843664 181.70517674980704 130.79643697206362 120.98209584013193
20 300 0 0 0 1.635976660157111 -1.0447773027044005 -1.0953310093309303 183.0061849930875 125.96046696915978 120.29549010166183
21 315 0 0 0 1.6376178386533238 -1.044460727410153 -1.099227496417726 184.66925913563463 120.11808653619424 118.71281552920941
22 330 0 0 0 1.6339591693620723 -1.0453946539264705 -1.1098886883523158 186.15828967551215 114.41756188869131 116.8918695710407
23 345 0 0 0 1.6357418682041351 -1.0409682183597637 -1.1197633454472533 189.16954555505345 103.4949838282958 113.67578420973054
24 360 0 0 0 1.6381835454050735 -1.0567751680255426 -1.1201538890565095 188.37114115580422 102.68540576920668 113.0506732197198
25 375 0 0 0 1.6480573538106178 -1.0551331727234345 -1.1142742758211568 190.8190217851437 96.39135262281738 112.5464050521794
26 390 0 0 0 1.6450438295911045 -1.0577773255623482 -1.1227424510475095 190.37688984426177 95.60243266156616 111.66021211559169
27 405 0 0 0 1.6465942432435727 -1.062854902299841 -1.1210688616651805 191.33091281428412 92.33102603606741 111.00606560397749
28 420 0 0 0 1.6454649705333009 -1.070028728182552 -1.1246810848551414 190.98804358268166 88.5290112786564 110.73957823297934
29 435 0 0 0 1.6428267941737797 -1.0667286149158133 -1.122186986877679 191.45666028334563 89.07206495283916 110.71229170179042
30 450 0 0 0 1.6466912561033002 -1.068360318418212 -1.1238835158279392 191.16819909511736 89.10860705676978 110.74465727536408
31 465 0 0 0 1.6478077832532931 -1.0617553229872494 -1.128872056606011 189.77480858691774 92.89524678375511 110.8508283287331
32 480 0 0 0 1.6478763502355818 -1.0565405559658037 -1.1297863054984785 189.40298311894915 94.37514523168603 110.75798414050315
33 495 0 0 0 1.6507626385040375 -1.0565211014478106 -1.1336949960869123 190.9538072889382 90.50424036110246 109.35124417048513
34 510 0 0 0 1.6503743878094062 -1.0454172367217973 -1.1413869982201108 190.906314023881 90.2566895160905 108.44064612618291
