ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
85,14.11,11.01,失败,失败,-0.8512,0.2132,1.8741,235.69,29.69,94.59,gnccdicezyl_xray085_se3_log_map.csv
43,32.91,42.95,失败,失败,-0.9190,0.2548,1.8562,229.84,17.58,121.20,gnccdicezyl_xray043_se3_log_map.csv
18,33.30,44.30,失败,失败,-0.9248,0.2657,1.8623,228.13,13.25,119.42,gnccdicezyl_xray018_se3_log_map.csv
75,32.75,40.42,失败,失败,-0.9176,0.2502,1.8509,226.99,21.17,121.53,gnccdicezyl_xray075_se3_log_map.csv
7,35.20,47.96,失败,失败,-0.8878,0.1900,1.8639,241.05,10.38,120.75,gnccdicezyl_xray007_se3_log_map.csv
32,33.85,44.22,失败,失败,-0.9117,0.2602,1.8558,230.24,17.92,121.23,gnccdicezyl_xray032_se3_log_map.csv
5,36.08,49.54,失败,失败,-0.8884,0.1823,1.8600,239.52,12.89,124.19,gnccdicezyl_xray005_se3_log_map.csv
38,32.34,44.03,失败,失败,-0.9156,0.2225,1.8604,234.87,11.11,127.73,gnccdicezyl_xray038_se3_log_map.csv
31,35.49,48.54,失败,失败,-0.9017,0.2220,1.8599,235.52,10.66,131.56,gnccdicezyl_xray031_se3_log_map.csv
44,33.37,44.76,失败,失败,-0.9273,0.2497,1.8655,229.90,12.80,122.67,gnccdicezyl_xray044_se3_log_map.csv
34,36.54,50.09,失败,失败,-0.9093,0.1849,1.8653,236.35,7.28,140.42,gnccdicezyl_xray034_se3_log_map.csv
21,5.68,2.77,成功,成功,-0.8232,0.1658,1.9053,250.08,15.89,108.87,gnccdicezyl_xray021_se3_log_map.csv
73,34.35,41.31,失败,失败,-0.9287,0.2432,1.8515,223.99,21.86,123.93,gnccdicezyl_xray073_se3_log_map.csv
17,34.46,46.48,失败,失败,-0.9029,0.2327,1.8538,233.07,14.21,128.51,gnccdicezyl_xray017_se3_log_map.csv
4,4.01,1.47,成功,成功,-0.8278,0.1559,1.8968,248.63,20.22,92.68,gnccdicezyl_xray004_se3_log_map.csv
48,33.73,46.17,失败,失败,-0.8999,0.2013,1.8600,237.10,12.06,134.34,gnccdicezyl_xray048_se3_log_map.csv
16,33.22,42.81,失败,失败,-0.9335,0.2539,1.8547,226.05,16.66,121.60,gnccdicezyl_xray016_se3_log_map.csv
10,35.63,48.64,失败,失败,-0.8882,0.1978,1.8616,240.68,11.04,119.63,gnccdicezyl_xray010_se3_log_map.csv
82,34.09,41.51,失败,失败,-0.9308,0.2439,1.8496,224.20,21.00,123.80,gnccdicezyl_xray082_se3_log_map.csv
68,33.79,42.34,失败,失败,-0.9195,0.2539,1.8538,226.14,19.67,122.07,gnccdicezyl_xray068_se3_log_map.csv
