ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
27,12.25,11.91,失败,失败,-0.9923,0.0864,1.9146,208.55,-4.48,130.08,weilncczyl_xray027_se3_log_map.csv
21,1.02,1.04,成功,成功,-0.8100,0.1166,1.8569,250.22,20.89,120.27,weilncczyl_xray021_se3_log_map.csv
45,1.61,1.72,成功,成功,-0.8293,0.1029,1.8568,246.58,19.52,122.83,weilncczyl_xray045_se3_log_map.csv
79,3.15,3.11,成功,成功,-0.8232,0.1050,1.8594,246.52,21.16,121.13,weilncczyl_xray079_se3_log_map.csv
55,1.22,1.38,成功,成功,-0.8189,0.1012,1.8564,248.21,19.26,123.71,weilncczyl_xray055_se3_log_map.csv
76,48.96,21.22,失败,失败,-0.9317,0.1145,1.8699,193.21,41.20,114.70,weilncczyl_xray076_se3_log_map.csv
23,1.42,1.12,成功,成功,-0.8067,0.1205,1.8596,249.95,22.39,119.29,weilncczyl_xray023_se3_log_map.csv
42,3.26,2.00,成功,成功,-0.8337,0.1063,1.8597,244.53,20.66,121.94,weilncczyl_xray042_se3_log_map.csv
65,17.76,14.52,失败,失败,-0.9602,0.1015,1.9609,213.77,-12.43,117.29,weilncczyl_xray065_se3_log_map.csv
4,4.83,5.06,成功,成功,-0.8790,0.0882,1.8804,238.61,15.70,107.24,weilncczyl_xray004_se3_log_map.csv
10,3.44,2.04,成功,成功,-0.8073,0.1020,1.8627,252.81,21.61,106.02,weilncczyl_xray010_se3_log_map.csv
7,2.52,2.07,成功,成功,-0.8114,0.1015,1.8651,251.37,22.08,106.04,weilncczyl_xray007_se3_log_map.csv
12,2.12,1.97,成功,成功,-0.7932,0.1249,1.8586,253.50,22.18,118.42,weilncczyl_xray012_se3_log_map.csv
24,1.75,1.31,成功,成功,-0.8085,0.1120,1.8595,249.55,22.31,121.02,weilncczyl_xray024_se3_log_map.csv
52,1.89,1.15,成功,成功,-0.8256,0.1126,1.8619,245.90,20.13,120.78,weilncczyl_xray052_se3_log_map.csv
25,12.10,12.31,失败,失败,-0.9885,0.0926,1.9171,209.50,-5.77,128.21,weilncczyl_xray025_se3_log_map.csv
59,1.52,1.78,成功,成功,-0.8154,0.1034,1.8527,248.41,19.69,123.25,weilncczyl_xray059_se3_log_map.csv
74,2.82,3.05,成功,成功,-0.8224,0.1062,1.8581,246.67,20.68,120.89,weilncczyl_xray074_se3_log_map.csv
71,71.96,21.54,失败,失败,-0.9671,0.1343,1.8511,175.79,59.60,115.12,weilncczyl_xray071_se3_log_map.csv
69,2.81,2.86,成功,成功,-0.8166,0.1087,1.8541,247.25,21.23,120.72,weilncczyl_xray069_se3_log_map.csv
66,35.97,26.57,失败,失败,-0.8509,0.2282,1.8550,270.97,1.31,103.50,weilncczyl_xray066_se3_log_map.csv
63,4.52,3.03,成功,成功,-0.7713,0.1226,1.8586,253.82,20.56,120.14,weilncczyl_xray063_se3_log_map.csv
51,17.42,13.38,失败,失败,-0.9067,-0.0528,1.9275,220.74,18.93,159.45,weilncczyl_xray051_se3_log_map.csv
39,1.91,1.89,成功,成功,-0.8335,0.1057,1.8603,245.62,19.37,121.99,weilncczyl_xray039_se3_log_map.csv
56,12.76,11.88,失败,失败,-1.0005,0.0846,1.9181,206.11,-3.90,129.77,weilncczyl_xray056_se3_log_map.csv
87,3.14,1.78,成功,成功,-0.8200,0.1294,1.8611,246.59,22.52,116.81,weilncczyl_xray087_se3_log_map.csv
44,12.08,11.50,失败,失败,-0.9986,0.0852,1.9141,207.99,-5.86,129.67,weilncczyl_xray044_se3_log_map.csv
60,31.34,30.10,失败,失败,-0.9589,0.1418,1.7215,194.06,11.91,117.38,weilncczyl_xray060_se3_log_map.csv
5,58.17,48.08,失败,失败,-0.8908,0.0637,1.8221,208.90,55.34,88.29,weilncczyl_xray005_se3_log_map.csv
34,39.85,41.55,失败,失败,-0.9100,0.1649,1.8566,197.85,16.20,131.07,weilncczyl_xray034_se3_log_map.csv
67,3.51,2.40,成功,成功,-0.8097,0.1209,1.8535,247.49,23.02,118.74,weilncczyl_xray067_se3_log_map.csv
26,2.23,2.04,成功,成功,-0.7908,0.1155,1.8580,252.74,23.98,120.38,weilncczyl_xray026_se3_log_map.csv
85,4.53,3.31,成功,成功,-0.8273,0.1115,1.8590,245.32,22.63,120.06,weilncczyl_xray085_se3_log_map.csv
84,4.11,3.09,成功,成功,-0.7779,0.1215,1.8574,253.37,27.65,118.53,weilncczyl_xray084_se3_log_map.csv
8,2.02,1.73,成功,成功,-0.8097,0.1055,1.8651,251.22,22.75,105.56,weilncczyl_xray008_se3_log_map.csv
28,0.87,0.98,成功,成功,-0.8154,0.1144,1.8544,249.11,20.49,120.79,weilncczyl_xray028_se3_log_map.csv
30,1.03,1.30,成功,成功,-0.8205,0.1125,1.8581,248.49,19.83,120.70,weilncczyl_xray030_se3_log_map.csv
22,52.36,59.01,失败,失败,-0.7650,0.2002,1.8475,205.47,24.41,108.65,weilncczyl_xray022_se3_log_map.csv
