file,id_number,ncc,ssim,ssim_ori,mtre,mpd,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray072_se3_log_map.csv,72,0.4958475762674444,0.8763138830635394,0.7862896341311518,43.2719841003418,16.923768997192383,-0.7136644721031189,0.1769419610500335,1.9944857358932493,281.3966369628906,-2.2726974487304688,102.25621795654295
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray040_se3_log_map.csv,40,0.506789148715965,0.8782253170518581,0.7787802981993956,51.21147537231445,25.91404914855957,-0.6367585062980652,0.2058034390211105,2.1277174949646,286.019775390625,13.087539672851562,97.9670867919922
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray035_se3_log_map.csv,35,0.5322398089320863,0.872972396615172,0.7960236297797352,80.23222351074219,31.495113372802734,-0.6224406957626343,0.1519203186035156,2.196967840194702,220.01258850097656,68.39505767822266,118.21459197998048
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray042_se3_log_map.csv,42,0.49059731876529744,0.8800116685866735,0.7905424875332088,45.758697509765625,16.981840133666992,-0.6966279149055481,0.2020910680294037,2.022651195526123,282.99530029296875,2.8723907470703125,96.3175811767578
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray002_se3_log_map.csv,2,0.5038378564343775,0.8668518439753315,0.7817102620161,36.279762268066406,39.725372314453125,-0.8583440780639648,0.1978053748607635,1.945405960083008,263.2943725585937,-8.6517333984375,107.9713134765625
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray057_se3_log_map.csv,57,0.5032639172372307,0.8909846434000479,0.786704408837241,34.12265396118164,16.0692195892334,-0.6967599987983704,0.1727793663740158,2.059055805206299,270.68243408203125,13.985435485839844,102.81217956542967
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray020_se3_log_map.csv,20,0.5140163022306157,0.8859456239170743,0.7464323573427103,63.867645263671875,14.104576110839844,-0.6843460202217102,0.2054038196802139,1.905707836151123,304.32574462890625,-1.1988372802734375,88.5216064453125
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray037_se3_log_map.csv,37,0.49153828086698836,0.879978677739934,0.7985720019243456,42.990116119384766,18.561141967773438,-0.6593613028526306,0.1638859361410141,2.0912013053894043,279.1153259277344,14.428993225097656,101.36546325683594
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray025_se3_log_map.csv,25,0.5026260246885386,0.8900901735382248,0.778784554066555,55.910919189453125,21.184036254882812,-0.661979615688324,0.2485354840755462,2.012021541595459,289.3846435546875,7.189697265625,87.24520874023438
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray079_se3_log_map.csv,79,0.48307051627152575,0.8769284845725914,0.7668977686378493,40.262290954589844,14.775968551635742,-0.7027174234390259,0.1852085590362548,2.0319952964782715,278.4120788574219,6.655563354492188,99.2643051147461
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray014_se3_log_map.csv,14,0.48599549848073015,0.8820287890111742,0.7576584149562211,37.059261322021484,14.729410171508789,-0.7795712351799011,0.1343986541032791,1.964246153831482,271.28045654296875,-11.200798034667969,116.98957061767578
/home/zsr/project/diffpose/ours/runs/cma/norm/zyl_xray045_se3_log_map.csv,45,0.5101905758495393,0.8840089413140138,0.7680823142348034,46.84821701049805,26.265962600708008,-0.6498599052429199,0.2074216157197952,2.108525037765503,280.69989013671875,13.864013671875,99.83024597167967
