alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
1.5127136707305908,-0.0190732404589653,-1.645694613456726,207.87332153320312,258.17230224609375,318.79058837890625,0.0,30.180633544921875,13.358558654785156,33.00487518310547,13.360258102416992,3.859084367752075,0.0,3,se3_log_map,0.0,-1.278971791267395,-1.228333592414856,1.1167268753051758,207.87332153320312,258.17230224609375,318.79058837890625
1.5069115161895752,-0.005869182758033276,-1.650175929069519,206.98440551757812,258.46923828125,319.2574768066406,0.5580516457557678,23.239910125732422,13.606986045837402,26.930347442626953,13.60786247253418,3.3358829021453857,0.03836345672607422,3,se3_log_map,0.6607260704040527,-1.2944862842559814,-1.220934510231018,1.1206125020980835,206.98440551757812,258.46923828125,319.2574768066406
1.5186136960983276,-0.01275388989597559,-1.6744076013565063,209.22525024414062,260.15594482421875,318.7574768066406,0.7743005752563477,25.1872615814209,11.614215850830078,27.736045837402344,11.615477561950684,3.4501497745513916,0.06435394287109375,3,se3_log_map,0.7962618470191956,-1.3020825386047363,-1.2501550912857056,1.1117671728134155,209.22525024414062,260.15594482421875,318.7574768066406
1.5233122110366821,-0.002171696862205863,-1.6748028993606567,207.90380859375,261.04229736328125,318.080810546875,0.768683910369873,20.504777908325195,10.74559497833252,23.14981460571289,10.746426582336426,2.9694793224334717,0.06379079818725586,3,se3_log_map,0.7909064292907715,-1.3075733184814453,-1.249358057975769,1.1231591701507568,207.90380859375,261.04229736328125,318.080810546875
1.525274395942688,0.0019837627187371254,-1.6803803443908691,207.8040008544922,261.47027587890625,316.76971435546875,0.7774204015731812,19.606727600097656,9.631434440612793,21.844642639160156,9.63205623626709,2.6981003284454346,0.07503223419189453,3,se3_log_map,0.8030140995979309,-1.3137097358703613,-1.2529966831207275,1.125044345855713,207.8040008544922,261.47027587890625,316.76971435546875
1.523126482963562,0.01104219350963831,-1.6606225967407227,208.00811767578125,262.2167663574219,314.72320556640625,0.8072537183761597,14.299795150756836,7.877338886260986,16.325952529907227,7.877649307250977,2.0921709537506104,0.08177614212036133,3,se3_log_map,0.8248512148857117,-1.3064846992492676,-1.2331178188323975,1.140220046043396,208.00811767578125,262.2167663574219,314.72320556640625
1.5148954391479492,0.011363244615495205,-1.6756199598312378,209.1262969970703,267.778076171875,314.6524963378906,0.796543538570404,13.128035545349121,3.9950525760650635,13.722458839416504,3.9952468872070312,1.5797653198242188,0.06725144386291504,3,se3_log_map,0.8248625993728638,-1.321872591972351,-1.2372233867645264,1.1274173259735107,209.1262969970703,267.778076171875,314.6524963378906
1.5163062810897827,0.019388042390346527,-1.6699092388153076,210.3615264892578,266.5014343261719,313.17962646484375,0.8073102235794067,8.698949813842773,3.105231285095215,9.236573219299316,3.1052684783935547,1.0842403173446655,0.07808113098144531,3,se3_log_map,0.8277843594551086,-1.322595238685608,-1.230582356452942,1.1374260187149048,210.3615264892578,266.5014343261719,313.17962646484375
1.5100147724151611,0.031301699578762054,-1.6627168655395508,210.80429077148438,265.6031188964844,310.6703186035156,0.8435233235359192,3.6700143814086914,3.148686170578003,4.835631370544434,3.148710012435913,0.590517520904541,0.07377076148986816,3,se3_log_map,0.86702960729599,-1.3286000490188599,-1.2149168252944946,1.1456657648086548,210.80429077148438,265.6031188964844,310.6703186035156
1.5356931686401367,0.03725054860115051,-1.6663795709609985,206.4066162109375,269.98394775390625,309.8307189941406,0.8217287063598633,12.148309707641602,4.403112888336182,12.921646118164062,4.4032745361328125,1.5953283309936523,0.07563424110412598,3,se3_log_map,0.845494270324707,-1.3233662843704224,-1.235122561454773,1.1666513681411743,206.4066162109375,269.98394775390625,309.8307189941406
1.5153381824493408,0.03208591789007187,-1.6639091968536377,209.90908813476562,268.8094482421875,310.4430236816406,0.8515840768814087,3.2561261653900146,0.7891947031021118,3.3504159450531006,0.7892005443572998,0.26434317231178284,0.09060335159301758,3,se3_log_map,0.8788521885871887,-1.3275363445281982,-1.2196153402328491,1.1494739055633545,209.90908813476562,268.8094482421875,310.4430236816406
1.5125967264175415,0.0401955172419548,-1.666374683380127,210.29562377929688,269.35272216796875,308.8778381347656,0.8530082702636719,2.435081720352173,2.2253129482269287,3.29874849319458,2.2253565788269043,0.43728959560394287,0.07168722152709961,3,se3_log_map,0.8805661201477051,-1.3363713026046753,-1.2154195308685303,1.1526817083358765,210.29562377929688,269.35272216796875,308.8778381347656
1.513776421546936,0.03894117474555969,-1.6654101610183716,210.19305419921875,269.6597595214844,309.1767883300781,0.854454517364502,2.2786970138549805,2.073622465133667,3.0809853076934814,2.073641061782837,0.3918320834636688,0.08648228645324707,3,se3_log_map,0.8831732273101807,-1.3342171907424927,-1.2162489891052246,1.152990460395813,210.19305419921875,269.6597595214844,309.1767883300781
1.512559413909912,0.03881093114614487,-1.6661471128463745,210.48983764648438,269.674560546875,309.2134094238281,0.8539241552352905,1.847091794013977,2.0316038131713867,2.745771884918213,2.0316195487976074,0.37084251642227173,0.08669376373291016,3,se3_log_map,0.8828487992286682,-1.3352460861206055,-1.2158764600753784,1.1516857147216797,210.48983764648438,269.674560546875,309.2134094238281
1.5132017135620117,0.0394301675260067,-1.665973424911499,210.27392578125,269.3110656738281,309.1252746582031,0.8543955087661743,2.2289340496063232,1.9792065620422363,2.980856418609619,1.9792336225509644,0.38281339406967163,0.08111286163330078,3,se3_log_map,0.8820390701293945,-1.335250735282898,-1.2159699201583862,1.1527012586593628,210.27392578125,269.3110656738281,309.1252746582031
1.513404130935669,0.03992787003517151,-1.6655569076538086,210.274169921875,269.5417175292969,309.0051574707031,0.8545800447463989,2.567856788635254,2.170517683029175,3.3623108863830566,2.170501232147217,0.4306454062461853,0.08132553100585938,3,se3_log_map,0.8830744028091431,-1.3351949453353882,-1.2155952453613281,1.153425931930542,210.274169921875,269.5417175292969,309.0051574707031
1.5135383605957031,0.04015430808067322,-1.6656498908996582,210.24249267578125,269.51190185546875,308.97125244140625,0.8545899391174316,2.6626296043395996,2.193612813949585,3.4498744010925293,2.193603992462158,0.44335201382637024,0.08399534225463867,3,se3_log_map,0.8830775618553162,-1.3353608846664429,-1.215662956237793,1.1536526679992676,210.24249267578125,269.51190185546875,308.97125244140625
