alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
1.5389512777328491,0.014262800104916096,-1.727830410003662,106.19920349121094,263.5396423339844,294.6266174316406,0.0,22.070812225341797,9.392333030700684,23.98617935180664,9.392827033996582,2.2227439880371094,0.0,7,se3_log_map,0.0,-1.3506537675857544,-1.2924597263336182,1.1204771995544434,106.19920349121094,263.5396423339844,294.6266174316406
1.5303257703781128,0.008901684544980526,-1.7183507680892944,105.49992370605469,261.5892333984375,293.5222473144531,1.4385803937911987,20.69099235534668,11.307645797729492,23.57923126220703,11.308338165283203,2.646620750427246,0.05370283126831055,7,se3_log_map,0.6371030807495117,-1.3442364931106567,-1.2810251712799072,1.1150875091552734,105.49992370605469,261.5892333984375,293.5222473144531
1.539628267288208,0.013457614928483963,-1.7024850845336914,105.35523986816406,264.5478515625,294.9385681152344,1.5614242553710938,15.456938743591309,8.637775421142578,17.706727981567383,8.638182640075684,2.1667301654815674,0.05382513999938965,7,se3_log_map,0.6903790831565857,-1.331101894378662,-1.2751107215881348,1.1330970525741577,105.35523986816406,264.5478515625,294.9385681152344
1.543869972229004,0.025876875966787338,-1.710938811302185,107.00360870361328,263.2066345214844,294.2418518066406,1.5788079500198364,12.755340576171875,9.593276023864746,15.96025562286377,9.59346866607666,1.9511052370071411,0.05386209487915039,7,se3_log_map,0.7288415431976318,-1.3440487384796143,-1.2792283296585083,1.1416252851486206,107.00360870361328,263.2066345214844,294.2418518066406
1.5454623699188232,0.022503511980175972,-1.700878620147705,105.37440490722656,266.037841796875,294.4669494628906,1.6360456943511963,12.123489379882812,7.132331371307373,14.065889358520508,7.13256311416626,1.7217297554016113,0.053690195083618164,7,se3_log_map,0.7499221563339233,-1.3334659337997437,-1.274661660194397,1.1450800895690918,105.37440490722656,266.037841796875,294.4669494628906
1.541182518005371,0.03404434770345688,-1.694684386253357,104.5253677368164,267.28265380859375,293.8148193359375,1.620539665222168,5.704148769378662,6.216629981994629,8.437054634094238,6.2166852951049805,1.261894702911377,0.053900718688964844,7,se3_log_map,0.737354040145874,-1.339274287223816,-1.2616370916366577,1.1542752981185913,104.5253677368164,267.28265380859375,293.8148193359375
1.5338529348373413,0.03282346576452255,-1.694797396659851,107.0533218383789,267.730224609375,294.0252685546875,1.6747748851776123,4.829297065734863,5.092981338500977,7.018594264984131,5.093029975891113,1.0772793292999268,0.054660797119140625,7,se3_log_map,0.7970883250236511,-1.3420771360397339,-1.2563871145248413,1.148178219795227,107.0533218383789,267.730224609375,294.0252685546875
1.5274602174758911,0.02579951472580433,-1.6895287036895752,108.365966796875,268.3943176269531,295.1768798828125,1.6712861061096191,9.490793228149414,4.893198490142822,10.67795181274414,4.893310546875,1.360956072807312,0.05427360534667969,7,se3_log_map,0.794500470161438,-1.336321473121643,-1.2506095170974731,1.1407796144485474,108.365966796875,268.3943176269531,295.1768798828125
1.5327459573745728,0.03056185320019722,-1.6926307678222656,107.22077178955078,269.2877197265625,294.1798095703125,1.6770473718643188,6.157997131347656,3.610739231109619,7.138519763946533,3.6107962131500244,0.9149454832077026,0.05426287651062012,7,se3_log_map,0.8063673973083496,-1.3394137620925903,-1.254939079284668,1.1466881036758423,107.22077178955078,269.2877197265625,294.1798095703125
1.530471682548523,0.034358441829681396,-1.6947658061981201,107.83951568603516,271.2657165527344,293.5118103027344,1.6796646118164062,4.358448505401611,1.5654462575912476,4.631068229675293,1.5654520988464355,0.5409438014030457,0.0543062686920166,7,se3_log_map,0.8055146336555481,-1.3447908163070679,-1.2529630661010742,1.1470571756362915,107.83951568603516,271.2657165527344,293.5118103027344
1.5278537273406982,0.035216547548770905,-1.693613052368164,108.21985626220703,271.2276611328125,293.4406433105469,1.6792595386505127,4.75636100769043,1.7166248559951782,5.056665897369385,1.7166762351989746,0.6089990735054016,0.05494952201843262,7,se3_log_map,0.806433916091919,-1.3458184003829956,-1.2496384382247925,1.146476149559021,108.21985626220703,271.2276611328125,293.4406433105469
1.5313630104064941,0.038091547787189484,-1.692981243133545,107.60934448242188,271.1628723144531,292.86199951171875,1.6796271800994873,2.7423932552337646,1.5786575078964233,3.1643292903900146,1.5786534547805786,0.3696015775203705,0.05460166931152344,7,se3_log_map,0.8044306039810181,-1.3456857204437256,-1.2507007122039795,1.151480793952942,107.60934448242188,271.1628723144531,292.86199951171875
1.5304096937179565,0.03796049952507019,-1.6947262287139893,107.81407928466797,271.5706787109375,292.759765625,1.6798994541168213,2.7692224979400635,1.2455233335494995,3.0364489555358887,1.2455447912216187,0.34600362181663513,0.054605960845947266,7,se3_log_map,0.8062817454338074,-1.3473429679870605,-1.251264214515686,1.1498702764511108,107.81407928466797,271.5706787109375,292.759765625
1.5308201313018799,0.037751756608486176,-1.6942038536071777,107.70061492919922,271.4718017578125,292.88055419921875,0.0,2.7915420532226562,1.2869025468826294,3.0739104747772217,1.2869317531585693,0.3522544205188751,0.0,7,se3_log_map,0.0,-1.3466105461120605,-1.2513078451156616,1.1502437591552734,107.70061492919922,271.4718017578125,292.88055419921875
