file,id_number,ncc,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_017_se3_log_map.csv,17,0.8223345279693604,0.8071957230567932,1.550666570663452,0.0275903437286615,-1.6645238399505615,109.01734924316406,269.7699279785156,255.60716247558597
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_004_se3_log_map.csv,4,0.8544731140136719,0.8882424235343933,1.5117573738098145,0.0383294783532619,-1.665929079055786,210.3998870849609,270.0424194335937,310.0246887207031
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_007_se3_log_map.csv,7,0.8509929776191711,0.8122290372848511,1.5309617519378662,0.0371768921613693,-1.6944763660430908,107.69719696044922,271.5740661621094,292.9647521972656
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_003_se3_log_map.csv,3,0.8544819355010986,0.8889339566230774,1.5128918886184692,0.0397334024310112,-1.6654515266418457,210.34442138671875,269.44464111328125,309.0447082519531
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_012_se3_log_map.csv,12,0.8311892747879028,0.803720235824585,1.5299053192138672,0.0349738337099552,-1.7135450839996338,101.6233901977539,271.7208557128906,290.1649780273437
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_001_se3_log_map.csv,1,0.8789901733398438,0.8980291485786438,1.5146660804748535,0.0380807481706142,-1.680856466293335,208.6266326904297,271.27410888671875,328.2138366699219
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_018_se3_log_map.csv,18,0.86338210105896,0.8739349246025085,1.520848512649536,0.0448394753038883,-1.659908890724182,207.78289794921875,270.0162658691406,294.72662353515625
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_000_se3_log_map.csv,0,0.8739392757415771,0.8862576484680176,1.514540195465088,0.0410192906856536,-1.6785063743591309,209.1399383544922,271.417724609375,323.66357421875
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_022_se3_log_map.csv,22,0.8593422174453735,0.8576809763908386,1.5210481882095337,0.0386167764663696,-1.641223430633545,213.68978881835935,269.8365783691406,294.2755126953125
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_021_se3_log_map.csv,21,0.859625518321991,0.872251570224762,1.5199192762374878,0.0404152609407901,-1.6478687524795532,210.83248901367188,269.8123474121094,294.040283203125
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_013_se3_log_map.csv,13,0.8690168857574463,0.875601589679718,1.528902530670166,0.0436499491333961,-1.647648811340332,210.38034057617188,270.9076232910156,294.1648864746094
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_016_se3_log_map.csv,16,0.8187752962112427,0.7494205832481384,1.5591195821762085,-0.1310902833938598,-1.6551982164382937,94.08515167236328,270.3378601074219,282.28472900390625
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_014_se3_log_map.csv,14,0.8298475742340088,0.8047292828559875,1.526658296585083,0.0363797917962074,-1.7171928882598877,101.54418182373048,271.8005065917969,289.21142578125
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_020_se3_log_map.csv,20,0.8586254119873047,0.8785481452941895,1.519822597503662,0.0420965291559696,-1.6504430770874023,210.10690307617188,269.7071838378906,294.05584716796875
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_002_se3_log_map.csv,2,0.8681232929229736,0.8912996649742126,1.517676830291748,0.0386612713336944,-1.6723625659942627,209.2718963623047,270.86944580078125,319.1405944824219
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_008_se3_log_map.csv,8,0.8509190082550049,0.8072885870933533,1.535855054855347,0.0378290936350822,-1.6947901248931885,107.87940216064452,271.2005615234375,292.8258361816406
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_006_se3_log_map.csv,6,0.8424965143203735,0.8497461080551147,1.5211544036865234,0.0397368147969245,-1.6562042236328125,209.69715881347656,270.7161560058594,296.9002990722656
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_019_se3_log_map.csv,19,0.8656675219535828,0.8724935054779053,1.524320363998413,0.0401294939219951,-1.6426324844360352,211.3471221923828,270.81024169921875,293.6910705566406
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_005_se3_log_map.csv,5,0.8744288682937622,0.880622148513794,1.536863088607788,0.0495661199092865,-1.679560899734497,197.23629760742188,272.3077697753906,295.25421142578125
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_015_se3_log_map.csv,15,0.8332938551902771,0.7754374742507935,1.553593635559082,0.0363315679132938,-1.672426700592041,106.38826751708984,268.9730224609375,275.914306640625
/home/zsr/project/diffpose/ours/deepfluoro/runs/3/cma/1specimen_009_se3_log_map.csv,9,0.8401421308517456,0.7945221066474915,1.535436749458313,0.0362353287637233,-1.7059284448623655,102.84695434570312,271.3742980957031,291.2342529296875
