alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
1.5462085008621216,0.013956315815448761,-1.6287449598312378,205.09388732910156,256.48858642578125,296.4484558105469,0.0,21.456377029418945,15.575901985168457,26.513864517211914,15.576559066772461,3.53886079788208,0.0,21,se3_log_map,0.0,-1.2738279104232788,-1.2266162633895874,1.1742159128189087,205.09388732910156,256.48858642578125,296.4484558105469
1.5575690269470215,0.03388680890202522,-1.6466343402862549,205.8958740234375,256.6576843261719,296.9896545410156,1.44199800491333,18.3870792388916,15.196486473083496,23.854097366333008,15.197356224060059,3.7686872482299805,0.055336713790893555,21,se3_log_map,0.6568540334701538,-1.2959483861923218,-1.2393542528152466,1.1889594793319702,205.8958740234375,256.6576843261719,296.9896545410156
1.5384708642959595,0.024525389075279236,-1.6586328744888306,206.1775360107422,255.8505096435547,298.5896301269531,1.5269743204116821,11.696732521057129,16.11444664001465,19.912033081054688,16.114816665649414,3.3988523483276367,0.056237220764160156,21,se3_log_map,0.7366337180137634,-1.3072278499603271,-1.2375019788742065,1.162472128868103,206.1775360107422,255.8505096435547,298.5896301269531
1.5420701503753662,0.0294469203799963,-1.650273084640503,205.5229949951172,254.864990234375,296.25958251953125,1.5468499660491943,11.352279663085938,16.959945678710938,20.40867805480957,16.96030044555664,3.582904577255249,0.05591249465942383,21,se3_log_map,0.7398442625999451,-1.3028510808944702,-1.2319575548171997,1.1728219985961914,205.5229949951172,254.864990234375,296.25958251953125
1.5405724048614502,0.029214216396212578,-1.6525352001190186,206.2023162841797,256.4347839355469,296.7955322265625,1.568737506866455,10.697771072387695,15.29936695098877,18.668502807617188,15.299659729003906,3.2565317153930664,0.05556917190551758,21,se3_log_map,0.7584784626960754,-1.305070161819458,-1.2325468063354492,1.1705007553100586,206.2023162841797,256.4347839355469,296.7955322265625
1.5255286693572998,0.030616600066423416,-1.6499093770980835,209.99627685546875,261.1969909667969,297.931640625,1.5516808032989502,5.002338409423828,10.16054630279541,11.325201988220215,10.160590171813965,2.0398643016815186,0.05577731132507324,21,se3_log_map,0.7475396990776062,-1.3112648725509644,-1.2181974649429321,1.1621556282043457,209.99627685546875,261.1969909667969,297.931640625
1.5376579761505127,0.03376833721995354,-1.6452720165252686,206.93630981445312,261.992431640625,296.0552062988281,1.61544930934906,9.084678649902344,9.764939308166504,13.337373733520508,9.765085220336914,2.1592154502868652,0.056668758392333984,21,se3_log_map,0.8067457675933838,-1.3043462038040161,-1.2228397130966187,1.1753851175308228,206.93630981445312,261.992431640625,296.0552062988281
1.5091798305511475,0.030549688264727592,-1.6467218399047852,211.81869506835938,268.13397216796875,295.8247375488281,1.6353728771209717,8.717968940734863,3.1815505027770996,9.280374526977539,3.181610584259033,1.0055114030838013,0.056878089904785156,21,se3_log_map,0.8329821825027466,-1.3164876699447632,-1.2031164169311523,1.1519639492034912,211.81869506835938,268.13397216796875,295.8247375488281
1.5141242742538452,0.04214950278401375,-1.6481151580810547,211.6046142578125,268.44342041015625,293.1835632324219,1.6630821228027344,5.053460121154785,3.6087231636047363,6.209705352783203,3.608778238296509,0.7695241570472717,0.05703330039978027,21,se3_log_map,0.8493409752845764,-1.323406457901001,-1.2024718523025513,1.1637674570083618,211.6046142578125,268.44342041015625,293.1835632324219
1.5123083591461182,0.0462678037583828,-1.6509333848953247,212.28616333007812,270.7511901855469,293.17681884765625,1.6707608699798584,6.254831790924072,2.877922296524048,6.885161876678467,2.8779799938201904,0.8549039959907532,0.05766439437866211,21,se3_log_map,0.8557143211364746,-1.329247236251831,-1.2011138200759888,1.1643494367599487,212.28616333007812,270.7511901855469,293.17681884765625
1.5172351598739624,0.039576344192028046,-1.6456012725830078,211.27896118164062,269.9977722167969,294.19696044921875,1.676403284072876,4.546550750732422,1.78941011428833,4.886022090911865,1.7894117832183838,0.3784390389919281,0.06108212471008301,21,se3_log_map,0.8656755685806274,-1.3182759284973145,-1.2043243646621704,1.1651642322540283,211.27896118164062,269.9977722167969,294.19696044921875
1.5198005437850952,0.040970079600811005,-1.6493831872940063,210.79092407226562,269.095947265625,294.0322570800781,1.677893877029419,2.3091678619384766,2.425161838531494,3.348696231842041,2.425149917602539,0.4450405240058899,0.060884952545166016,21,se3_log_map,0.8695435523986816,-1.3208895921707153,-1.2084286212921143,1.1663048267364502,210.79092407226562,269.095947265625,294.0322570800781
