alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-0.7710723876953125,0.047079090029001236,1.987555980682373,257.22540283203125,20.262718200683594,118.45175170898438,1.1226149547789699,74.91461944580078,9.743416786193848,75.54557800292969,9.753551483154297,19.26097869873047,0.3880491256713867,18,se3_log_map,0.8547514081001282,0.7289440631866455,1.8909345865249634,-0.7338857054710388,-0.5406882762908936,257.22540283203125,20.262718200683594,118.45175170898438
-0.8165671825408936,0.08770911395549774,1.9565998315811157,244.5360565185547,18.017738342285156,111.38926696777344,1.1484459771297977,48.61724090576172,7.334926605224609,49.167442321777344,7.338414192199707,18.53399085998535,0.08968353271484375,18,se3_log_map,0.8592333793640137,0.7292596101760864,1.8649688959121704,-0.7421932816505432,-0.6170542240142822,244.5360565185547,18.017738342285156,111.38926696777344
-0.8274557590484619,0.08400542289018631,1.9375470876693726,263.04425048828125,25.30657196044922,112.42910766601562,1.107437774023989,41.500633239746094,17.465986251831055,45.02625274658203,17.471128463745117,29.771753311157227,0.411862850189209,18,se3_log_map,0.771544337272644,0.7615312337875366,1.84322190284729,-0.7466102242469788,-0.6256150007247925,263.04425048828125,25.30657196044922,112.42910766601562
-0.8466088175773621,0.11147274076938629,1.8817007541656494,243.64663696289062,7.414741516113281,135.2575225830078,1.2347138188329345,16.615697860717773,21.463220596313477,27.143163681030273,21.464168548583984,21.599403381347656,0.09325146675109863,18,se3_log_map,0.8625032901763916,0.7322019934654236,1.7976468801498413,-0.7235349416732788,-0.6783211827278137,243.64663696289062,7.414741516113281,135.2575225830078
-0.86016446352005,0.11375834047794342,1.9425650835037231,241.5740509033203,6.581474304199219,119.89727783203125,1.4653307067494783,44.53070831298828,14.331029891967773,46.77993392944336,14.33530044555664,7.723452091217041,0.4223151206970215,18,se3_log_map,0.8836621642112732,0.7538869380950928,1.8503196239471436,-0.7631523609161377,-0.6734129786491394,241.5740509033203,6.581474304199219,119.89727783203125
-0.8582961559295654,0.10512278974056244,1.880122184753418,251.4439697265625,6.027976989746094,117.73655700683594,1.481609493545801,22.45947265625,13.99913215637207,26.46514129638672,14.000139236450195,6.380056858062744,0.08896040916442871,18,se3_log_map,0.8817054033279419,0.7527613639831543,1.7907791137695312,-0.7376770377159119,-0.6806385517120361,251.4439697265625,6.027976989746094,117.73655700683594
-0.8617385625839233,0.1057325080037117,1.8914159536361694,245.99560546875,9.617607116699219,121.99908447265625,1.4330691131891757,26.362957000732422,10.76768970489502,28.477161407470703,10.768990516662598,4.398523330688477,0.40166163444519043,18,se3_log_map,0.873438835144043,0.7585996389389038,1.8003828525543213,-0.7457510828971863,-0.6805265545845032,245.99560546875,9.617607116699219,121.99908447265625
-0.888680100440979,0.0747118592262268,1.8967677354812622,246.11373901367188,-0.5889358520507812,124.9480209350586,1.5241466729476678,45.69181823730469,21.296445846557617,50.41111755371094,21.30315589904785,6.744147777557373,0.08896780014038086,18,se3_log_map,0.8995399475097656,0.7666805982589722,1.7853963375091553,-0.7920233011245728,-0.6681304574012756,246.11373901367188,-0.5889358520507812,124.9480209350586
-0.8724947571754456,0.09767211228609085,1.8959606885910034,247.81793212890625,2.6702499389648438,120.11878204345703,1.5285987705475508,33.485347747802734,16.94169044494629,37.527183532714844,16.944204330444336,5.1302924156188965,0.4020414352416992,18,se3_log_map,0.9044846892356873,0.7663859724998474,1.7984660863876343,-0.7628423571586609,-0.6789400577545166,247.81793212890625,2.6702499389648438,120.11878204345703
-0.881075918674469,0.08954091370105743,1.90495765209198,246.86456298828125,1.0408782958984375,120.95349884033203,1.527180512271571,40.954856872558594,18.684892654418945,45.015838623046875,18.688915252685547,6.460104465484619,0.08771967887878418,18,se3_log_map,0.9029770493507385,0.7656304836273193,1.800992488861084,-0.7799405455589294,-0.674545168876648,246.86456298828125,1.0408782958984375,120.95349884033203
-0.8704110383987427,0.09618178009986877,1.8991947174072266,247.40245056152344,4.2015380859375,120.2845687866211,1.528768546754903,33.86360168457031,15.447022438049316,37.22034454345703,15.449284553527832,5.409343719482422,0.391265869140625,18,se3_log_map,0.9048685431480408,0.7672860622406006,1.8013732433319092,-0.7632500529289246,-0.6753144860267639,247.40245056152344,4.2015380859375,120.2845687866211
-0.8701643943786621,0.0962870866060257,1.896986961364746,248.86117553710938,2.480926513671875,120.49504089355469,1.5287258583199255,33.15046691894531,17.23076820373535,37.36111831665039,17.23320960998535,5.207984447479248,0.0878608226776123,18,se3_log_map,0.9032171964645386,0.766772449016571,1.7994805574417114,-0.761935830116272,-0.675850510597229,248.86117553710938,2.480926513671875,120.49504089355469
-0.8394551277160645,0.11986874788999557,1.899289608001709,250.1752166748047,10.625900268554688,115.83466339111328,1.5357215454849897,19.312440872192383,9.46306324005127,21.50627899169922,9.46324348449707,3.248217821121216,0.4029886722564697,18,se3_log_map,0.9073764085769653,0.7644065618515015,1.8186486959457397,-0.7196740508079529,-0.6769526600837708,250.1752166748047,10.625900268554688,115.83466339111328
-0.8160381317138672,0.14910607039928436,1.8962793350219727,253.78187561035156,13.439361572265625,110.36326599121094,1.5364352361818314,18.18895149230957,11.51733112335205,21.52874755859375,11.517802238464355,1.668320655822754,0.0920419692993164,18,se3_log_map,0.9054885506629944,0.7734760642051697,1.8321049213409424,-0.678019106388092,-0.6894444227218628,253.78187561035156,13.439361572265625,110.36326599121094
-0.8193254470825195,0.15217795968055725,1.8935294151306152,253.13192749023438,13.25177001953125,109.91404724121094,1.5353479603151463,18.10771369934082,11.58607292175293,21.497127532958984,11.586614608764648,1.446732997894287,0.41399431228637695,18,se3_log_map,0.906150758266449,0.7679890394210815,1.8299375772476196,-0.6780065894126892,-0.6950727105140686,253.13192749023438,13.25177001953125,109.91404724121094
-0.8203637003898621,0.1394938975572586,1.8978126049041748,252.89373779296875,13.404144287109375,112.20208740234375,1.537802960465732,16.41604995727539,9.915642738342285,19.17828941345215,9.915854454040527,1.9781455993652344,0.09107375144958496,18,se3_log_map,0.906154215335846,0.774438738822937,1.8290895223617554,-0.6887879967689514,-0.6830064654350281,252.89373779296875,13.404144287109375,112.20208740234375
-0.8215426206588745,0.13338474929332733,1.8947346210479736,253.05511474609375,13.20806884765625,113.72647094726562,0.0,14.05931568145752,9.346809387207031,16.88275146484375,9.346912384033203,1.98501718044281,0.0,18,se3_log_map,0.9071507578078144,0.7737771289405941,1.8237940073013306,-0.6922729015350342,-0.6788296699523926,253.05511474609375,13.20806884765625,113.72647094726562
