alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-0.791994035243988,0.040353428572416306,1.9603016376495361,251.69696044921875,19.435447692871094,118.68147277832031,0.3829383850097656,64.49270629882812,4.236072540283203,64.63167572021484,4.240954875946045,22.237350463867188,0.16418099403381348,23,se3_log_map,0.8506114482879639,0.7254793643951416,1.8574814796447754,-0.7472219467163086,-0.5550337433815002,251.69696044921875,19.435447692871094,118.68147277832031
-0.8096919655799866,0.05419405177235603,1.9763095378875732,248.73133850097656,2.5922622680664062,132.59693908691406,0.47585994005203247,65.409423828125,22.392135620117188,69.13610076904297,22.399066925048828,19.460546493530273,0.11952400207519531,23,se3_log_map,0.8754070997238159,0.7493517398834229,1.8724008798599243,-0.7630749344825745,-0.5750606656074524,248.73133850097656,2.5922622680664062,132.59693908691406
-0.8185770511627197,0.07088174670934677,2.0060462951660156,250.83377075195312,21.353134155273438,133.8350830078125,0.3921688199043274,74.70750427246094,16.356691360473633,76.47714233398438,16.372453689575195,15.487648963928223,0.12926316261291504,23,se3_log_map,0.8411329984664917,0.7555537223815918,1.903386116027832,-0.7750139236450195,-0.5883470773696899,250.83377075195312,21.353134155273438,133.8350830078125
-0.8477709889411926,0.0442056842148304,2.0080251693725586,252.48170471191406,-2.0481414794921875,141.66860961914062,0.4654309153556824,83.52356719970703,32.420555114746094,89.59507751464844,32.44922637939453,16.89596939086914,0.12356305122375488,23,se3_log_map,0.8703845739364624,0.7437893748283386,1.886168360710144,-0.8193773031234741,-0.5797010064125061,252.48170471191406,-2.0481414794921875,141.66860961914062
-0.84648597240448,0.026339871808886528,2.0074656009674072,234.11070251464844,5.495918273925781,141.15882873535156,0.4875617027282715,87.84304809570312,30.24806022644043,92.90503692626953,30.285066604614258,22.11790657043457,0.12620759010314941,23,se3_log_map,0.8693885207176208,0.7642397880554199,1.8789244890213013,-0.8275089859962463,-0.5616374015808105,234.11070251464844,5.495918273925781,141.15882873535156
-0.8637113571166992,0.0305720753967762,1.9821927547454834,245.18466186523438,-11.366226196289062,137.6385040283203,0.49362409114837646,78.94944763183594,36.67047882080078,87.05020904541016,36.694034576416016,18.22433853149414,0.09968733787536621,23,se3_log_map,0.8689757585525513,0.7796176075935364,1.8522086143493652,-0.8312517404556274,-0.5845211148262024,245.18466186523438,-11.366226196289062,137.6385040283203
-0.8683308959007263,0.046206314116716385,1.993490219116211,234.60845947265625,-2.7355804443359375,135.51141357421875,0.49145323038101196,79.9080810546875,31.13031005859375,85.75778198242188,31.158586502075195,20.43781852722168,0.1657576560974121,23,se3_log_map,0.8669508099555969,0.7792967557907104,1.8673570156097412,-0.8321709632873535,-0.5989387631416321,234.60845947265625,-2.7355804443359375,135.51141357421875
-0.8965103030204773,0.039716001600027084,1.9787662029266357,235.1826171875,-9.595245361328125,135.79183959960938,0.49743354320526123,81.95281982421875,36.27934646606445,89.62397003173828,36.312931060791016,16.7357234954834,0.10196137428283691,23,se3_log_map,0.8683345317840576,0.795283317565918,1.842354655265808,-0.8565738201141357,-0.6149986982345581,235.1826171875,-9.595245361328125,135.79183959960938
-0.8886923789978027,0.035571031272411346,1.9791364669799805,237.24183654785156,-9.974494934082031,137.33456420898438,0.49697810411453247,81.27928924560547,36.732452392578125,89.19414520263672,36.764705657958984,17.314268112182617,0.15644097328186035,23,se3_log_map,0.868314266204834,0.7920344471931458,1.843488335609436,-0.851408839225769,-0.6059938669204712,237.24183654785156,-9.974494934082031,137.33456420898438
-0.8922180533409119,0.047295596450567245,1.9689548015594482,230.944091796875,-3.8810653686523438,135.13348388671875,0.49680596590042114,75.4255599975586,33.410213470458984,82.49398040771484,33.439212799072266,17.382991790771484,0.10709524154663086,23,se3_log_map,0.8696936368942261,0.789556086063385,1.8380876779556274,-0.8438748717308044,-0.6227223873138428,230.944091796875,-3.8810653686523438,135.13348388671875
