ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
56,2.37,1.30,成功,成功,-0.8169,0.1439,1.8926,249.44,18.78,112.62,zyl_xray056_se3_log_map.csv
16,2.33,1.34,成功,成功,-0.8114,0.1514,1.8758,248.18,23.00,112.93,zyl_xray016_se3_log_map.csv
10,8.46,1.14,成功,成功,-0.8243,0.1480,1.8930,252.35,16.73,94.49,zyl_xray010_se3_log_map.csv
22,1.86,1.69,成功,成功,-0.8244,0.1460,1.8862,248.24,19.17,112.47,zyl_xray022_se3_log_map.csv
70,9.70,1.66,成功,成功,-0.8006,0.1500,1.8718,244.79,29.84,113.09,zyl_xray070_se3_log_map.csv
30,2.02,2.01,成功,成功,-0.8212,0.1465,1.8829,249.10,19.77,112.31,zyl_xray030_se3_log_map.csv
31,3.37,1.58,成功,成功,-0.8225,0.1468,1.8885,249.71,17.92,112.16,zyl_xray031_se3_log_map.csv
59,2.51,1.52,成功,成功,-0.8216,0.1359,1.8910,248.80,18.15,114.18,zyl_xray059_se3_log_map.csv
15,2.36,1.20,成功,成功,-0.8132,0.1467,1.8847,250.69,19.73,112.53,zyl_xray015_se3_log_map.csv
52,3.51,1.20,成功,成功,-0.8197,0.1433,1.8803,246.10,23.07,114.25,zyl_xray052_se3_log_map.csv
32,1.28,1.53,成功,成功,-0.8165,0.1486,1.8830,249.00,21.11,112.45,zyl_xray032_se3_log_map.csv
86,5.30,3.24,成功,成功,-0.8206,0.1416,1.8755,245.93,24.86,113.74,zyl_xray086_se3_log_map.csv
49,4.62,5.84,成功,成功,-0.7901,0.1388,1.8964,251.20,19.94,115.00,zyl_xray049_se3_log_map.csv
7,5.99,1.35,成功,成功,-0.8291,0.1391,1.8946,249.96,17.62,96.97,zyl_xray007_se3_log_map.csv
12,1.70,1.38,成功,成功,-0.8108,0.1519,1.8737,248.80,22.42,112.72,zyl_xray012_se3_log_map.csv
6,5.55,1.66,成功,成功,-0.8295,0.1316,1.8901,249.97,17.97,98.48,zyl_xray006_se3_log_map.csv
5,5.23,0.95,成功,成功,-0.8196,0.1442,1.8910,251.20,19.63,95.88,zyl_xray005_se3_log_map.csv
43,1.80,1.52,成功,成功,-0.8249,0.1486,1.8811,246.49,21.07,113.04,zyl_xray043_se3_log_map.csv
54,4.06,1.42,成功,成功,-0.8280,0.1409,1.8918,248.77,16.14,113.26,zyl_xray054_se3_log_map.csv
80,7.02,2.08,成功,成功,-0.8162,0.1433,1.8732,244.70,26.43,113.98,zyl_xray080_se3_log_map.csv
24,1.51,1.48,成功,成功,-0.8214,0.1429,1.8889,248.50,19.62,113.44,zyl_xray024_se3_log_map.csv
27,1.47,1.27,成功,成功,-0.8172,0.1452,1.8817,249.41,20.15,113.19,zyl_xray027_se3_log_map.csv
74,3.96,1.97,成功,成功,-0.8115,0.1438,1.8815,247.03,24.23,112.85,zyl_xray074_se3_log_map.csv
26,1.32,1.67,成功,成功,-0.8209,0.1431,1.8875,248.19,20.34,113.13,zyl_xray026_se3_log_map.csv
36,4.22,2.41,成功,成功,-0.8345,0.1440,1.8953,248.05,16.14,112.20,zyl_xray036_se3_log_map.csv
51,2.02,1.04,成功,成功,-0.8094,0.1400,1.8865,248.20,22.42,114.32,zyl_xray051_se3_log_map.csv
9,5.90,0.89,成功,成功,-0.8137,0.1474,1.8910,252.60,19.98,94.90,zyl_xray009_se3_log_map.csv
50,1.27,1.41,成功,成功,-0.8075,0.1439,1.8868,249.21,21.19,113.35,zyl_xray050_se3_log_map.csv
73,8.15,2.21,成功,成功,-0.8092,0.1454,1.8694,244.88,27.96,113.33,zyl_xray073_se3_log_map.csv
68,5.00,1.70,成功,成功,-0.8082,0.1439,1.8826,246.65,25.30,113.12,zyl_xray068_se3_log_map.csv
47,3.19,2.44,成功,成功,-0.8298,0.1447,1.8911,248.37,17.80,112.31,zyl_xray047_se3_log_map.csv
69,2.83,1.87,成功,成功,-0.8152,0.1448,1.8797,247.16,22.84,112.60,zyl_xray069_se3_log_map.csv
83,6.09,2.76,成功,成功,-0.8137,0.1369,1.8779,246.15,26.07,114.65,zyl_xray083_se3_log_map.csv
84,4.92,1.23,成功,成功,-0.8038,0.1428,1.8745,247.94,26.14,114.11,zyl_xray084_se3_log_map.csv
76,8.26,2.48,成功,成功,-0.8141,0.1414,1.8751,244.07,27.45,113.93,zyl_xray076_se3_log_map.csv
19,3.74,1.48,成功,成功,-0.8133,0.1524,1.8751,247.08,24.15,112.68,zyl_xray019_se3_log_map.csv
