alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0019989013671875,-0.11835036426782608,1.8046315908432007,234.9958953857422,47.184478759765625,142.048095703125,0.5322079732514757,57.146484375,35.015987396240234,67.02118682861328,35.02339172363281,45.40254211425781,33.720069885253906,0.6775662899017334,35,se3_log_map,0.774933397769928,0.7200889587402344,1.5748001337051392,-0.9606615900993347,-0.6032381653785706,234.9958953857422,47.184478759765625,142.048095703125
-1.1271525621414185,-0.18842892348766327,1.8161635398864746,242.13905334472656,38.23136901855469,147.7740020751953,1.0751082749404515,80.40837097167969,42.08343505859375,90.75528717041016,42.127952575683594,5.90667724609375,19.585115432739258,0.10034608840942383,35,se3_log_map,0.7455973625183105,0.7443661689758301,1.4925510883331299,-1.1047693490982056,-0.6241920590400696,242.13905334472656,38.23136901855469,147.7740020751953
-1.1149768829345703,-0.2557741403579712,1.7985137701034546,251.6442413330078,37.05986022949219,155.785888671875,0.6910318679486683,112.72760772705078,50.24420166015625,123.41796112060547,50.34543991088867,17.37683868408203,28.988927841186523,0.10564136505126953,35,se3_log_map,0.7509247064590454,0.7142958641052246,1.4441314935684204,-1.1192535161972046,-0.565926194190979,251.6442413330078,37.05986022949219,155.785888671875
-1.0616346597671509,-0.17729632556438446,1.8540410995483398,243.21006774902344,47.60179138183594,157.4693145751953,0.8373157600465718,68.09392547607422,48.58163833618164,83.64781951904297,48.61761474609375,23.614843368530273,21.835893630981445,0.10229301452636719,35,se3_log_map,0.757278323173523,0.7228115797042847,1.5616790056228638,-1.0624920129776,-0.5715136528015137,243.21006774902344,47.60179138183594,157.4693145751953
-1.1347317695617676,-0.2074841558933258,1.856425404548645,242.26119995117188,43.09104919433594,147.50978088378906,0.9457667785690584,87.7916030883789,40.04850769042969,96.49481201171875,40.09969711303711,11.310990333557129,17.143260955810547,0.10747194290161133,35,se3_log_map,0.7508138418197632,0.7306865453720093,1.512284278869629,-1.1381053924560547,-0.5934269428253174,242.26119995117188,43.09104919433594,147.50978088378906
-1.050951600074768,-0.15230527520179749,1.8134212493896484,252.53125,45.38218688964844,143.2565155029297,1.048975060293988,59.53125762939453,35.99242401123047,69.56597900390625,36.013893127441406,10.140348434448242,17.654296875,0.1006927490234375,35,se3_log_map,0.7373329401016235,0.7366267442703247,1.5445356369018555,-1.023277997970581,-0.6040355563163757,252.53125,45.38218688964844,143.2565155029297
-1.091428279876709,-0.17639121413230896,1.8417794704437256,248.52871704101562,44.951683044433594,147.74789428710938,1.0571743923964876,67.98815155029297,39.786865234375,78.77425384521484,39.8175163269043,7.006684303283691,16.770862579345703,0.0990896224975586,35,se3_log_map,0.7443042397499084,0.7394145727157593,1.5379939079284668,-1.081404447555542,-0.5982393622398376,248.52871704101562,44.951683044433594,147.74789428710938
-1.1292119026184082,-0.1819181740283966,1.859000563621521,238.86044311523438,42.64219665527344,148.1892547607422,1.071824887938611,74.84159851074219,41.204532623291016,85.43463897705078,41.24317169189453,6.923534870147705,14.99483871459961,0.10730600357055664,35,se3_log_map,0.7480950355529785,0.7447657585144043,1.531955599784851,-1.1230721473693848,-0.6110225915908813,238.86044311523438,42.64219665527344,148.1892547607422
-1.1089532375335693,-0.19437000155448914,1.8465180397033691,247.55874633789062,40.649497985839844,144.3106689453125,0.9586509038324923,78.14511108398438,37.91969299316406,86.85943603515625,37.95832061767578,9.173731803894043,19.69440269470215,0.10816168785095215,35,se3_log_map,0.7430648803710938,0.7340017557144165,1.523756980895996,-1.1065168380737305,-0.5921816825866699,247.55874633789062,40.649497985839844,144.3106689453125
-1.0824670791625977,-0.19110709428787231,1.8600157499313354,247.4233856201172,41.964012145996094,147.94448852539062,0.9411215092846085,74.75126647949219,40.801753997802734,85.16181945800781,40.83976364135742,6.938292026519775,18.53671646118164,0.10100793838500977,35,se3_log_map,0.7429276704788208,0.7360922694206238,1.5496619939804077,-1.089074730873108,-0.5706872940063477,247.4233856201172,41.964012145996094,147.94448852539062
