alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.0668158531188965,0.12936539947986603,1.7693322896957397,173.60397338867188,147.41912841796875,101.84017944335938,0.0,32.58713912963867,58.599666595458984,67.0510482788086,58.60795974731445,28.291303634643555,0.0,16,se3_log_map,0.758448924018715,0.7685014402646249,1.6445984840393066,-0.8570699691772461,-0.8743613362312317,173.60397338867188,147.41912841796875,101.84017944335938
-1.0606708526611328,0.15362824499607086,1.7934538125991821,172.91436767578125,150.04391479492188,100.0509262084961,0.24738502502441406,29.703296661376953,61.6161003112793,68.40196990966797,61.625038146972656,26.904930114746094,0.08725929260253906,16,se3_log_map,0.761780858039856,0.7671249508857727,1.6789422035217285,-0.8505760431289673,-0.8838523626327515,172.91436767578125,150.04391479492188,100.0509262084961
-1.0781772136688232,0.11615312099456787,1.7756823301315308,175.6080780029297,161.3589630126953,97.67729187011719,0.29542282223701477,27.285127639770508,71.8764877319336,76.8811264038086,71.88409423828125,41.020835876464844,0.07445693016052246,16,se3_log_map,0.7626186609268188,0.7714497447013855,1.6401493549346924,-0.8786781430244446,-0.8689766526222229,175.6080780029297,161.3589630126953,97.67729187011719
-1.056884765625,0.1494465470314026,1.8069769144058228,170.6964874267578,156.78701782226562,106.39728546142578,0.3283078670501709,28.714183807373047,67.58950805664062,73.43599700927734,67.59883880615234,18.157529830932617,0.0889427661895752,16,se3_log_map,0.769608199596405,0.779424786567688,1.6897615194320679,-0.8573375940322876,-0.8736813068389893,170.6964874267578,156.78701782226562,106.39728546142578
-1.0476107597351074,0.11759745329618454,1.7948448657989502,174.39834594726562,152.69729614257812,113.22509002685547,0.3442103862762451,34.92958450317383,62.13280487060547,71.27806091308594,62.14509201049805,11.639089584350586,0.07769536972045898,16,se3_log_map,0.7712829113006592,0.7711267471313477,1.666855812072754,-0.8611803650856018,-0.8433443307876587,174.39834594726562,152.69729614257812,113.22509002685547
-0.9981056451797485,0.10223668813705444,1.806941032409668,189.3527069091797,144.027587890625,116.65018463134766,0.4005233645439148,59.17927169799805,50.66952896118164,77.90755462646484,50.69923782348633,10.557107925415039,0.08869266510009766,16,se3_log_map,0.7823283672332764,0.7760083079338074,1.6851236820220947,-0.8322975039482117,-0.7925106287002563,189.3527069091797,144.027587890625,116.65018463134766
-1.0164644718170166,0.14471754431724548,1.7847962379455566,183.63644409179688,143.3733673095703,115.64056396484375,0.4061468243598938,51.30156707763672,50.78413391113281,72.18641662597656,50.80436325073242,5.992752552032471,0.07669806480407715,16,se3_log_map,0.7936896085739136,0.7838061451911926,1.6798301935195923,-0.8111899495124817,-0.8483682870864868,183.63644409179688,143.3733673095703,115.64056396484375
-1.015807867050171,0.11732485145330429,1.805406093597412,188.9375457763672,139.9578094482422,116.4410400390625,0.4067307114601135,49.020198822021484,46.6513671875,67.67074584960938,46.67012405395508,7.983386516571045,0.08984923362731934,16,se3_log_map,0.7857592701911926,0.7790279388427734,1.685482382774353,-0.8384107351303101,-0.8182311654090881,188.9375457763672,139.9578094482422,116.4410400390625
-1.0329033136367798,0.13220442831516266,1.8193130493164062,184.58633422851562,141.28102111816406,113.13153076171875,0.4232984185218811,38.9927978515625,48.50812530517578,62.23725891113281,48.52030563354492,8.931646347045898,0.0772392749786377,16,se3_log_map,0.7903834581375122,0.779560923576355,1.6994786262512207,-0.8526121377944946,-0.8387318849563599,184.58633422851562,141.28102111816406,113.13153076171875
-1.0162851810455322,0.13956207036972046,1.8111659288406372,187.41268920898438,138.35511779785156,113.17628479003906,0.4249771237373352,47.68827819824219,45.158241271972656,65.67677307128906,45.175445556640625,6.517416477203369,0.08983826637268066,16,se3_log_map,0.7930115461349487,0.7823511362075806,1.7006174325942993,-0.8285626769065857,-0.8363273739814758,187.41268920898438,138.35511779785156,113.17628479003906
