file,id_number,ncc,ssim,ssim_ori,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray078_se3_log_map.csv,78,0.27546025276970143,0.7228626066896813,0.803408383363765,231.38214111328125,273.6378173828125,30.23859600819618,185.51841735839844,-1.57968008518219,0.1512040346860885,1.5511553287506104,251.08236694335935,261.9112243652344,194.1217041015625
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray052_se3_log_map.csv,52,0.20912712475072193,0.6717034983155874,0.7213950159061029,196.53985595703125,167.17051696777344,28.522726594642183,161.5918426513672,-1.60379958152771,0.139027863740921,1.5167477130889893,224.64480590820312,256.05572509765625,136.8550567626953
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray065_se3_log_map.csv,65,0.30079151128764703,0.7018210487670057,0.694171671927001,221.62437438964844,316.21392822265625,26.80293523182527,195.1007537841797,-1.4677133560180664,0.1131519600749015,1.419363260269165,300.3808898925781,258.2527770996094,66.37698364257812
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray074_se3_log_map.csv,74,0.25798560879310695,0.7045119054314006,0.7268455226103899,178.47470092773438,167.1984405517578,26.31195544349045,144.23794555664062,-1.5169529914855957,0.2304799258708953,1.599845290184021,221.782958984375,239.13558959960935,92.66299438476562
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray041_se3_log_map.csv,41,0.25227258134236147,0.7357683981935974,0.7286052671292306,156.99330139160156,42.423553466796875,22.501126910653298,151.8695526123047,-1.4658209085464478,0.1583936810493469,1.564012885093689,143.65164184570312,231.98416137695312,127.5856704711914
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray032_se3_log_map.csv,32,0.2341069218071302,0.7014485970528863,0.7356613019605289,90.01853942871094,75.81804656982422,26.467445082436384,71.81098937988281,-1.5304409265518188,0.0192198362201452,1.56361722946167,176.2125701904297,158.50369262695312,115.77272033691406
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray024_se3_log_map.csv,24,0.3033262858863115,0.7366805291113898,0.7430561896645494,133.20880126953125,75.47213745117188,20.43802947637646,142.2506866455078,-1.423828363418579,0.3050037920475006,1.7840903997421265,94.5731201171875,190.47113037109372,124.98786926269533
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray016_se3_log_map.csv,16,0.2960026516809007,0.7696831055697309,0.7585973409055535,157.44529724121094,92.46758270263672,18.71422873787523,166.01043701171875,-1.3826360702514648,-0.0212219785898923,1.6262162923812866,96.69873046875,222.03147888183597,99.0846939086914
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray039_se3_log_map.csv,39,0.2664564436637721,0.6878394983736249,0.7310976443538122,100.101318359375,105.348388671875,30.055815337553454,62.40580749511719,-1.635366678237915,0.1342839151620865,1.5980474948883057,184.92726135253903,150.6099090576172,114.6287612915039
/home/zsr/project/diffpose/ours/Bipose/runs/wfl/wfl_xray070_se3_log_map.csv,70,0.2795638514665688,0.741375156719156,0.7361679059312165,220.96743774414062,308.8298034667969,31.19821988273264,170.5287322998047,-1.599098563194275,0.1455624997615814,1.4244611263275146,295.60772705078125,234.42111206054688,161.7608184814453
