alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,ssim_ori,r1,r2,r3,t1,t2,t3
-1.1603882312774658,-0.11772910505533218,1.4199285507202148,167.76138305664062,97.29773712158203,166.26580810546875,0.09387446939945221,151.74510192871094,67.91539764404297,166.2500457763672,68.16323852539062,71.83982849121094,0.09997584801749326,51,se3_log_map,0.7172926664352417,0.7195732593536377,1.1787744760513306,-0.89361172914505,-0.868522047996521,153.0181121826172,245.66323852539062,-6.395517349243164
-1.1593319177627563,-0.12163489311933517,1.4308041334152222,155.52438354492188,93.27608489990234,166.52383422851562,0.18608048558235168,148.11021423339844,60.864463806152344,160.12843322753906,61.05984115600586,50.347068786621094,0.11785669098026119,51,se3_log_map,0.7229376435279846,0.7248407006263733,1.1862741708755493,-0.9011116623878479,-0.8610219955444336,145.5181427001953,238.16326904296875,1.1045198440551758
-1.1579550504684448,-0.1253037005662918,1.441300392150879,146.56436157226562,94.80626678466797,172.132080078125,0.2653377652168274,144.69903564453125,62.91827392578125,157.78631591796875,63.09479904174805,38.057193756103516,0.11392797599546611,51,se3_log_map,0.7294546961784363,0.7310675978660583,1.193704605102539,-0.9080049991607666,-0.8535121083259583,139.8563995361328,239.93386840820312,8.357129096984863
-1.1585817337036133,-0.1248844563961029,1.4479942321777344,138.58006286621094,94.263427734375,172.133056640625,0.30512550473213196,141.84132385253906,62.57071304321289,155.02920532226562,62.71931076049805,26.77872657775879,0.11244315098156221,51,se3_log_map,0.7388781309127808,0.7389626502990723,1.1994996070861816,-0.9116532206535339,-0.8518673777580261,133.45033264160156,237.0407257080078,12.112272262573242
-1.157728910446167,-0.12630434334278107,1.4540777206420898,130.05564880371094,93.24996185302734,171.0832061767578,0.42674392461776733,139.75131225585938,62.582706451416016,153.1242218017578,62.703338623046875,17.68157958984375,0.1151131690130569,51,se3_log_map,0.7743948101997375,0.7803369164466858,1.2042385339736938,-0.9151427149772644,-0.847938597202301,126.65313720703125,232.70718383789062,15.740938186645508
-1.1573002338409424,-0.12789873778820038,1.460715413093567,121.75498962402344,92.07330322265625,169.67135620117188,0.4256573021411896,137.54258728027344,63.44852828979492,151.47171020507812,63.543800354003906,16.259654998779297,0.11295435900683515,51,se3_log_map,0.8072929382324219,0.8051952123641968,1.209199070930481,-0.9193015694618225,-0.8440040946006775,120.02530670166016,228.12303161621094,19.005918502807617
-1.15812087059021,-0.1277228146791458,1.466362476348877,115.5960693359375,91.14912414550781,168.78173828125,0.40647098422050476,135.26376342773438,64.80717468261719,149.98751831054688,64.88516235351562,21.886213302612305,0.12283874000422657,51,se3_log_map,0.8272011876106262,0.8151156902313232,1.213870644569397,-0.9226803779602051,-0.8426908850669861,115.05115509033203,224.9589080810547,21.485607147216797
-1.158839464187622,-0.12778803706169128,1.4724171161651611,110.01127624511719,90.27609252929688,168.81871032714844,0.4207751750946045,132.91851806640625,66.72129821777344,148.72479248046875,66.787109375,29.099943161010742,0.11324420000892133,51,se3_log_map,0.8460334539413452,0.8155397176742554,1.2187880277633667,-0.9263538718223572,-0.840961217880249,110.93767547607422,222.65316772460938,24.342470169067383
-1.1597301959991455,-0.12764549255371094,1.4787187576293945,103.85910034179688,89.11603546142578,167.752685546875,0.4217927157878876,130.44505310058594,68.87470245361328,147.511474609375,68.9272232055664,38.440887451171875,0.11103267801809125,51,se3_log_map,0.8273411393165588,0.786780595779419,1.2239705324172974,-0.9301462769508362,-0.8394145369529724,106.06129455566406,219.22787475585938,26.78821563720703
-1.160445213317871,-0.12688621878623962,1.483022928237915,99.53605651855469,88.3021011352539,166.5443572998047,0.4185487627983093,128.56430053710938,70.5897216796875,146.6686248779297,70.6333236694336,45.459102630615234,0.11245796902221628,51,se3_log_map,0.8248128890991211,0.7888910174369812,1.2278542518615723,-0.932405412197113,-0.8389179110527039,102.38844299316406,216.5601043701172,28.168319702148438
