alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.7787174582481384,-0.19059686362743378,1.7396059036254883,280.2470703125,-9.741241455078125,206.88223266601562,0.5547538995742798,172.1863555908203,99.17971801757812,198.7077178955078,99.66808319091797,16.78074836730957,0.11689606698928401,48,se3_log_map,0.8450013399124146,1.5637197494506836,-0.7940398454666138,-0.4054533541202545,334.204345703125,186.248046875,31.154865264892578
-0.780418872833252,-0.2017398625612259,1.7373523712158203,289.00787353515625,-11.553703308105469,200.88003540039062,0.5508867502212524,177.59515380859375,97.79562377929688,202.74127197265625,98.29535675048828,16.815078735351562,0.1251783500192687,48,se3_log_map,0.8422512412071228,1.5562196969985962,-0.801539957523346,-0.3979533612728119,341.7042541503906,178.74810791015625,23.654930114746094
-0.7851383686065674,-0.2043251246213913,1.7439168691635132,291.56787109375,-11.68658447265625,204.7020721435547,0.5685644745826721,177.40982055664062,102.17572784423828,204.72940063476562,102.69378662109375,15.98232650756836,0.12028434098465368,48,se3_log_map,0.8379671573638916,1.5595483779907227,-0.8089556694030762,-0.3968985378742218,345.923095703125,181.81381225585938,23.89105796813965
-0.7920615673065186,-0.20282436907291412,1.750817060470581,293.7569885253906,-13.138816833496094,210.89691162109375,0.5782713890075684,175.2766571044922,108.82816314697266,206.31402587890625,109.3655014038086,15.113934516906738,0.12255323602585122,48,se3_log_map,0.8344238996505737,1.5641766786575317,-0.8158004283905029,-0.40079158544540405,350.8038330078125,186.69285583496094,26.782733917236328
-0.7987018823623657,-0.2012251764535904,1.7566841840744019,297.08782958984375,-14.451446533203125,215.79257202148438,0.5676984786987305,173.37200927734375,114.82249450683594,207.94725036621094,115.37273406982422,17.512773513793945,0.1224886549753137,48,se3_log_map,0.820565938949585,1.5679688453674316,-0.8220776915550232,-0.404900461435318,356.2287902832031,190.7452850341797,28.199668884277344
-0.8033252358436584,-0.20154453814029694,1.7616193294525146,301.4007568359375,-15.998260498046875,219.09420776367188,0.551656186580658,172.64830017089844,119.97814178466797,210.24317932128906,120.54229736328125,20.91145133972168,0.1254972429596819,48,se3_log_map,0.7984257936477661,1.5707472562789917,-0.8275982141494751,-0.4062070846557617,362.17010498046875,192.90353393554688,28.468730926513672
-0.803428590297699,-0.2042439728975296,1.7618508338928223,303.8439636230469,-16.612403869628906,217.0596923828125,0.5571222305297852,173.8911590576172,119.58424377441406,211.04153442382812,120.14952850341797,21.608640670776367,0.1232855329872109,48,se3_log_map,0.7940495014190674,1.5697224140167236,-0.8293648958206177,-0.4038688838481903,364.1250305175781,190.44151306152344,26.159423828125
-0.801601231098175,-0.2064339816570282,1.7625000476837158,301.47625732421875,-17.73040008544922,214.8175048828125,0.5707466006278992,174.87579345703125,116.96890258789062,210.38836669921875,117.53461456298828,18.941267013549805,0.12287385202944279,48,se3_log_map,0.816251277923584,1.5700030326843262,-0.8293861746788025,-0.40042683482170105,361.63189697265625,186.99908447265625,26.6302433013916
-0.8005228042602539,-0.2074006050825119,1.7648897171020508,297.6634521484375,-19.41118621826172,213.82943725585938,0.5777187347412109,175.01449584960938,114.9880599975586,209.4094696044922,115.55482482910156,16.1728458404541,0.1232930039986968,48,se3_log_map,0.836491584777832,1.5721709728240967,-0.8298348188400269,-0.397955060005188,358.3940124511719,184.34716796875,28.86646842956543
-0.799312174320221,-0.2081155925989151,1.7663573026657104,294.8756408691406,-20.75762939453125,212.9258270263672,0.5846878886222839,175.1777801513672,113.50991821289062,208.73849487304688,114.07678985595703,15.002224922180176,0.12060013099107891,48,se3_log_map,0.840294361114502,1.5736461877822876,-0.8297330141067505,-0.39593639969825745,355.97625732421875,182.14727783203125,30.557825088500977
-0.7985543012619019,-0.2085396647453308,1.768286943435669,291.711181640625,-22.353294372558594,212.36289978027344,0.5818944573402405,175.1310272216797,112.3349380493164,208.06253051757812,112.901611328125,14.737369537353516,0.12316590698901564,48,se3_log_map,0.8453894853591919,1.5755161046981812,-0.8299701809883118,-0.3943289816379547,353.40985107421875,180.10035705566406,32.75845718383789
-0.7985466122627258,-0.20918121933937073,1.769907832145691,290.4233093261719,-23.512100219726562,212.51797485351562,0.5778359174728394,175.2149200439453,112.40362548828125,208.17022705078125,112.97370910644531,15.155497550964355,0.1236815499723889,48,se3_log_map,0.848075270652771,1.576733112335205,-0.8308510184288025,-0.3931834399700165,352.7293701171875,179.1275177001953,34.17055892944336
-0.7978115081787109,-0.21003492176532745,1.7718048095703125,289.29913330078125,-24.36627960205078,212.65484619140625,0.5743265748023987,175.38880920410156,112.42535400390625,208.32833862304688,112.99883270263672,15.814338684082031,0.1235237960354425,48,se3_log_map,0.8493978977203369,1.5783741474151611,-0.831347644329071,-0.39122992753982544,352.1003112792969,178.309814453125,35.34077072143555
-0.7983779907226562,-0.2113165557384491,1.7738853693008423,289.4323425292969,-25.034439086914062,213.04376220703125,0.5742750763893127,175.7122344970703,113.06398010253906,208.94557189941406,113.64334106445312,15.976494789123535,0.12302083399845287,48,se3_log_map,0.850022554397583,1.579524040222168,-0.833217203617096,-0.389771968126297,352.74298095703125,177.9321746826172,35.72319030761719
-0.8002431988716125,-0.21255427598953247,1.7759989500045776,290.87701416015625,-25.523109436035156,213.86611938476562,0.578802227973938,175.98370361328125,114.48786926269531,209.9469757080078,115.0753402709961,15.565115928649902,0.12101730797439814,48,se3_log_map,0.8481826186180115,1.5802499055862427,-0.8361324071884155,-0.38926833868026733,354.7374572753906,178.22988891601562,35.45704650878906
