alpha,beta,gamma,bx,by,bz,ncc,geo_r,geo_t,geo_d,geo_se3,fiducial,time,idx,parameterization,ssim,alpha2,beta2,gamma2,bx2,by2,bz2
-0.8531330227851868,0.04358780384063721,1.9953463077545166,242.77442932128906,15.360450744628906,120.3977279663086,0.6451069116592407,78.98917388916016,6.750643253326416,79.27711486816406,6.758489608764648,17.82453727722168,0.10509893501875922,44,se3_log_map,0.8544875383377075,1.872736930847168,-0.8195217251777649,-0.5863620042800903,251.24600219726562,165.48228454589844,-62.361568450927734
-0.8501462936401367,0.054059576243162155,1.9980039596557617,245.66802978515625,7.23626708984375,118.69100952148438,0.6685268878936768,77.17122650146484,12.395111083984375,78.16033172607422,12.398794174194336,16.74727439880371,0.11794412799645215,44,se3_log_map,0.859969437122345,1.880237102508545,-0.812021791934967,-0.5938620567321777,256.2455139160156,160.4823760986328,-57.361671447753906
-0.8516408205032349,0.06185998395085335,2.0013558864593506,247.1370086669922,3.273406982421875,121.55502319335938,0.708519697189331,77.1367416381836,16.59970474243164,78.90264892578125,16.605329513549805,13.771636962890625,0.11643132596509531,44,se3_log_map,0.8712555170059204,1.8859057426452637,-0.8106898665428162,-0.6013624668121338,259.7196960449219,162.2208709716797,-53.260215759277344
-0.8539809584617615,0.06901884824037552,2.004697799682617,247.09619140625,-0.43262481689453125,123.2492904663086,0.7231708765029907,77.58434295654297,20.60365867614746,80.2735366821289,20.611902236938477,13.607695579528809,0.18925875198328868,44,se3_log_map,0.8766395449638367,1.8910467624664307,-0.8105594515800476,-0.6087800860404968,261.40985107421875,162.69149780273438,-49.479679107666016
-0.8580686450004578,0.07531579583883286,2.009939193725586,247.9861297607422,-5.106475830078125,125.1078109741211,0.7461526393890381,79.53828430175781,25.60529327392578,83.55818176269531,25.617013931274414,14.077570915222168,0.1144792020204477,44,se3_log_map,0.884172260761261,1.8970386981964111,-0.8135093450546265,-0.6158713102340698,264.5339050292969,162.7756805419922,-45.67781448364258
-0.8605964779853821,0.08121570199728012,2.014631748199463,244.20175170898438,-7.788017272949219,125.5468521118164,0.7411410212516785,81.26863098144531,28.495071411132812,86.11944580078125,28.511995315551758,17.228052139282227,0.11444544099504128,44,se3_log_map,0.8817713856697083,1.9028398990631104,-0.8149208426475525,-0.6217890381813049,262.15252685546875,161.85301208496094,-41.85167694091797
-0.8636205792427063,0.0869421735405922,2.018265962600708,243.6344451904297,-10.302345275878906,126.09893798828125,0.7293186187744141,82.77710723876953,31.11530876159668,88.43196105957031,31.135889053344727,19.06470489501953,0.11455033801030368,44,se3_log_map,0.8741392493247986,1.9074610471725464,-0.816474437713623,-0.6281661987304688,262.65380859375,161.7064666748047,-39.7204475402832
-0.8662998676300049,0.09098154306411743,2.018838882446289,245.08895874023438,-11.960182189941406,125.7943115234375,0.7286294102668762,83.094482421875,32.48873519897461,89.22001647949219,32.509552001953125,18.596437454223633,0.11512998299440369,44,se3_log_map,0.8759481310844421,1.908756971359253,-0.8172219395637512,-0.6335956454277039,264.3980712890625,161.35586547851562,-39.581295013427734
-0.8665089011192322,0.092817522585392,2.0178208351135254,246.7418975830078,-13.050575256347656,124.14679718017578,0.7344725131988525,82.47710418701172,33.11648941040039,88.87730407714844,33.13488006591797,17.391883850097656,0.11601967504248023,44,se3_log_map,0.8766236305236816,1.9084933996200562,-0.8159655332565308,-0.6358304023742676,265.7678527832031,159.63723754882812,-40.356754302978516
-0.8652941584587097,0.09338445961475372,2.015373706817627,248.60093688964844,-13.615760803222656,121.49468994140625,0.7450152039527893,81.05001068115234,33.291927337646484,87.62109375,33.30620193481445,15.968916893005371,0.11593651404837146,44,se3_log_map,0.8811022639274597,1.9068657159805298,-0.8133174777030945,-0.63637375831604,266.83935546875,157.04896545410156,-41.9727897644043
-0.8650319576263428,0.09378193318843842,2.01297664642334,251.3264617919922,-14.082656860351562,119.38638305664062,0.7460514307022095,79.83560943603516,33.79553985595703,86.69407653808594,33.806209564208984,14.426475524902344,0.19207570399157703,44,se3_log_map,0.8843184113502502,1.9049327373504639,-0.811738133430481,-0.6373134255409241,268.82781982421875,155.22874450683594,-43.95174789428711
-0.8659435510635376,0.09503230452537537,2.011789321899414,254.36383056640625,-14.361892700195312,118.60194396972656,0.7474517822265625,79.32910919189453,34.51919937133789,86.5140609741211,34.52796173095703,12.882370948791504,0.11582275002729148,44,se3_log_map,0.8866846561431885,1.904078722000122,-0.8114192485809326,-0.6394466757774353,271.3747253417969,155.0766143798828,-45.7520866394043
