alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1009204387664795,0.14143840968608856,1.8252826929092407,170.3485870361328,153.69544982910156,111.69514465332031,0.10663945227861404,41.767913818359375,66.86595153808594,78.83916473388672,66.88361358642578,26.775529861450195,69.01787567138672,0.10933136940002441,51,se3_log_map,0.6825704574584961,0.7306302785873413,1.6880334615707397,-0.9128761291503906,-0.8906336426734924,170.3485870361328,153.69544982910156,111.69514465332031
-1.142538070678711,0.12683464586734772,1.8408563137054443,190.7105712890625,158.68905639648438,107.61143493652344,0.13274268805980682,25.352619171142578,64.5359115600586,69.33714294433594,64.5411376953125,24.86760711669922,63.894775390625,0.07476377487182617,51,se3_log_map,0.7039880752563477,0.725516140460968,1.6799263954162598,-0.9685534834861755,-0.9002140164375305,190.7105712890625,158.68905639648438,107.61143493652344
-1.1732865571975708,0.15142689645290375,1.8831950426101685,192.52049255371094,165.08670043945312,104.79356384277344,0.10438867658376694,46.77324676513672,70.88613891601562,84.92691802978516,70.90411376953125,38.53744125366211,71.91622924804688,0.07462692260742188,51,se3_log_map,0.6979864239692688,0.7248030304908752,1.7172399759292603,-1.0095837116241455,-0.9270943403244019,192.52049255371094,165.08670043945312,104.79356384277344
-1.1519938707351685,0.14064940810203552,1.8895281553268433,183.3167724609375,156.8131866455078,123.77151489257812,0.09660209715366364,45.808128356933594,63.911468505859375,78.63243865966797,63.919769287109375,16.98021125793457,66.04953002929688,0.07450270652770996,51,se3_log_map,0.696190595626831,0.7316555380821228,1.7245534658432007,-0.9991453289985657,-0.901503324508667,183.3167724609375,156.8131866455078,123.77151489257812
-1.1306066513061523,0.1548358052968979,1.8726539611816406,192.68055725097656,150.96739196777344,107.03640747070312,0.15228046476840973,46.17229080200195,56.83540725708008,73.2266616821289,56.84937286376953,19.797874450683594,56.09366226196289,0.07536768913269043,51,se3_log_map,0.706622302532196,0.7352564334869385,1.725095510482788,-0.9610394239425659,-0.9064048528671265,192.68055725097656,150.96739196777344,107.03640747070312
-1.1556715965270996,0.16343849897384644,1.8931884765625,184.49075317382812,151.87466430664062,113.36483001708984,0.18134340643882751,53.946475982666016,58.97511672973633,79.9267578125,58.98957824707031,12.275469779968262,60.600440979003906,0.07473921775817871,51,se3_log_map,0.7117022275924683,0.7463939189910889,1.7380285263061523,-0.9926208853721619,-0.923144519329071,184.49075317382812,151.87466430664062,113.36483001708984
-1.1422032117843628,0.16059556603431702,1.8709874153137207,181.345947265625,157.87197875976562,113.45166015625,0.21394655108451843,46.15005874633789,65.65593719482422,80.25291442871094,65.67060852050781,9.470536231994629,66.90444946289062,0.0750880241394043,51,se3_log_map,0.7147392630577087,0.7557141780853271,1.722676396369934,-0.9677655100822449,-0.9196219444274902,181.345947265625,157.87197875976562,113.45166015625
-1.1506779193878174,0.15987645089626312,1.845262050628662,180.624267578125,171.46926879882812,106.44441986083984,0.19224627315998077,38.4293212890625,79.50617218017578,88.30653381347656,79.52317810058594,22.175800323486328,79.69220733642578,0.0752263069152832,51,se3_log_map,0.7211196422576904,0.7519809603691101,1.6978880167007446,-0.9603353142738342,-0.9331973791122437,180.624267578125,171.46926879882812,106.44441986083984
-1.1685978174209595,0.14341334998607635,1.8787364959716797,180.24244689941406,160.28857421875,108.699951171875,0.18382558226585388,42.24708938598633,68.85368347167969,80.7814712524414,68.86298370361328,18.186338424682617,69.51870727539062,0.07417416572570801,51,se3_log_map,0.7060049176216125,0.7414946556091309,1.7110286951065063,-1.0067030191421509,-0.9185054302215576,180.24244689941406,160.28857421875,108.699951171875
-1.1512452363967896,0.14155077934265137,1.8536425828933716,187.64797973632812,156.8320770263672,114.4236831665039,0.13614119589328766,32.95786666870117,62.62602615356445,70.7689208984375,62.63417053222656,15.826615333557129,63.4267578125,0.07477784156799316,51,se3_log_map,0.7168103456497192,0.7362070083618164,1.6952590942382812,-0.9761630892753601,-0.9144918918609619,187.64797973632812,156.8320770263672,114.4236831665039
