file,id_number,tre,mpd,alpha,beta,gamma,bx,by,bz
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray050_se3_log_map.csv,50,7.041884899139404,6.683577060699463,-0.7127581238746643,0.1386709064245224,1.894171476364136,263.8826904296875,32.33879089355469,114.43956756591795
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray073_se3_log_map.csv,73,11.415841102600098,8.990763664245605,-0.6665052771568298,0.1329213678836822,1.8910540342330933,267.28143310546875,43.81959915161133,115.05170440673828
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray082_se3_log_map.csv,82,11.661103248596191,8.936766624450684,-0.6643820405006409,0.1444978863000869,1.896176815032959,267.0461730957031,44.67861175537109,112.69880676269533
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray081_se3_log_map.csv,81,11.866497993469238,9.128052711486816,-0.6596378684043884,0.1433445215225219,1.895262122154236,267.8100891113281,44.914337158203125,113.70475769042967
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray071_se3_log_map.csv,71,12.898810386657715,12.479218482971191,-0.7264887690544128,0.1071924492716789,1.9627635478973389,253.74334716796875,33.515472412109375,123.89813995361328
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray004_se3_log_map.csv,4,23.77815055847168,20.656911849975586,-0.9815396070480348,-0.0984556898474693,1.9327597618103027,218.22569274902344,-14.876792907714844,163.38198852539062
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray042_se3_log_map.csv,42,27.45503044128418,14.502501487731934,-0.8768519163131714,0.052267737686634,1.9984328746795652,218.21487426757807,29.558544158935547,131.3829803466797
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray058_se3_log_map.csv,58,27.69951057434082,13.283608436584473,-0.8706352114677429,0.062030054628849,1.9889979362487795,219.114990234375,30.683433532714844,131.03123474121094
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray037_se3_log_map.csv,37,28.398483276367188,14.83571720123291,-0.8920649290084839,0.0415785908699035,1.995070219039917,215.62918090820312,29.285785675048828,133.02284240722656
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray078_se3_log_map.csv,78,28.80437660217285,15.464041709899902,-0.7265291810035706,0.1546459197998047,2.0217127799987797,238.69461059570312,44.54541015625,114.47103118896484
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray003_se3_log_map.csv,3,30.157739639282227,17.007713317871094,-0.9635052680969238,-0.0508698858320713,1.9470632076263428,229.5050506591797,-22.667465209960938,146.26173400878906
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray076_se3_log_map.csv,76,31.3621768951416,14.2269926071167,-0.8856115341186523,0.0580879375338554,1.9967728853225708,214.8778076171875,32.71845245361328,130.45608520507812
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray039_se3_log_map.csv,39,32.087825775146484,14.616375923156738,-0.8904447555541992,0.0953800529241561,2.0148749351501465,212.8187255859375,32.303226470947266,124.40077209472656
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray083_se3_log_map.csv,83,32.42092514038086,19.124135971069336,-0.9254795908927916,0.0604887753725051,2.039978504180908,235.9439697265625,-22.81578063964844,131.4463653564453
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray007_se3_log_map.csv,7,32.46936798095703,17.81439781188965,-0.9663304686546326,-0.0690290406346321,1.932074189186096,229.1125640869141,-24.959983825683597,152.77252197265625
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray005_se3_log_map.csv,5,32.8193473815918,17.34321403503418,-0.9611620306968688,-0.0655947625637054,1.9237632751464844,230.4547271728516,-25.2789306640625,150.64315795898438
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray043_se3_log_map.csv,43,34.01665115356445,14.195818901062012,-0.8787583112716675,0.1127055138349533,2.0172855854034424,213.13314819335935,35.114501953125,121.12882232666016
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray077_se3_log_map.csv,77,34.020164489746094,12.605324745178223,-0.7261509895324707,0.1478504091501236,1.9944498538970947,235.1002960205078,49.94246292114258,114.4188995361328
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray016_se3_log_map.csv,16,35.4620246887207,17.327512741088867,-0.9044785499572754,0.0104427142068743,1.9925637245178225,243.7803497314453,-22.96327209472656,140.51690673828125
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray020_se3_log_map.csv,20,38.555362701416016,17.17132568359375,-0.9040101766586304,0.0002539456181693,1.985779285430908,245.90402221679688,-25.411476135253903,146.32119750976562
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray075_se3_log_map.csv,75,38.947357177734375,15.989459037780762,-0.8915718197822571,0.0678728595376014,2.006333827972412,209.1613922119141,38.54791259765625,125.12210083007812
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray030_se3_log_map.csv,30,38.9677619934082,15.280440330505371,-0.8961030840873718,0.1225020214915275,2.0245800018310547,206.91986083984372,37.69051361083984,118.26130676269533
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray079_se3_log_map.csv,79,40.414363861083984,12.061305046081543,-0.7362552881240845,0.1532751023769378,2.006192684173584,229.0906524658203,54.133419036865234,113.25035095214844
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray084_se3_log_map.csv,84,42.13703536987305,29.951234817504883,-0.963124930858612,-0.0350232161581516,2.002533435821533,185.66786193847656,23.77928924560547,146.9015655517578
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray087_se3_log_map.csv,87,43.61534118652344,13.119460105895996,-0.7058179974555969,0.1693824976682663,2.004197597503662,230.56594848632807,59.03499984741211,111.9503936767578
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray040_se3_log_map.csv,40,43.69881057739258,41.100013732910156,-0.9010379910469056,-0.1673789173364639,1.936253547668457,193.0821533203125,24.56139373779297,165.91262817382812
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray068_se3_log_map.csv,68,45.93072509765625,18.357540130615234,-0.8886528611183167,0.0069995815865695,1.9904298782348635,252.66461181640625,-30.49669647216797,142.8135223388672
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray070_se3_log_map.csv,70,46.07583999633789,11.850555419921875,-0.7077900767326355,0.1807460039854049,1.994808316230774,228.5293731689453,61.50741195678711,109.34136962890624
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray067_se3_log_map.csv,67,47.322750091552734,18.080760955810547,-0.8856335878372192,-0.0009664596873335,1.9863686561584477,254.65235900878903,-30.931419372558597,146.12603759765625
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray052_se3_log_map.csv,52,47.37899398803711,14.534384727478027,-0.8890976905822754,0.1486687213182449,2.0190675258636475,203.29196166992188,46.63073348999024,113.24937438964844
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray061_se3_log_map.csv,61,48.81583023071289,17.041770935058594,-0.8908939361572266,0.0077256741933524,1.9644150733947756,254.4001922607422,-33.27628326416016,142.34820556640625
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray069_se3_log_map.csv,69,48.844970703125,18.209959030151367,-0.8913509249687195,0.0088186217471957,1.9863028526306152,253.96360778808597,-33.204383850097656,145.04669189453125
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray072_se3_log_map.csv,72,49.597869873046875,17.449331283569336,-0.8871219754219055,0.0130443992093205,1.9804279804229736,255.7845458984375,-33.34297180175781,140.06126403808594
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray060_se3_log_map.csv,60,51.08530044555664,17.500112533569336,-0.8843523859977722,0.0078770732507109,1.9663622379302976,256.9610290527344,-34.451881408691406,142.64529418945312
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray038_se3_log_map.csv,38,51.647098541259766,18.278636932373047,-0.8754929900169373,-1.245737075805664e-05,1.9788334369659424,259.2344970703125,-33.55097961425781,143.45477294921875
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray057_se3_log_map.csv,57,52.362274169921875,17.705259323120117,-0.8957232236862183,-0.0028399564325809,1.969102382659912,255.1276092529297,-36.78092956542969,146.78822326660156
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray012_se3_log_map.csv,12,52.6171989440918,16.97801399230957,-0.8907129764556885,0.1599385440349578,2.0529842376708984,199.27134704589844,49.45381546020508,115.06707000732422
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray053_se3_log_map.csv,53,52.945438385009766,14.012433052062988,-0.698006808757782,0.2084287703037262,2.014857053756714,223.42922973632807,66.63574981689453,105.08724975585938
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray074_se3_log_map.csv,74,53.27703857421875,17.418231964111328,-0.8914531469345093,0.0105143934488296,1.985449314117432,257.61669921875,-36.46759033203125,145.0223388671875
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray063_se3_log_map.csv,63,53.44532775878906,11.391030311584473,-0.9029613137245178,-0.0108862277120351,1.9299274682998655,252.1995086669922,-38.76219177246094,152.20191955566406
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray047_se3_log_map.csv,47,53.580509185791016,18.184541702270508,-0.8921665549278259,-0.0118638081476092,1.9746675491333008,256.653564453125,-37.08760833740234,149.59613037109375
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray056_se3_log_map.csv,56,55.36636734008789,18.39666175842285,-0.8908923864364624,-0.0039296546019613,1.9764986038208008,257.6723022460937,-38.796348571777344,146.21353149414062
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray032_se3_log_map.csv,32,55.744205474853516,19.012170791625977,-0.858898401260376,-0.0166828911751508,1.981886863708496,265.70391845703125,-34.08338928222656,151.02169799804688
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray059_se3_log_map.csv,59,57.05753707885742,18.08894157409668,-0.890813410282135,0.002514156512916,1.97403347492218,258.8334045410156,-40.27186584472656,144.64013671875
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray006_se3_log_map.csv,6,57.448394775390625,38.06367111206055,-0.8462891578674316,0.1942546069622039,1.88770592212677,281.7492370605469,-15.136489868164062,103.03227996826172
/home/zsr/project/diffpose/ours/abret/gn/gncczyl_xray066_se3_log_map.csv,66,57.4809684753418,16.993181228637695,-0.9023297429084778,-0.0075705465860664,1.9355781078338623,256.4833679199219,-42.184791564941406,145.1254119873047
