ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
46,67.73,19.77,失败,失败,-0.8259,-0.0289,1.9740,281.14,-38.35,155.81,gncczyl_xray046_se3_log_map.csv
74,53.28,17.42,失败,失败,-0.8915,0.0105,1.9854,257.62,-36.47,145.02,gncczyl_xray074_se3_log_map.csv
57,52.36,17.71,失败,失败,-0.8957,-0.0028,1.9691,255.13,-36.78,146.79,gncczyl_xray057_se3_log_map.csv
34,78.70,49.60,失败,失败,-0.9354,-0.2073,1.9213,161.77,52.44,165.01,gncczyl_xray034_se3_log_map.csv
19,107.65,19.06,失败,失败,-0.8087,0.2724,2.0679,173.37,99.52,109.46,gncczyl_xray019_se3_log_map.csv
85,74.90,18.72,失败,失败,-0.8689,0.1951,2.0843,188.55,70.31,110.09,gncczyl_xray085_se3_log_map.csv
33,58.15,17.34,失败,失败,-0.8586,-0.0044,1.9742,268.42,-35.83,145.38,gncczyl_xray033_se3_log_map.csv
14,83.30,48.81,失败,失败,-0.9237,-0.1682,1.9291,160.04,56.36,161.44,gncczyl_xray014_se3_log_map.csv
84,42.14,29.95,失败,失败,-0.9631,-0.0350,2.0025,185.67,23.78,146.90,gncczyl_xray084_se3_log_map.csv
13,82.85,48.29,失败,失败,-0.9255,-0.1731,1.9255,160.49,56.39,161.65,gncczyl_xray013_se3_log_map.csv
3,30.16,17.01,失败,失败,-0.9635,-0.0509,1.9471,229.51,-22.67,146.26,gncczyl_xray003_se3_log_map.csv
68,45.93,18.36,失败,失败,-0.8887,0.0070,1.9904,252.66,-30.50,142.81,gncczyl_xray068_se3_log_map.csv
27,83.36,50.15,失败,失败,-0.9284,-0.1897,1.9260,159.60,56.16,162.21,gncczyl_xray027_se3_log_map.csv
41,70.50,20.59,失败,失败,-0.7949,-0.0198,1.9772,289.90,-35.92,152.85,gncczyl_xray041_se3_log_map.csv
76,31.36,14.23,失败,失败,-0.8856,0.0581,1.9968,214.88,32.72,130.46,gncczyl_xray076_se3_log_map.csv
87,43.62,13.12,失败,失败,-0.7058,0.1694,2.0042,230.57,59.03,111.95,gncczyl_xray087_se3_log_map.csv
2,73.25,26.53,失败,失败,-0.7521,0.0922,1.8508,314.27,-17.14,121.79,gncczyl_xray002_se3_log_map.csv
32,55.74,19.01,失败,失败,-0.8589,-0.0167,1.9819,265.70,-34.08,151.02,gncczyl_xray032_se3_log_map.csv
78,28.80,15.46,失败,失败,-0.7265,0.1546,2.0217,238.69,44.55,114.47,gncczyl_xray078_se3_log_map.csv
4,23.78,20.66,失败,失败,-0.9815,-0.0985,1.9328,218.23,-14.88,163.38,gncczyl_xray004_se3_log_map.csv
81,11.87,9.13,失败,成功,-0.6596,0.1433,1.8953,267.81,44.91,113.70,gncczyl_xray081_se3_log_map.csv
75,38.95,15.99,失败,失败,-0.8916,0.0679,2.0063,209.16,38.55,125.12,gncczyl_xray075_se3_log_map.csv
