ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
71,6.53,2.28,成功,成功,-0.7990,0.1472,1.8703,247.02,27.37,112.86,localnccdicezyl_xray071_se3_log_map.csv
73,8.12,1.80,成功,成功,-0.8037,0.1543,1.8685,245.51,28.54,111.88,localnccdicezyl_xray073_se3_log_map.csv
8,4.45,1.91,成功,成功,-0.8323,0.1315,1.8914,248.66,18.70,98.03,localnccdicezyl_xray008_se3_log_map.csv
19,4.07,1.77,成功,成功,-0.8100,0.1596,1.8736,247.25,24.73,111.35,localnccdicezyl_xray019_se3_log_map.csv
83,6.47,1.81,成功,成功,-0.8051,0.1401,1.8728,247.05,27.35,114.73,localnccdicezyl_xray083_se3_log_map.csv
22,1.11,1.18,成功,成功,-0.8122,0.1441,1.8742,249.46,21.87,113.76,localnccdicezyl_xray022_se3_log_map.csv
53,6.73,2.96,成功,成功,-0.7885,0.1652,1.8776,248.39,28.27,111.28,localnccdicezyl_xray053_se3_log_map.csv
7,5.66,4.03,成功,成功,-0.8585,0.1125,1.8879,245.06,15.52,101.68,localnccdicezyl_xray007_se3_log_map.csv
42,2.88,3.01,成功,成功,-0.8494,0.1376,1.8807,242.38,18.72,114.44,localnccdicezyl_xray042_se3_log_map.csv
15,1.17,1.14,成功,成功,-0.8048,0.1454,1.8722,250.68,21.95,113.68,localnccdicezyl_xray015_se3_log_map.csv
16,4.08,1.40,成功,成功,-0.8050,0.1511,1.8698,248.21,25.39,112.55,localnccdicezyl_xray016_se3_log_map.csv
2,2.49,2.60,成功,成功,-0.8445,0.1343,1.8906,244.07,19.95,97.31,localnccdicezyl_xray002_se3_log_map.csv
17,2.47,1.32,成功,成功,-0.8234,0.1275,1.8740,249.42,18.21,117.09,localnccdicezyl_xray017_se3_log_map.csv
44,1.87,1.59,成功,成功,-0.8025,0.1476,1.8712,250.32,23.24,113.97,localnccdicezyl_xray044_se3_log_map.csv
70,8.24,2.34,成功,成功,-0.8224,0.1432,1.8744,242.32,26.23,113.63,localnccdicezyl_xray070_se3_log_map.csv
6,5.26,2.64,成功,成功,-0.8503,0.1162,1.8844,246.04,15.53,101.65,localnccdicezyl_xray006_se3_log_map.csv
34,12.37,9.99,失败,成功,-0.9722,0.0668,1.8893,224.59,-1.89,126.72,localnccdicezyl_xray034_se3_log_map.csv
25,0.93,0.94,成功,成功,-0.8101,0.1474,1.8761,249.45,21.29,113.11,localnccdicezyl_xray025_se3_log_map.csv
81,8.22,1.74,成功,成功,-0.8063,0.1505,1.8704,245.41,28.54,113.00,localnccdicezyl_xray081_se3_log_map.csv
55,3.54,2.41,成功,成功,-0.8457,0.1314,1.8944,244.85,14.65,115.03,localnccdicezyl_xray055_se3_log_map.csv
82,7.62,2.24,成功,成功,-0.8104,0.1623,1.8780,244.79,27.71,109.57,localnccdicezyl_xray082_se3_log_map.csv
41,3.68,3.90,成功,成功,-0.8652,0.1157,1.8833,241.41,14.87,118.85,localnccdicezyl_xray041_se3_log_map.csv
51,5.15,2.35,成功,成功,-0.7882,0.1526,1.8757,249.61,27.08,113.20,localnccdicezyl_xray051_se3_log_map.csv
84,8.58,4.09,成功,成功,-0.7666,0.1687,1.8638,251.24,32.67,110.50,localnccdicezyl_xray084_se3_log_map.csv
39,2.98,2.98,成功,成功,-0.8571,0.1196,1.8766,240.85,17.45,118.31,localnccdicezyl_xray039_se3_log_map.csv
29,2.05,1.82,成功,成功,-0.8022,0.1538,1.8712,250.42,23.63,112.48,localnccdicezyl_xray029_se3_log_map.csv
59,2.23,1.55,成功,成功,-0.8261,0.1331,1.8902,247.85,17.87,114.95,localnccdicezyl_xray059_se3_log_map.csv
35,8.70,7.13,成功,成功,-0.9186,0.0843,1.8816,234.06,5.28,123.75,localnccdicezyl_xray035_se3_log_map.csv
52,3.47,0.79,成功,成功,-0.8202,0.1443,1.8801,245.49,22.65,113.84,localnccdicezyl_xray052_se3_log_map.csv
45,4.40,4.53,成功,成功,-0.8569,0.1144,1.8929,243.90,15.13,118.14,localnccdicezyl_xray045_se3_log_map.csv
60,2.54,0.63,成功,成功,-0.8229,0.1208,1.8707,245.92,21.28,119.17,localnccdicezyl_xray060_se3_log_map.csv
66,17.61,11.93,失败,失败,-0.7460,0.2116,1.9130,243.25,37.34,97.80,localnccdicezyl_xray066_se3_log_map.csv
56,2.70,1.38,成功,成功,-0.8214,0.1487,1.8916,248.80,18.15,111.28,localnccdicezyl_xray056_se3_log_map.csv
58,2.54,0.79,成功,成功,-0.8277,0.1372,1.8772,244.83,20.88,115.37,localnccdicezyl_xray058_se3_log_map.csv
30,2.00,1.51,成功,成功,-0.8086,0.1567,1.8767,249.01,23.12,111.44,localnccdicezyl_xray030_se3_log_map.csv
72,8.32,4.40,成功,成功,-0.7684,0.1746,1.8682,250.52,31.87,108.66,localnccdicezyl_xray072_se3_log_map.csv
21,1.50,1.73,成功,成功,-0.8088,0.1514,1.8712,250.20,21.36,113.10,localnccdicezyl_xray021_se3_log_map.csv
79,6.98,2.27,成功,成功,-0.8099,0.1703,1.8805,244.95,27.23,107.51,localnccdicezyl_xray079_se3_log_map.csv
57,1.65,1.69,成功,成功,-0.8009,0.1510,1.8755,250.67,22.28,112.87,localnccdicezyl_xray057_se3_log_map.csv
