id_number,file,ncc,ssim,mtre,mpd,geo_r,geo_t,alpha2,beta2,gamma2,bx2,by2,bz2
20,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray020_se3_log_map.csv,0.8572326898574829,0.8696088194847107,0.3182049095630646,1.418328046798706,0.1845185514749505,1.7735776901245115,1.5205135345458984,0.0417322590947151,-1.6525722742080688,210.08091735839844,270.0522155761719,294.2717590332031
7,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray007_se3_log_map.csv,0.8481903076171875,0.8115583658218384,0.3548814654350281,1.3274321556091309,0.3654859402826058,0.7058379650115967,1.5306159257888794,0.03667464107275,-1.6961967945098877,107.67269897460938,272.0545959472656,293.1663818359375
5,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray005_se3_log_map.csv,0.8735940456390381,0.8748735189437866,0.4327068328857422,1.5279453992843628,0.316395576119001,1.956022024154663,1.5386738777160645,0.0510894618928432,-1.6814253330230713,196.9635009765625,273.15240478515625,295.0253601074219
10,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray010_se3_log_map.csv,0.7501065731048584,0.7174546718597412,0.9070382118225098,2.5611512660980225,1.0145835129301517,2.988001585006714,1.5269416570663452,0.0344145186245441,-1.723003625869751,103.19395446777344,270.8085021972656,292.6070556640625
18,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray018_se3_log_map.csv,0.862496018409729,0.8718235492706299,0.2627818286418915,1.4911808967590332,0.2302208471746177,1.4951069355010986,1.5235121250152588,0.045437179505825,-1.6612406969070437,207.4630889892578,270.9613342285156,294.7807006835937
21,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray021_se3_log_map.csv,0.8589364886283875,0.8683333396911621,0.2187906801700592,1.5321394205093384,0.22616575047185325,1.4662144184112549,1.5203924179077148,0.0391953997313976,-1.649372935295105,210.66519165039065,270.01873779296875,294.418212890625
14,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray014_se3_log_map.csv,0.828336238861084,0.7952272891998291,0.1849938631057739,1.6869581937789917,0.23304715266811338,0.7011459469795227,1.5283865928649902,0.0379155836999416,-1.7179837226867676,101.20594787597656,272.8981628417969,288.9287109375
3,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray003_se3_log_map.csv,0.8497614860534668,0.878813624382019,0.5275377035140991,2.037355661392212,0.33355735049307517,2.562539339065552,1.5148042440414429,0.0404424965381622,-1.6660099029541016,209.74429321289065,269.9670715332031,308.8844299316406
22,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray022_se3_log_map.csv,0.855348527431488,0.8490592241287231,0.3000272214412689,1.4054031372070312,0.2158912977913199,1.8141021728515625,1.522087812423706,0.0376525968313217,-1.643001675605774,213.72525024414065,269.77655029296875,294.5552978515625
6,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray006_se3_log_map.csv,0.8412684202194214,0.8445022702217102,0.1972427070140838,1.428830623626709,0.13666899161803697,1.378662347793579,1.5238051414489746,0.0398473739624023,-1.6579993963241575,209.2474670410156,270.86846923828125,297.068115234375
1,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray001_se3_log_map.csv,0.8784953951835632,0.8909037113189697,0.3756653666496277,1.496508240699768,0.24740268355531278,1.7667711973190308,1.5160011053085327,0.0411505624651908,-1.6806886196136477,208.3447265625,271.6171875,327.6587829589844
12,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray012_se3_log_map.csv,0.8286452293395996,0.797353982925415,0.6859897375106812,2.64033842086792,0.22866653718502292,3.2079086303710938,1.529506802558899,0.0384236089885234,-1.7156362533569336,101.81492614746094,273.0364990234375,289.109619140625
15,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray015_se3_log_map.csv,0.8328949809074402,0.7656227350234985,0.2067288011312484,2.099196672439575,0.3019161911348521,0.7524741888046265,1.551817774772644,0.0377264730632305,-1.6728012561798096,106.6670913696289,269.5610046386719,275.53564453125
11,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray011_se3_log_map.csv,0.834526538848877,0.7928792238235474,0.3995726704597473,1.640188455581665,0.4291026168477158,0.3378472626209259,1.5345704555511477,0.0370259247720241,-1.7096920013427734,101.7497100830078,271.8197631835937,290.6137084960937
0,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray000_se3_log_map.csv,0.872642457485199,0.8805640935897827,0.3759686052799225,1.4529039859771729,0.2513644343394203,1.7436976432800293,1.516716241836548,0.0400378108024597,-1.677844524383545,208.55157470703125,271.41973876953125,323.8185729980469
13,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray013_se3_log_map.csv,0.8549666404724121,0.8556798696517944,0.2425220310688018,2.1146230697631836,0.23013513499679789,1.620262861251831,1.5301648378372192,0.042871881276369,-1.6484856605529783,209.64276123046875,271.1699523925781,294.2953796386719
23,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray023_se3_log_map.csv,0.8681963682174683,0.8768479228019714,0.352304071187973,1.7006937265396118,0.23861514966456335,1.8247936964035036,1.5148240327835083,0.0406375005841255,-1.6763973236083984,209.01742553710935,271.07568359375,322.8218688964844
4,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray004_se3_log_map.csv,0.847183346748352,0.8741786479949951,0.3651980459690094,1.9836018085479736,0.2627605915770588,2.0249557495117188,1.513235092163086,0.0396843403577804,-1.6661006212234497,209.69520568847656,270.0894775390625,309.6152648925781
2,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray002_se3_log_map.csv,0.866585373878479,0.8863285183906555,0.3941034972667694,1.6178975105285645,0.22966945002068087,1.985997557640076,1.5164600610733032,0.0395947135984897,-1.6734875440597534,209.2929229736328,270.9910583496094,319.115234375
16,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray016_se3_log_map.csv,0.8171425461769104,0.744879961013794,1.2938896417617798,2.4179463386535645,0.1872448415709528,6.591682434082031,1.5628728866577148,-0.1294372975826263,-1.6580699682235718,93.50415802001952,269.7422180175781,282.00518798828125
9,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray009_se3_log_map.csv,0.8394885063171387,0.7917630076408386,2.4768033027648926,4.3709187507629395,0.7742257275502903,10.807331085205078,1.5340311527252195,0.0382887907326221,-1.7069907188415527,103.11772918701172,272.3162536621094,290.8111877441406
8,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray008_se3_log_map.csv,0.8504056334495544,0.8020014762878418,0.3116103708744049,1.6060649156570435,0.34129630302842207,0.6599538922309875,1.5355379581451416,0.0387009382247924,-1.6964452266693115,107.95941925048828,271.6990661621094,292.5777282714844
17,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray017_se3_log_map.csv,0.8210127353668213,0.7975651025772095,0.4726460576057434,2.2888736724853516,0.5966317557811767,0.7702460885047913,1.5525553226470947,0.0291082803159952,-1.666950225830078,108.9799346923828,269.4770202636719,255.1512756347656
19,/home/zsr/project/diffpose/ours/deepfluoro/runs/mask/3/specimen03_xray019_se3_log_map.csv,0.8638607263565063,0.8711418509483337,0.2679542899131775,1.8650131225585938,0.23567548981590097,1.7257814407348633,1.5251532793045044,0.0404337234795093,-1.6435424089431765,210.9696350097656,270.7113037109375,293.550537109375
