ID,TRE(mm),MPD(px),TRE_Status,MPD_Status,alpha,beta,gamma,bx,by,bz,file
71,15.32,6.05,失败,成功,-0.7779,0.1899,1.8870,242.50,34.64,107.45,ssimdicezyl_xray071_se3_log_map.csv
76,24.09,12.96,失败,失败,-0.9176,0.1218,1.8940,218.11,28.29,113.24,ssimdicezyl_xray076_se3_log_map.csv
41,11.83,7.88,失败,成功,-0.9491,0.1324,1.9012,217.62,13.52,115.59,ssimdicezyl_xray041_se3_log_map.csv
84,19.97,25.33,失败,失败,-0.9488,0.1157,1.8894,226.59,16.66,105.76,ssimdicezyl_xray084_se3_log_map.csv
75,18.69,12.85,失败,失败,-0.8708,0.1798,1.8920,229.13,29.98,100.09,ssimdicezyl_xray075_se3_log_map.csv
2,34.67,45.30,失败,失败,-0.9537,0.0475,1.9137,235.13,0.17,148.80,ssimdicezyl_xray002_se3_log_map.csv
40,71.34,89.03,失败,失败,-0.9649,0.0315,1.8056,209.29,39.04,81.57,ssimdicezyl_xray040_se3_log_map.csv
46,9.04,9.06,成功,成功,-0.9437,0.1198,1.9058,222.63,9.62,114.79,ssimdicezyl_xray046_se3_log_map.csv
16,11.24,8.01,失败,成功,-0.9239,0.1257,1.9019,223.93,16.66,115.08,ssimdicezyl_xray016_se3_log_map.csv
77,24.46,22.45,失败,失败,-0.9123,0.2013,1.8857,221.54,30.23,90.27,ssimdicezyl_xray077_se3_log_map.csv
39,9.67,7.39,成功,成功,-0.8636,0.1849,1.8967,235.20,23.54,101.46,ssimdicezyl_xray039_se3_log_map.csv
85,21.68,11.46,失败,失败,-0.9061,0.1169,1.8883,221.91,27.73,115.20,ssimdicezyl_xray085_se3_log_map.csv
50,9.22,10.00,成功,失败,-0.9259,0.1933,1.9159,226.85,9.31,95.69,ssimdicezyl_xray050_se3_log_map.csv
10,43.40,54.45,失败,失败,-0.9247,0.0841,1.8964,243.84,-4.15,147.94,ssimdicezyl_xray010_se3_log_map.csv
62,15.31,16.74,失败,失败,-0.9051,0.1915,1.9330,227.71,8.48,92.97,ssimdicezyl_xray062_se3_log_map.csv
27,12.21,13.65,失败,失败,-0.9497,0.1217,1.9039,227.05,5.63,110.02,ssimdicezyl_xray027_se3_log_map.csv
20,11.39,7.57,失败,成功,-0.9188,0.1378,1.9029,221.29,13.02,118.46,ssimdicezyl_xray020_se3_log_map.csv
49,11.12,8.60,失败,成功,-0.8994,0.0990,1.9407,236.07,2.48,117.97,ssimdicezyl_xray049_se3_log_map.csv
65,15.59,12.77,失败,失败,-0.8397,0.1956,1.9712,240.20,6.43,90.14,ssimdicezyl_xray065_se3_log_map.csv
64,18.07,20.15,失败,失败,-0.9279,0.1761,1.9274,217.96,15.96,96.83,ssimdicezyl_xray064_se3_log_map.csv
72,17.09,7.13,失败,成功,-0.8320,0.1972,1.8781,233.67,32.38,100.05,ssimdicezyl_xray072_se3_log_map.csv
37,16.28,20.45,失败,失败,-0.9204,0.1234,1.8947,230.57,18.00,106.54,ssimdicezyl_xray037_se3_log_map.csv
69,13.74,16.21,失败,失败,-0.9504,0.1287,1.8980,222.36,12.30,107.52,ssimdicezyl_xray069_se3_log_map.csv
33,8.68,8.15,成功,成功,-0.9591,0.1241,1.9170,219.78,2.07,117.70,ssimdicezyl_xray033_se3_log_map.csv
6,80.07,108.54,失败,失败,-0.9488,0.0197,1.7575,211.27,28.45,53.46,ssimdicezyl_xray006_se3_log_map.csv
26,15.10,18.26,失败,失败,-0.9371,0.1159,1.8959,226.57,15.59,109.63,ssimdicezyl_xray026_se3_log_map.csv
68,25.40,8.03,失败,成功,-0.8375,0.1984,1.8738,226.72,37.73,101.09,ssimdicezyl_xray068_se3_log_map.csv
25,9.00,8.90,成功,成功,-0.9569,0.1117,1.9267,218.95,4.24,118.83,ssimdicezyl_xray025_se3_log_map.csv
80,16.34,10.52,失败,失败,-0.8681,0.1914,1.8798,230.57,28.77,99.50,ssimdicezyl_xray080_se3_log_map.csv
31,8.19,6.80,成功,成功,-0.9353,0.1302,1.9058,221.96,9.12,116.14,ssimdicezyl_xray031_se3_log_map.csv
32,15.38,13.22,失败,失败,-0.9518,0.1232,1.8877,217.59,16.37,112.02,ssimdicezyl_xray032_se3_log_map.csv
83,17.83,7.61,失败,成功,-0.9260,0.1289,1.9073,217.27,20.83,116.78,ssimdicezyl_xray083_se3_log_map.csv
74,10.91,3.44,失败,成功,-0.8230,0.1992,1.8942,238.14,27.85,102.31,ssimdicezyl_xray074_se3_log_map.csv
29,12.68,14.77,失败,失败,-0.9537,0.1347,1.9067,225.81,7.13,106.69,ssimdicezyl_xray029_se3_log_map.csv
9,9.75,8.10,成功,成功,-0.9337,0.1075,1.9143,231.50,6.00,101.19,ssimdicezyl_xray009_se3_log_map.csv
28,9.84,9.99,成功,成功,-0.9602,0.1258,1.8898,220.62,7.74,113.25,ssimdicezyl_xray028_se3_log_map.csv
3,12.17,13.03,失败,失败,-0.9508,0.0852,1.8831,223.60,14.93,103.77,ssimdicezyl_xray003_se3_log_map.csv
44,11.83,7.17,失败,成功,-0.9284,0.1127,1.8959,219.57,12.62,123.48,ssimdicezyl_xray044_se3_log_map.csv
61,9.24,10.92,成功,失败,-0.9118,0.1890,1.9083,229.88,12.66,96.42,ssimdicezyl_xray061_se3_log_map.csv
19,14.56,17.08,失败,失败,-0.9336,0.1349,1.8906,226.65,16.74,106.75,ssimdicezyl_xray019_se3_log_map.csv
