alpha,beta,gamma,bx,by,bz,losses,geo_r,geo_t,geo_d,geo_se3,fiducial,tre,time,idx,parameterization,ssim,ssim_ori,alpha2,beta2,gamma2,bx2,by2,bz2
-1.1053295135498047,0.21292085945606232,1.8265950679779053,171.37820434570312,150.6754913330078,104.67930603027344,1.2919716421968637,68.11151885986328,64.95989227294922,94.12208557128906,65.0056381225586,27.0026798248291,67.0907974243164,0.09655237197875977,85,se3_log_map,0.6795390844345093,0.7397399544715881,1.7227524518966675,-0.8758379220962524,-0.9558605551719666,171.37820434570312,150.6754913330078,104.67930603027344
-1.1452608108520508,0.22254930436611176,1.8661832809448242,193.30068969726562,148.2385711669922,104.61080169677734,1.4456027512554843,71.00434112548828,54.69621276855469,89.6286392211914,54.74038314819336,18.21339225769043,54.942344665527344,0.07248544692993164,85,se3_log_map,0.6944688558578491,0.736645519733429,1.7487800121307373,-0.9328330755233765,-0.9785633683204651,193.30068969726562,148.2385711669922,104.61080169677734
-1.1527739763259888,0.24770872294902802,1.806686282157898,189.395263671875,140.37188720703125,108.60853576660156,1.4773694567123623,78.38219451904297,47.39068603515625,91.59500885009766,47.43918228149414,13.80208969116211,50.821353912353516,0.07216095924377441,85,se3_log_map,0.7062885761260986,0.7581278085708618,1.7094537019729614,-0.8868901133537292,-1.0232865810394287,189.395263671875,140.37188720703125,108.60853576660156
-1.1272145509719849,0.20726172626018524,1.8427047729492188,198.4618377685547,149.05613708496094,100.25338745117188,1.4350431390340757,62.40977478027344,55.969581604003906,83.83062744140625,56.005950927734375,23.6834659576416,53.026371002197266,0.07246208190917969,85,se3_log_map,0.687659740447998,0.723935067653656,1.7271111011505127,-0.9097121953964233,-0.9605007767677307,198.4618377685547,149.05613708496094,100.25338745117188
-1.1298727989196777,0.20985600352287292,1.833877682685852,188.23439025878906,155.4077911376953,97.77195739746094,1.5529316408293417,62.50957489013672,64.54765319824219,89.85458374023438,64.5892105102539,20.873510360717773,62.150630950927734,0.07234311103820801,85,se3_log_map,0.7091994881629944,0.7486087083816528,1.7201613187789917,-0.9051927924156189,-0.9672043919563293,188.23439025878906,155.4077911376953,97.77195739746094
-1.1403790712356567,0.22214576601982117,1.8403995037078857,188.8833465576172,139.40330505371094,104.56037902832031,1.6097173419019315,67.6697769165039,47.74235153198242,82.81624603271484,47.777652740478516,7.641109943389893,47.93696594238281,0.07194066047668457,85,se3_log_map,0.7142307758331299,0.7637462615966797,1.7285411357879639,-0.9120166897773743,-0.9829367995262146,188.8833465576172,139.40330505371094,104.56037902832031
-1.13201904296875,0.2132723480463028,1.8304818868637085,188.29666137695312,140.0069122314453,104.25981903076172,1.6110117814805882,63.634700775146484,48.56724548339844,80.05093383789062,48.599342346191406,7.317137241363525,48.39824295043945,0.07195734977722168,85,se3_log_map,0.7024554014205933,0.7534134387969971,1.7183489799499512,-0.9030788540840149,-0.9726372361183167,188.29666137695312,140.0069122314453,104.25981903076172
-1.1121397018432617,0.2111811637878418,1.8169512748718262,190.99656677246094,129.97267150878906,110.07212829589844,1.5600094731447305,65.8228530883789,37.03193283081055,75.52490997314453,37.05865478515625,14.770947456359863,39.959449768066406,0.07218432426452637,85,se3_log_map,0.6845191717147827,0.7339568138122559,1.711771845817566,-0.8773038387298584,-0.9616448283195496,190.99656677246094,129.97267150878906,110.07212829589844
-1.1098659038543701,0.21724249422550201,1.8525512218475342,192.99267578125,143.27432250976562,101.12229919433594,1.6016834503031308,70.8150405883789,51.234466552734375,87.40560913085938,51.27513122558594,10.503312110900879,49.00003433227539,0.07288575172424316,85,se3_log_map,0.7184867858886719,0.7583224177360535,1.7454724311828613,-0.8935772776603699,-0.9550741314888,192.99267578125,143.27432250976562,101.12229919433594
-1.0987179279327393,0.21363703906536102,1.8499983549118042,191.6002655029297,139.7198486328125,101.24978637695312,1.5608821441169405,71.27256774902344,48.33279800415039,86.1152572631836,48.370399475097656,9.273266792297363,46.34749984741211,0.07294607162475586,85,se3_log_map,0.703129768371582,0.7531678080558777,1.7448596954345703,-0.883540689945221,-0.9453504085540771,191.6002655029297,139.7198486328125,101.24978637695312
-1.1073402166366577,0.23168322443962097,1.8366813659667969,194.88833618164062,129.81857299804688,103.90367126464844,1.6088830528633433,76.47341918945312,37.6879768371582,85.25588989257812,37.72397994995117,9.637001991271973,37.189449310302734,0.07278013229370117,85,se3_log_map,0.7027020454406738,0.7552758455276489,1.7397148609161377,-0.8727836012840271,-0.9708045721054077,194.88833618164062,129.81857299804688,103.90367126464844
-1.1106905937194824,0.21758697926998138,1.8466404676437378,193.6698455810547,132.18321228027344,104.59779357910156,1.615396318363904,70.2108383178711,39.83639907836914,80.72484588623047,39.86734390258789,7.644906997680664,39.27593994140625,0.07242417335510254,85,se3_log_map,0.7054471969604492,0.7582255601882935,1.7404024600982666,-0.890497088432312,-0.9576595425605774,193.6698455810547,132.18321228027344,104.59779357910156
-1.1152830123901367,0.2338816076517105,1.836954951286316,193.23036193847656,137.7079315185547,99.91659545898438,1.6216220115763786,76.11896514892578,46.65732955932617,89.28047180175781,46.70172882080078,7.525912284851074,44.180198669433594,0.07285261154174805,85,se3_log_map,0.7194471955299377,0.7644394040107727,1.738742470741272,-0.879166305065155,-0.9778741002082825,193.23036193847656,137.7079315185547,99.91659545898438
-1.11643648147583,0.21322520077228546,1.827645182609558,191.39630126953125,138.99818420410156,103.72988891601562,1.61918346992836,65.99151611328125,46.87659454345703,80.94625091552734,46.91029357910156,7.176172256469727,46.027584075927734,0.07251882553100586,85,se3_log_map,0.7083548307418823,0.7590581774711609,1.7205569744110107,-0.886717677116394,-0.9631639122962952,191.39630126953125,138.99818420410156,103.72988891601562
-1.1274776458740234,0.22595302760601044,1.8297522068023682,196.3953857421875,131.81521606445312,100.50201416015625,1.6069790764706493,70.2389907836914,40.55580139160156,81.10665130615234,40.589256286621094,7.796738147735596,37.56992721557617,0.07253289222717285,85,se3_log_map,0.7244932055473328,0.7650073766708374,1.7253144979476929,-0.8908674120903015,-0.9809877276420593,196.3953857421875,131.81521606445312,100.50201416015625
-1.1098990440368652,0.21761003136634827,1.8283964395523071,198.25161743164062,129.4827880859375,101.66448211669922,1.6293321156525291,69.2802963256836,37.65349197387695,78.85140991210938,37.68361282348633,6.418078899383545,34.45539855957031,0.07292413711547852,85,se3_log_map,0.7217804789543152,0.7694727778434753,1.7252196073532104,-0.878442645072937,-0.9624753594398499,198.25161743164062,129.4827880859375,101.66448211669922
-1.116655707359314,0.21978189051151276,1.8359330892562866,196.850341796875,130.50962829589844,101.2802963256836,1.6270402101885295,69.3254623413086,38.97768783569336,79.53162384033203,39.00855255126953,6.35304069519043,36.02193832397461,0.07245731353759766,85,se3_log_map,0.7217597961425781,0.7676259875297546,1.7306748628616333,-0.8881916999816895,-0.9666449427604675,196.850341796875,130.50962829589844,101.2802963256836
-1.1124635934829712,0.22022642195224762,1.8439311981201172,195.92166137695312,129.09320068359375,103.45381927490234,1.623676009663771,70.8292236328125,36.9849739074707,79.90411376953125,37.0147819519043,7.206512928009033,35.47122573852539,0.07244062423706055,85,se3_log_map,0.7123023271560669,0.7627175450325012,1.7388664484024048,-0.8889422416687012,-0.9619511365890503,195.92166137695312,129.09320068359375,103.45381927490234
-1.104023814201355,0.22003129124641418,1.8405735492706299,199.41236877441406,124.13595581054688,104.54943084716797,1.6163963231143896,72.12847900390625,31.46990394592285,78.69480895996094,31.49679183959961,8.368462562561035,29.86674690246582,0.07264113426208496,85,se3_log_map,0.7180019617080688,0.7656664252281189,1.7383862733840942,-0.8789919018745422,-0.9572276473045349,199.41236877441406,124.13595581054688,104.54943084716797
-1.1076314449310303,0.21425749361515045,1.8419415950775146,196.63446044921875,131.1385040283203,103.13077545166016,1.6291969677117037,68.93994140625,38.7685661315918,79.09308624267578,38.79838562011719,6.429406642913818,36.673583984375,0.07243680953979492,85,se3_log_map,0.7174776196479797,0.766168475151062,1.7357237339019775,-0.8866591453552246,-0.9540892243385315,196.63446044921875,131.1385040283203,103.13077545166016
