% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=333, Wed Dec  3 22:18:47 2025, <python>{}</python>
1 10 0.9991886080506356 1 0 0.02 0.02 0.02 5.0 5.0 5.0
2 20 1.016844037442651 1 0 0.02 0.02 0.02 5.0 5.0 5.0
3 30 1.217848454676521 1 0 0.02 0.02 0.02 5.0 5.0 5.0
4 40 1.194181704178855 1 0 0.02 0.02 0.02 5.0 5.0 5.0
5 50 1.1611894652804344 1 0 0.02 0.02 0.02 5.0 5.0 5.0
6 60 1.1741929912346454 1 0 0.02 0.02 0.02 5.0 5.0 5.0
7 70 1.16946359757153 1 0 0.02 0.02 0.02 5.0 5.0 5.0
8 80 1.1961030419361594 1 0 0.02 0.02 0.02 5.0 5.0 5.0
9 90 1.4390420593592814 1 0 0.02 0.02 0.02 5.0 5.0 5.0
10 100 1.3729399248324503 1 0 0.02 0.02 0.02 5.0 5.0 5.0
11 110 1.1376302873165687 1 0 0.02 0.02 0.02 5.0 5.0 5.0
12 120 0.9609081502759809 1 0 0.02 0.02 0.02 5.0 5.0 5.0
13 130 0.9068240038827956 1 0 0.02 0.02 0.02 5.0 5.0 5.0
14 140 0.7545905180941863 1 0 0.02 0.02 0.02 5.0 5.0 5.0
15 150 0.7087596005984926 1 0 0.02 0.02 0.02 5.0 5.0 5.0
16 160 0.7560576675688586 1 0 0.02 0.02 0.02 5.0 5.0 5.0
17 170 0.7837534359846048 1 0 0.02 0.02 0.02 5.0 5.0 5.0
18 180 0.7817157461000817 1 0 0.02 0.02 0.02 5.0 5.0 5.0
19 190 0.8933985513980812 1 0 0.02 0.02 0.02 5.0 5.0 5.0
20 200 0.9709567999054051 1 0 0.02 0.02 0.02 5.0 5.0 5.0
