file,id_number,ncc,ssim,ssim_ori,mtre,mpd,alpha2,beta2,gamma2,bx2,by2,bz2
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray002_se3_log_map.csv,2,0.5788523081834092,0.8985790760516074,0.8162442817397431,7.49739408493042,0.7855662703514099,-1.162898063659668,0.0424913130700588,1.6844768524169922,145.6281280517578,28.38240623474121,150.35055541992188
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray051_se3_log_map.csv,51,0.5308081309591299,0.8831698204759663,0.8451841969723222,22.369037628173828,3.143728017807007,-1.1217478513717651,0.065419390797615,1.6764522790908811,151.7105255126953,26.96725273132324,148.4329376220703
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray052_se3_log_map.csv,52,0.570309537615661,0.909620953020506,0.8059395176900428,15.952859878540039,2.737759828567505,-1.2066571712493896,0.0242612622678279,1.6928260326385498,140.54681396484375,22.752439498901367,151.80050659179688
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray045_se3_log_map.csv,45,0.5438446040616549,0.8731179027528473,0.8034012986794977,8.455598831176758,1.45638906955719,-1.141388177871704,0.0315455310046672,1.660603165626526,146.1219482421875,35.76182556152344,152.12265014648438
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray030_se3_log_map.csv,30,0.5605201646669578,0.8767529799168968,0.8491046835175802,7.473449230194092,0.878851056098938,-1.1600056886672974,0.0251884572207927,1.6792763471603394,141.84527587890625,39.32618713378906,152.4404296875
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray010_se3_log_map.csv,10,0.5305453146690882,0.8720443987272214,0.7760988100279615,32.44969177246094,6.934667587280273,-1.2490910291671753,-0.0248634535819292,1.6826030015945437,135.40786743164062,29.00473976135254,156.71841430664062
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray013_se3_log_map.csv,13,0.5143863989348126,0.8884740891713732,0.7884595539679299,22.275989532470703,3.8649160861968994,-1.2208635807037354,-0.0085827568545937,1.6838836669921875,138.5533447265625,27.355928421020508,156.30409240722656
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray048_se3_log_map.csv,48,0.5180014987981181,0.8853830613095992,0.8289955008749437,23.536928176879883,4.080289840698242,-1.1107100248336792,0.0735394433140754,1.6690120697021484,151.4849090576172,30.79807472229004,148.15362548828125
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray026_se3_log_map.csv,26,0.5314164229934264,0.8862120419028565,0.8348116149552944,8.446684837341309,1.382437825202942,-1.1408870220184326,0.0359553694725036,1.6720951795578003,147.12290954589844,31.637948989868164,151.989013671875
/home/zsr/project/diffpose/ours/case/xyl/runs2/cma/xyl_xray022_se3_log_map.csv,22,0.5509923050807841,0.9077205256893282,0.8032249248946608,26.286197662353516,5.8745551109313965,-1.2365050315856934,-0.0173487737774848,1.696581244468689,138.22007751464844,24.475940704345703,156.39979553222656
