% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=3, Mon Feb 16 14:25:51 2026, <python>{}</python>
1 20 0.8993331221332728 1 0 0.05 0.05 0.05 5.0 5.0 5.0
2 40 0.9773853333792105 1 0 0.05 0.05 0.05 5.0 5.0 5.0
3 60 1.030017978009622 1 0 0.05 0.05 0.05 5.0 5.0 5.0
4 80 0.8494639042588257 1 0 0.05 0.05 0.05 5.0 5.0 5.0
5 100 0.7470222268011854 1 0 0.05 0.05 0.05 5.0 5.0 5.0
6 120 0.6634288922902426 1 0 0.05 0.05 0.05 5.0 5.0 5.0
7 140 0.6089570643436665 1 0 0.05 0.05 0.05 5.0 5.0 5.0
8 160 0.680554813302357 1 0 0.05 0.05 0.05 5.0 5.0 5.0
9 180 0.7531435337986999 1 0 0.05 0.05 0.05 5.0 5.0 5.0
10 200 0.7734691992132466 1 0 0.05 0.05 0.05 5.0 5.0 5.0
11 220 0.7999336585192018 1 0 0.05 0.05 0.05 5.0 5.0 5.0
12 240 0.8292202562545172 1 0 0.05 0.05 0.05 5.0 5.0 5.0
13 260 0.8220800107451312 1 0 0.05 0.05 0.05 5.0 5.0 5.0
14 280 0.9288363017042764 1 0 0.05 0.05 0.05 5.0 5.0 5.0
15 300 0.857843278411592 1 0 0.05 0.05 0.05 5.0 5.0 5.0
16 320 0.8298328609635155 1 0 0.05 0.05 0.05 5.0 5.0 5.0
17 340 0.7869747804610066 1 0 0.05 0.05 0.05 5.0 5.0 5.0
18 360 0.756931775060669 1 0 0.05 0.05 0.05 5.0 5.0 5.0
19 380 0.7063507568656758 1 0 0.05 0.05 0.05 5.0 5.0 5.0
20 400 0.7009720579996249 1 0 0.05 0.05 0.05 5.0 5.0 5.0
21 420 0.7051628596783738 1 0 0.05 0.05 0.05 5.0 5.0 5.0
22 440 0.7066285538336888 1 0 0.05 0.05 0.05 5.0 5.0 5.0
23 460 0.6483467036745669 1 0 0.05 0.05 0.05 5.0 5.0 5.0
24 480 0.5686778272230371 1 0 0.05 0.05 0.05 5.0 5.0 5.0
25 500 0.5509408790445922 1 0 0.05 0.05 0.05 5.0 5.0 5.0
26 520 0.5288032667146565 1 0 0.05 0.05 0.05 5.0 5.0 5.0
27 540 0.5185411245935315 1 0 0.05 0.05 0.05 5.0 5.0 5.0
28 560 0.47606115384132097 1 0 0.05 0.05 0.05 5.0 5.0 5.0
29 580 0.4114244587427547 1 0 0.05 0.05 0.05 5.0 5.0 5.0
30 600 0.34257976596651557 1 0 0.05 0.05 0.05 5.0 5.0 5.0
31 620 0.35948613131779117 1 0 0.05 0.05 0.05 5.0 5.0 5.0
32 640 0.3979333493198063 1 0 0.05 0.05 0.05 5.0 5.0 5.0
33 660 0.38759499623833094 1 0 0.05 0.05 0.05 5.0 5.0 5.0
34 680 0.37202789221686333 1 0 0.05 0.05 0.05 5.0 5.0 5.0
35 700 0.3293829581797662 1 0 0.05 0.05 0.05 5.0 5.0 5.0
36 720 0.34289603621153897 1 0 0.05 0.05 0.05 5.0 5.0 5.0
37 740 0.28190065253606045 1 0 0.05 0.05 0.05 5.0 5.0 5.0
38 760 0.26402957093170826 1 0 0.05 0.05 0.05 5.0 5.0 5.0
39 780 0.261415801891483 1 0 0.05 0.05 0.05 5.0 5.0 5.0
40 800 0.23396899393174744 1 0 0.05 0.05 0.05 5.0 5.0 5.0
41 820 0.23560572193290097 1 0 0.05 0.05 0.05 5.0 5.0 5.0
42 840 0.19210568503101141 1 0 0.05 0.05 0.05 5.0 5.0 5.0
43 860 0.16272872164297186 1 0 0.05 0.05 0.05 5.0 5.0 5.0
44 880 0.15439805863034745 1 0 0.05 0.05 0.05 5.0 5.0 5.0
45 900 0.13450177470145047 1 0 0.05 0.05 0.05 5.0 5.0 5.0
